序号,歌名,作者/原唱,最新链接,最新投稿时间,BVID,分P
1,Laughter,Official髭男dism,https://www.bilibili.com/video/BV1gdGi6REZz?p=5,2026-05-23 15:34:56,BV1gdGi6REZz,5
2,イカロス,GReeeeN,https://www.bilibili.com/video/BV1gdGi6REZz?p=13,2026-05-23 15:34:56,BV1gdGi6REZz,13
3,かいしんのいちげき！,天月-あまつき-,https://www.bilibili.com/video/BV1gdGi6REZz?p=6,2026-05-23 15:34:56,BV1gdGi6REZz,6
4,サマータイムレコード,じん feat. IA,https://www.bilibili.com/video/BV1gdGi6REZz?p=4,2026-05-23 15:34:56,BV1gdGi6REZz,4
5,シルエット,KANA-BOON,https://www.bilibili.com/video/BV1gdGi6REZz?p=10,2026-05-23 15:34:56,BV1gdGi6REZz,10
6,ただ君に晴れ,ヨルシカ,https://www.bilibili.com/video/BV1gdGi6REZz?p=1,2026-05-23 15:34:56,BV1gdGi6REZz,1
7,ライラック,Mrs. GREEN APPLE,https://www.bilibili.com/video/BV1gdGi6REZz?p=14,2026-05-23 15:34:56,BV1gdGi6REZz,14
8,貴方解剖純愛歌 ～死ね～,あいみょん,https://www.bilibili.com/video/BV1gdGi6REZz?p=9,2026-05-23 15:34:56,BV1gdGi6REZz,9
9,金曜日のおはよう,HoneyWorks feat. GUMI,https://www.bilibili.com/video/BV1gdGi6REZz?p=3,2026-05-23 15:34:56,BV1gdGi6REZz,3
10,君に届け,flumpool,https://www.bilibili.com/video/BV1gdGi6REZz?p=12,2026-05-23 15:34:56,BV1gdGi6REZz,12
11,小さな恋のうた,MONGOL800,https://www.bilibili.com/video/BV1gdGi6REZz?p=8,2026-05-23 15:34:56,BV1gdGi6REZz,8
12,世界の真ん中を歩く,夏代孝明 feat. 初音ミク,https://www.bilibili.com/video/BV1gdGi6REZz?p=15,2026-05-23 15:34:56,BV1gdGi6REZz,15
13,青と夏,Mrs. GREEN APPLE,https://www.bilibili.com/video/BV1gdGi6REZz?p=7,2026-05-23 15:34:56,BV1gdGi6REZz,7
