title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
蜜月アン・ドゥ・トロワ,DATEKEN feat.鏡音リン,323,323.js,【歌切】323[2026-06-11]初见◎BGM◎深夜的陪伴🌙来一起如何？,https://www.bilibili.com/video/BV1L4J56SEbg?p=9,BV1L4J56SEbg,116737680874309,39069354798,9,1781277521,2026-06-12 23:18:41,1781277521,2026-06-12 23:18:41,243,5066,20,335,https://i1.hdslb.com/bfs/archive/edcd53dcc426125c86867e610160c20b879cf597.png@160w_90h_1c.webp,【歌切】323[2026-06-11]初见◎BGM◎深夜的陪伴🌙来一起如何？,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,21,false,zzcn8hRpFMYagiPJDUSDgioCNRk,蜜月アンドゥトロワ,音源/术力口词:鏡音リン/レン | P主/术力口作者:DATEKEN,direct
サマータイムレコード,じん feat.IA,323,323.js,【歌切】[2026-06-12]平成时代宅们集合！有你听过的歌吗？ 323,https://www.bilibili.com/video/BV1LxJ56nEGo?p=5,BV1LxJ56nEGo,116737697646176,39069682174,5,1781276971,2026-06-12 23:09:31,1781276971,2026-06-12 23:09:31,268,1205,5,279,https://i2.hdslb.com/bfs/archive/4033fe8af19fbfa8fc11ee1420c1ab35cd13e6fb.png@160w_90h_1c.webp,【歌切】[2026-06-12]平成时代宅们集合！有你听过的歌吗？ 323,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,41,false,GI98lHXiX7EzKAk9Dd1bGofzEvo,サマタイムレコド,音源/术力口词:IA | P主/术力口作者:じん | 已知术力口曲名:サマータイムレコード,direct
リリリリ★バーニングナイト,Lily,323,323.js,【歌切】[2026-06-12]平成时代宅们集合！有你听过的歌吗？ 323,https://www.bilibili.com/video/BV1LxJ56nEGo?p=1,BV1LxJ56nEGo,116737697646176,39069617478,1,1781276971,2026-06-12 23:09:31,1781276971,2026-06-12 23:09:31,251,1205,5,279,https://i2.hdslb.com/bfs/archive/4033fe8af19fbfa8fc11ee1420c1ab35cd13e6fb.png@160w_90h_1c.webp,【歌切】[2026-06-12]平成时代宅们集合！有你听过的歌吗？ 323,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,2,false,pV-HfQgi31UeOl40KgWSl73-FSg,リリリリバニングナイト,音源/术力口词:其他音源,direct
黒猫系女子,すこっぷ feat.初音ミク,323,323.js,【歌切】[2026-06-10]想遇见10位初次见面的朋友！来唱歌！ 323(みすみ) -Misumi-,https://www.bilibili.com/video/BV1eEEo6wEsj?p=4,BV1eEEo6wEsj,116727530658607,39021383024,4,1781121275,2026-06-11 03:54:35,1781121276,2026-06-11 03:54:36,229,2183,10,267,https://i2.hdslb.com/bfs/archive/3947df9beca08d5f01d07470495d851dd614864d.png@160w_90h_1c.webp,【歌切】[2026-06-10]想遇见10位初次见面的朋友！来唱歌！ 323(みすみ) -Misumi-,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,s53BUlUmLeuQaj1puaK6mHodZ1M,黒猫系女子,音源/术力口词:初音ミク | P主/术力口作者:すこっぷ,direct
セイシュンライナー,蝶々P feat.GUMI,323,323.js,【歌切】[2026-06-09]只唱带感的歌 - 歌回 323(みすみ)　-Misumi-,https://www.bilibili.com/video/BV1gRED6VE9y?p=7,BV1gRED6VE9y,116722212281224,38996151363,7,1781040761,2026-06-10 05:32:41,1781040761,2026-06-10 05:32:41,236,4774,20,330,https://i0.hdslb.com/bfs/archive/b73b8a364809665f49e642f14de98d02a25c9fee.png@160w_90h_1c.webp,【歌切】[2026-06-09]只唱带感的歌 - 歌回 323(みすみ)　-Misumi-,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,mxcMlT0QQ0zB1bxPUJ8zQ3KafqA,セイシュンライナ,音源/术力口词:GUMI/Megpoid | P主/术力口作者:蝶々P,direct
心臓デモクラシー,みきとP feat.初音ミク,323,323.js,【歌切】[2026-06-09]只唱带感的歌 - 歌回 323(みすみ)　-Misumi-,https://www.bilibili.com/video/BV1gRED6VE9y?p=10,BV1gRED6VE9y,116722212281224,38996151802,10,1781040761,2026-06-10 05:32:41,1781040761,2026-06-10 05:32:41,225,4774,20,330,https://i0.hdslb.com/bfs/archive/b73b8a364809665f49e642f14de98d02a25c9fee.png@160w_90h_1c.webp,【歌切】[2026-06-09]只唱带感的歌 - 歌回 323(みすみ)　-Misumi-,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,sum1IR-MUN39HNNKWU5myLqZe-Y,心臓デモクラシ,音源/术力口词:初音ミク | P主/术力口作者:みきとP | 已知术力口曲名:心臓デモクラシー,direct
刹那プラス,みきとP feat.初音ミク,323,323.js,【歌切】[2026-06-09]只唱带感的歌 - 歌回 323(みすみ)　-Misumi-,https://www.bilibili.com/video/BV1gRED6VE9y?p=9,BV1gRED6VE9y,116722212281224,38996151538,9,1781040761,2026-06-10 05:32:41,1781040761,2026-06-10 05:32:41,237,4774,20,330,https://i0.hdslb.com/bfs/archive/b73b8a364809665f49e642f14de98d02a25c9fee.png@160w_90h_1c.webp,【歌切】[2026-06-09]只唱带感的歌 - 歌回 323(みすみ)　-Misumi-,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,3,false,aYAUamshCmwUBrmI9P1HE4rvhhE,刹那プラス,音源/术力口词:初音ミク | P主/术力口作者:みきとP,direct
曖昧劣情Lover,電ポルP feat.flower,323,323.js,【歌切】[2026-06-09]只唱带感的歌 - 歌回 323(みすみ)　-Misumi-,https://www.bilibili.com/video/BV1gRED6VE9y?p=11,BV1gRED6VE9y,116722212281224,38996152059,11,1781040761,2026-06-10 05:32:41,1781040761,2026-06-10 05:32:41,217,4774,20,330,https://i0.hdslb.com/bfs/archive/b73b8a364809665f49e642f14de98d02a25c9fee.png@160w_90h_1c.webp,【歌切】[2026-06-09]只唱带感的歌 - 歌回 323(みすみ)　-Misumi-,前尘往事如昔故,前尘往事如昔故,3546597260528367,6,15,false,N2HOybYohCFeKCs25xE5UF7FclA,曖昧劣情lover,P主/术力口作者:電ポルP,direct
『13』,とあ feat.初音ミク,323,323.js,【歌切】[2026-06-03]初次见面◎BGM◎沉静治愈的歌回！  323(みすみ) -Misumi-,https://www.bilibili.com/video/BV1q77R6cEtj?p=12,BV1q77R6cEtj,116687466662797,38837551674,12,1780510191,2026-06-04 02:09:51,1780510191,2026-06-04 02:09:51,289,5487,21,547,https://i1.hdslb.com/bfs/archive/793b323fd0b73956493b98fbc614a10ebbf7fc84.png@160w_90h_1c.webp,【歌切】[2026-06-03]初次见面◎BGM◎沉静治愈的歌回！  323(みすみ) -Misumi-,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,l4juLC4PVI_9k-J7xWSUUY7l4zE,13,音源/术力口词:初音ミク | P主/术力口作者:とあ,direct
アイディスマイル,"とあ feat.初音ミク,鏡音リン",323,323.js,【歌切】[2026-06-03]初次见面◎BGM◎沉静治愈的歌回！  323(みすみ) -Misumi-,https://www.bilibili.com/video/BV1q77R6cEtj?p=13,BV1q77R6cEtj,116687466662797,38837551657,13,1780510191,2026-06-04 02:09:51,1780510191,2026-06-04 02:09:51,179,5487,21,547,https://i1.hdslb.com/bfs/archive/793b323fd0b73956493b98fbc614a10ebbf7fc84.png@160w_90h_1c.webp,【歌切】[2026-06-03]初次见面◎BGM◎沉静治愈的歌回！  323(みすみ) -Misumi-,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,78Y_QJP42xYTgxRpfddA5mjd1QM,アイディスマイル,音源/术力口词:初音ミク | 音源/术力口词:鏡音リン/レン | P主/术力口作者:とあ | 已知术力口曲名:アイディスマイル,direct
アサガオの散る頃に,じっぷす feat.初音ミク,323,323.js,【歌切】[2026-06-03]初次见面◎BGM◎沉静治愈的歌回！  323(みすみ) -Misumi-,https://www.bilibili.com/video/BV1q77R6cEtj?p=19,BV1q77R6cEtj,116687466662797,38837554532,19,1780510191,2026-06-04 02:09:51,1780510191,2026-06-04 02:09:51,198,5487,21,547,https://i1.hdslb.com/bfs/archive/793b323fd0b73956493b98fbc614a10ebbf7fc84.png@160w_90h_1c.webp,【歌切】[2026-06-03]初次见面◎BGM◎沉静治愈的歌回！  323(みすみ) -Misumi-,前尘往事如昔故,前尘往事如昔故,3546597260528367,5,6,false,VElufjvgO7IsF3gEGfBUNtbbkdo,アサガオの散る頃に,音源/术力口词:初音ミク,direct
からくりピエロ,40mP feat.初音ミク,323,323.js,【歌切】[2026-06-03]初次见面◎BGM◎沉静治愈的歌回！  323(みすみ) -Misumi-,https://www.bilibili.com/video/BV1q77R6cEtj?p=2,BV1q77R6cEtj,116687466662797,38837485784,2,1780510191,2026-06-04 02:09:51,1780510191,2026-06-04 02:09:51,246,5487,21,547,https://i1.hdslb.com/bfs/archive/793b323fd0b73956493b98fbc614a10ebbf7fc84.png@160w_90h_1c.webp,【歌切】[2026-06-03]初次见面◎BGM◎沉静治愈的歌回！  323(みすみ) -Misumi-,前尘往事如昔故,前尘往事如昔故,3546597260528367,20,43,false,DlDobAQXK43nQMmTMN9sgD5dJJM,からくりピエロ,音源/术力口词:初音ミク | P主/术力口作者:40mP | 已知术力口曲名:からくりピエロ,direct
サリシノハラ,みきとP feat.初音ミク,323,323.js,【歌切】[2026-06-03]初次见面◎BGM◎沉静治愈的歌回！  323(みすみ) -Misumi-,https://www.bilibili.com/video/BV1q77R6cEtj?p=7,BV1q77R6cEtj,116687466662797,38837487868,7,1780510191,2026-06-04 02:09:51,1780510191,2026-06-04 02:09:51,287,5487,21,547,https://i1.hdslb.com/bfs/archive/793b323fd0b73956493b98fbc614a10ebbf7fc84.png@160w_90h_1c.webp,【歌切】[2026-06-03]初次见面◎BGM◎沉静治愈的歌回！  323(みすみ) -Misumi-,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,30,false,vYnuFwfUMIzCORt53YaVo3m1muA,サリシノハラ,音源/术力口词:初音ミク | P主/术力口作者:みきとP | 已知术力口曲名:サリシノハラ,direct
少女レイ,みきとP feat.初音ミク,323,323.js,【歌切】[2026-06-03]初次见面◎BGM◎沉静治愈的歌回！  323(みすみ) -Misumi-,https://www.bilibili.com/video/BV1q77R6cEtj?p=3,BV1q77R6cEtj,116687466662797,38837485950,3,1780510191,2026-06-04 02:09:51,1780510191,2026-06-04 02:09:51,289,5487,21,547,https://i1.hdslb.com/bfs/archive/793b323fd0b73956493b98fbc614a10ebbf7fc84.png@160w_90h_1c.webp,【歌切】[2026-06-03]初次见面◎BGM◎沉静治愈的歌回！  323(みすみ) -Misumi-,前尘往事如昔故,前尘往事如昔故,3546597260528367,23,109,false,BJWJyKZky33G-gnU4WoLKE76xWo,少女レイ,音源/术力口词:初音ミク | P主/术力口作者:みきとP | 已知术力口曲名:少女レイ,direct
心做し,蝶々P feat.GUMI,323,323.js,【歌切】[2026-06-03]初次见面◎BGM◎沉静治愈的歌回！  323(みすみ) -Misumi-,https://www.bilibili.com/video/BV1q77R6cEtj?p=15,BV1q77R6cEtj,116687466662797,38837552723,15,1780510191,2026-06-04 02:09:51,1780510191,2026-06-04 02:09:51,265,5487,21,547,https://i1.hdslb.com/bfs/archive/793b323fd0b73956493b98fbc614a10ebbf7fc84.png@160w_90h_1c.webp,【歌切】[2026-06-03]初次见面◎BGM◎沉静治愈的歌回！  323(みすみ) -Misumi-,前尘往事如昔故,前尘往事如昔故,3546597260528367,18,46,false,HYJwqpsQLYzf1GKn1J-YiKefnvo,心做し,音源/术力口词:GUMI/Megpoid | P主/术力口作者:蝶々P,direct
深海少女,ゆうゆ feat.初音ミク,323,323.js,【歌切】[2026-06-03]初次见面◎BGM◎沉静治愈的歌回！  323(みすみ) -Misumi-,https://www.bilibili.com/video/BV1q77R6cEtj?p=6,BV1q77R6cEtj,116687466662797,38837487540,6,1780510191,2026-06-04 02:09:51,1780510191,2026-06-04 02:09:51,213,5487,21,547,https://i1.hdslb.com/bfs/archive/793b323fd0b73956493b98fbc614a10ebbf7fc84.png@160w_90h_1c.webp,【歌切】[2026-06-03]初次见面◎BGM◎沉静治愈的歌回！  323(みすみ) -Misumi-,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,21,false,Omi-yUatSMx4iqEMLOBeBRTyHk4,深海少女,音源/术力口词:初音ミク | P主/术力口作者:ゆうゆ | 已知术力口曲名:深海少女,direct
