title,artist,sourceAlias,source,collection,link,bvid,page,pubdate,pubdateFormatted,exclusionReason
少女S,SCANDAL,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=1,BV18FjT65EJJ,1,1781555182,2026-06-16 04:26:22,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
chAngE,miwa,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=2,BV18FjT65EJJ,2,1781555182,2026-06-16 04:26:22,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
一度だけの恋なら,ワルキューレ,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=5,BV18FjT65EJJ,5,1781555182,2026-06-16 04:26:22,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
いけないボーダーライン,ワルキューレ,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=6,BV18FjT65EJJ,6,1781555182,2026-06-16 04:26:22,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
魂のルフラン,高橋洋子,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=9,BV18FjT65EJJ,9,1781555182,2026-06-16 04:26:22,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
ハレ晴レユカイ,涼宮ハルヒ(CV:平野綾)、長門有希(CV:茅原実里)、朝比奈みくる(CV:後藤邑子),茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=10,BV18FjT65EJJ,10,1781555182,2026-06-16 04:26:22,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
KICK BACK,米津玄師,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=13,BV18FjT65EJJ,13,1781555182,2026-06-16 04:26:22,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
ちゅ、多様性。,ano,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=14,BV18FjT65EJJ,14,1781555182,2026-06-16 04:26:22,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
忘れてやらない,結束バンド,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=17,BV18FjT65EJJ,17,1781555182,2026-06-16 04:26:22,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
青春コンプレックス,結束バンド,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=18,BV18FjT65EJJ,18,1781555182,2026-06-16 04:26:22,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
