title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
回る空うさぎ,Orangestar feat. 初音ミク,明日夢かなえ,asuyumekanae.js,【明日夢🎸弾き語り歌切】[2026-06-11]调试麦克风之旅,https://www.bilibili.com/video/BV1sKE66KEkk?p=24,BV1sKE66KEkk,116733536901976,39047924658,24,1781213213,2026-06-12 05:26:53,1781213214,2026-06-12 05:26:54,205,3586,26,121,https://i2.hdslb.com/bfs/archive/604fdbde6ab97e0a0edead5dcc6c6659ec6735a5.png@160w_90h_1c.webp,【明日夢🎸弾き語り歌切】[2026-06-11]调试麦克风之旅,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,56,false,CcHTLoC9e3dZkaZJmJUv_Qv6UHs,回る空うさぎ,音源/术力口词:初音ミク | P主/术力口作者:Orangestar,direct
さようなら、花泥棒さん,メル feat. 初音ミク,明日夢かなえ,asuyumekanae.js,【明日夢🎸弾き語り歌切】[2026-06-10]练习,https://www.bilibili.com/video/BV18iE661EJo?p=4,BV18iE661EJo,116733201423826,39047398882,4,1781208048,2026-06-12 04:00:48,1781208048,2026-06-12 04:00:48,110,2483,16,107,https://i0.hdslb.com/bfs/archive/2c1284f30620585c0d1ab319953dd381c49787eb.png@160w_90h_1c.webp,【明日夢🎸弾き語り歌切】[2026-06-10]练习,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,22,false,r-5jHn87hpAf-XhK_qgVU94e_Bw,さようなら、花泥棒さん,音源/术力口词:初音ミク,direct
EYE,Kanaria feat. GUMI,明日夢かなえ,asuyumekanae.js,【明日夢 歌切】[2026-06-06]祝活动五周年！55曲连唱挑战！！！！🔥 明日夢かなえ,https://www.bilibili.com/video/BV19rEW6TETM?p=32,BV19rEW6TETM,116704998856509,38919080164,32,1780777378,2026-06-07 04:22:58,1780777378,2026-06-07 04:22:58,133,13066,55,378,https://i0.hdslb.com/bfs/archive/f2a2066d3476219202b2346ff5d7d561adfc0f90.png@160w_90h_1c.webp,【明日夢 歌切】[2026-06-06]祝活动五周年！55曲连唱挑战！！！！🔥 明日夢かなえ,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,3,false,xw0ENHtGi68qhicQKuIeljujdbE,eye,音源/术力口词:GUMI/Megpoid | P主/术力口作者:Kanaria,direct
エンヴィーベイビー,Kanaria feat. GUMI,明日夢かなえ,asuyumekanae.js,【明日夢 歌切】[2026-06-06]祝活动五周年！55曲连唱挑战！！！！🔥 明日夢かなえ,https://www.bilibili.com/video/BV19rEW6TETM?p=33,BV19rEW6TETM,116704998856509,38919080257,33,1780777378,2026-06-07 04:22:58,1780777378,2026-06-07 04:22:58,135,13066,55,378,https://i0.hdslb.com/bfs/archive/f2a2066d3476219202b2346ff5d7d561adfc0f90.png@160w_90h_1c.webp,【明日夢 歌切】[2026-06-06]祝活动五周年！55曲连唱挑战！！！！🔥 明日夢かなえ,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,9,false,DHQIBEls7Bc4reGC7gxcR4IMhvY,エンヴィベイビ,音源/术力口词:GUMI/Megpoid | P主/术力口作者:Kanaria | 已知术力口曲名:エンヴィーベイビー,direct
ハッピーシンセサイザ,EasyPop feat. 巡音ルカ・GUMI,明日夢かなえ,asuyumekanae.js,【明日夢 歌切】[2026-06-06]祝活动五周年！55曲连唱挑战！！！！🔥 明日夢かなえ,https://www.bilibili.com/video/BV19rEW6TETM?p=29,BV19rEW6TETM,116704998856509,38919079145,29,1780777378,2026-06-07 04:22:58,1780777378,2026-06-07 04:22:58,101,13066,55,378,https://i0.hdslb.com/bfs/archive/f2a2066d3476219202b2346ff5d7d561adfc0f90.png@160w_90h_1c.webp,【明日夢 歌切】[2026-06-06]祝活动五周年！55曲连唱挑战！！！！🔥 明日夢かなえ,前尘往事如昔故,前尘往事如昔故,3546597260528367,7,9,false,nuNgEdZnHjODL21QRPKPW7BDjDc,ハッピシンセサイザ,音源/术力口词:巡音ルカ | 音源/术力口词:GUMI/Megpoid | P主/术力口作者:EasyPop | 已知术力口曲名:ハッピーシンセサイザ,direct
メランコリック,Junky feat. 鏡音リン,明日夢かなえ,asuyumekanae.js,【明日夢 歌切】[2026-06-06]祝活动五周年！55曲连唱挑战！！！！🔥 明日夢かなえ,https://www.bilibili.com/video/BV19rEW6TETM?p=51,BV19rEW6TETM,116704998856509,38919210831,51,1780777378,2026-06-07 04:22:58,1780777378,2026-06-07 04:22:58,221,13066,55,378,https://i0.hdslb.com/bfs/archive/f2a2066d3476219202b2346ff5d7d561adfc0f90.png@160w_90h_1c.webp,【明日夢 歌切】[2026-06-06]祝活动五周年！55曲连唱挑战！！！！🔥 明日夢かなえ,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,23,false,EH3it6wLBUVsA0SHkTegWyGfGIA,メランコリック,音源/术力口词:鏡音リン/レン | P主/术力口作者:Junky,direct
愛言葉III,DECO*27 feat. 初音ミク,明日夢かなえ,asuyumekanae.js,【明日夢 歌切】[2026-06-06]祝活动五周年！55曲连唱挑战！！！！🔥 明日夢かなえ,https://www.bilibili.com/video/BV19rEW6TETM?p=55,BV19rEW6TETM,116704998856509,38919212766,55,1780777378,2026-06-07 04:22:58,1780777378,2026-06-07 04:22:58,259,13066,55,378,https://i0.hdslb.com/bfs/archive/f2a2066d3476219202b2346ff5d7d561adfc0f90.png@160w_90h_1c.webp,【明日夢 歌切】[2026-06-06]祝活动五周年！55曲连唱挑战！！！！🔥 明日夢かなえ,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,5,false,ZxtMFv_ZGsGo-gktfE4B_y0VVAY,愛言葉iii,音源/术力口词:初音ミク | P主/术力口作者:DECO*27 | 已知术力口曲名:愛言葉III,direct
瞬間、シンフォニー。,40mP & かぐや(CV:夏吉ゆうこ),明日夢かなえ,asuyumekanae.js,【明日夢 歌切】[2026-06-06]祝活动五周年！55曲连唱挑战！！！！🔥 明日夢かなえ,https://www.bilibili.com/video/BV19rEW6TETM?p=30,BV19rEW6TETM,116704998856509,38919079391,30,1780777378,2026-06-07 04:22:58,1780777378,2026-06-07 04:22:58,257,13066,55,378,https://i0.hdslb.com/bfs/archive/f2a2066d3476219202b2346ff5d7d561adfc0f90.png@160w_90h_1c.webp,【明日夢 歌切】[2026-06-06]祝活动五周年！55曲连唱挑战！！！！🔥 明日夢かなえ,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,4,false,S-uxpC5jFdEWPEY4Pz7LzQq3PJ4,瞬間、シンフォニ,P主/术力口作者:40mP,direct
星降る海,Aqu3ra & 月見ヤチヨ(CV:早見沙織),明日夢かなえ,asuyumekanae.js,【明日夢 歌切】[2026-06-06]祝活动五周年！55曲连唱挑战！！！！🔥 明日夢かなえ,https://www.bilibili.com/video/BV19rEW6TETM?p=27,BV19rEW6TETM,116704998856509,38919078441,27,1780777378,2026-06-07 04:22:58,1780777378,2026-06-07 04:22:58,255,13066,55,378,https://i0.hdslb.com/bfs/archive/f2a2066d3476219202b2346ff5d7d561adfc0f90.png@160w_90h_1c.webp,【明日夢 歌切】[2026-06-06]祝活动五周年！55曲连唱挑战！！！！🔥 明日夢かなえ,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,10,false,ZzkLqguUvv8M23-3J4aDyldQr0E,星降る海,P主/术力口作者:Aqu3ra,direct
白い雪のプリンセスは,のぼる↑ feat. 初音ミク,明日夢かなえ,asuyumekanae.js,【明日夢 歌切】[2026-06-06]祝活动五周年！55曲连唱挑战！！！！🔥 明日夢かなえ,https://www.bilibili.com/video/BV19rEW6TETM?p=35,BV19rEW6TETM,116704998856509,38919080792,35,1780777378,2026-06-07 04:22:58,1780777378,2026-06-07 04:22:58,261,13066,55,378,https://i0.hdslb.com/bfs/archive/f2a2066d3476219202b2346ff5d7d561adfc0f90.png@160w_90h_1c.webp,【明日夢 歌切】[2026-06-06]祝活动五周年！55曲连唱挑战！！！！🔥 明日夢かなえ,前尘往事如昔故,前尘往事如昔故,3546597260528367,11,24,false,0jAUP1D7Ns9etAVBf79j-OQTBw8,白い雪のプリンセスは,音源/术力口词:初音ミク | 已知术力口曲名:白い雪のプリンセスは,direct
