title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
ヒバナ,DECO*27 feat. 初音ミク,AZKi,azki.js,AZKi 2023年03月05日22点场 3月最初の歌枠！Singing Stream,https://www.bilibili.com/video/BV1GqcSeREsJ?p=2,BV1GqcSeREsJ,113822656366752,38733024680,2,1736797365,2025-01-14 03:42:45,1736797365,2025-01-14 03:42:45,205,2068,9,151,https://i1.hdslb.com/bfs/archive/704b17b847aed689bfe76cccb3db039289c7e15c.png@160w_90h_1c.webp,AZKi 2023年03月05日22点场 3月最初の歌枠！Singing Stream,前尘往事如昔故,前尘往事如昔故,3546597260528367,11,17,false,kyAlZxWOnIvyqA5igBQduv1-orM,ヒバナ,音源/术力口词:初音ミク | P主/术力口作者:DECO*27 | 已知术力口曲名:ヒバナ,direct
少女レイ,みきとP feat. 初音ミク,AZKi,azki.js,AZKi 2023年03月05日22点场 3月最初の歌枠！Singing Stream,https://www.bilibili.com/video/BV1GqcSeREsJ?p=9,BV1GqcSeREsJ,113822656366752,38733087447,9,1736797365,2025-01-14 03:42:45,1736797365,2025-01-14 03:42:45,283,2068,9,151,https://i1.hdslb.com/bfs/archive/704b17b847aed689bfe76cccb3db039289c7e15c.png@160w_90h_1c.webp,AZKi 2023年03月05日22点场 3月最初の歌枠！Singing Stream,前尘往事如昔故,前尘往事如昔故,3546597260528367,23,109,false,aSY13fVpbzjUyBmDT1TWgPJ1HYM,少女レイ,音源/术力口词:初音ミク | P主/术力口作者:みきとP | 已知术力口曲名:少女レイ,direct
夜明けと蛍,n-buna feat. 初音ミク,AZKi,azki.js,AZKi 2023年03月05日22点场 3月最初の歌枠！Singing Stream,https://www.bilibili.com/video/BV1GqcSeREsJ?p=8,BV1GqcSeREsJ,113822656366752,38733087073,8,1736797365,2025-01-14 03:42:45,1736797365,2025-01-14 03:42:45,307,2068,9,151,https://i1.hdslb.com/bfs/archive/704b17b847aed689bfe76cccb3db039289c7e15c.png@160w_90h_1c.webp,AZKi 2023年03月05日22点场 3月最初の歌枠！Singing Stream,前尘往事如昔故,前尘往事如昔故,3546597260528367,22,123,false,y0RRahhrHzAdI5yOuBYEipXl0jQ,夜明けと蛍,音源/术力口词:初音ミク | P主/术力口作者:n-buna | 已知术力口曲名:夜明けと蛍,direct
モザイクロール,DECO*27,AZKi,azki.js,AZKi 2023年09月13日22点场 エモロック・バラード・しっとり歌う！Singing Stream,https://www.bilibili.com/video/BV1SY1dYoE5q?p=2,BV1SY1dYoE5q,113255922013107,38733417010,2,1728149102,2024-10-06 01:25:02,1728149102,2024-10-06 01:25:02,182,3134,11,95,https://i0.hdslb.com/bfs/archive/62eb95ebd251fb617d8da62cf091dfefede426a7.png@160w_90h_1c.webp,AZKi 2023年09月13日22点场 エモロック・バラード・しっとり歌う！Singing Stream,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,12,false,if4GJsUA4bXXKPxY95faEvKQaf0,モザイクロル,P主/术力口作者:DECO*27 | 已知术力口曲名:モザイクロール,direct
夜明けと蛍,n-buna feat. 初音ミク,AZKi,azki.js,AZKi 2023年09月13日22点场 エモロック・バラード・しっとり歌う！Singing Stream,https://www.bilibili.com/video/BV1SY1dYoE5q?p=1,BV1SY1dYoE5q,113255922013107,38733416582,1,1728149102,2024-10-06 01:25:02,1728149102,2024-10-06 01:25:02,308,3134,11,95,https://i0.hdslb.com/bfs/archive/62eb95ebd251fb617d8da62cf091dfefede426a7.png@160w_90h_1c.webp,AZKi 2023年09月13日22点场 エモロック・バラード・しっとり歌う！Singing Stream,前尘往事如昔故,前尘往事如昔故,3546597260528367,22,123,false,9jxWmdZ-tSLM7GQaxaxZQMmREsA,夜明けと蛍,音源/术力口词:初音ミク | P主/术力口作者:n-buna | 已知术力口曲名:夜明けと蛍,direct
強風オールバック,ゆこぴ feat.歌愛ユキ,AZKi,azki.js,AZKi 2024年01月03日22点场 新年のご挨拶＆歌い始め！Happy New Year 2024 Singing Stream,https://www.bilibili.com/video/BV1SY1dYoEVv?p=10,BV1SY1dYoEVv,113255922013175,38756093072,10,1728149004,2024-10-06 01:23:24,1728149004,2024-10-06 01:23:24,142,2397,11,105,https://i2.hdslb.com/bfs/archive/af81cd32d5d685782cbb5dc110d9734af70a4215.png@160w_90h_1c.webp,AZKi 2024年01月03日22点场 新年のご挨拶＆歌い始め！Happy New Year 2024 Singing Stream,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,2T6HsuSZZ-agDbdxOfYpFvkjxZg,強風オルバック,音源/术力口词:其他音源 | 已知术力口曲名:強風オールバック,direct
ド屑,なきそ feat.歌愛ユキ,AZKi,azki.js,AZKi 2024年04月27日16点场 負けない！！！！！！！！！！1M SUBS ENDURANCE SINGING STREAM,https://www.bilibili.com/video/BV1Xx1dYaEnj?p=5,BV1Xx1dYaEnj,113255938790455,38756222506,5,1728148972,2024-10-06 01:22:52,1728148972,2024-10-06 01:22:52,125,15890,64,82,https://i1.hdslb.com/bfs/archive/5fe10b7c7d10f9371be28137b38b27f32497142a.png@160w_90h_1c.webp,AZKi 2024年04月27日16点场 負けない！！！！！！！！！！1M SUBS ENDURANCE SINGING STREAM,前尘往事如昔故,前尘往事如昔故,3546597260528367,5,6,false,wVO3EC2Ubp96FVIWEqUNAQQ2X5E,ド屑,音源/术力口词:其他音源,direct
メルト,ryo(supercell) feat.初音ミク,AZKi,azki.js,AZKi 2024年04月27日16点场 負けない！！！！！！！！！！1M SUBS ENDURANCE SINGING STREAM,https://www.bilibili.com/video/BV1Xx1dYaEnj?p=10,BV1Xx1dYaEnj,113255938790455,38756223111,10,1728148972,2024-10-06 01:22:52,1728148972,2024-10-06 01:22:52,259,15890,64,82,https://i1.hdslb.com/bfs/archive/5fe10b7c7d10f9371be28137b38b27f32497142a.png@160w_90h_1c.webp,AZKi 2024年04月27日16点场 負けない！！！！！！！！！！1M SUBS ENDURANCE SINGING STREAM,前尘往事如昔故,前尘往事如昔故,3546597260528367,24,66,false,tFqEC9BdoKQxohN886FAc0eKKtA,メルト,音源/术力口词:初音ミク | 已知术力口曲名:メルト,direct
愛言葉III,DECO*27 feat.初音ミク,AZKi,azki.js,AZKi 2024年04月27日16点场 負けない！！！！！！！！！！1M SUBS ENDURANCE SINGING STREAM,https://www.bilibili.com/video/BV1Xx1dYaEnj?p=7,BV1Xx1dYaEnj,113255938790455,38756222977,7,1728148972,2024-10-06 01:22:52,1728148972,2024-10-06 01:22:52,245,15890,64,82,https://i1.hdslb.com/bfs/archive/5fe10b7c7d10f9371be28137b38b27f32497142a.png@160w_90h_1c.webp,AZKi 2024年04月27日16点场 負けない！！！！！！！！！！1M SUBS ENDURANCE SINGING STREAM,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,5,false,2Yg_9KenXpdSDaInzCzKf2RPxuQ,愛言葉iii,音源/术力口词:初音ミク | P主/术力口作者:DECO*27 | 已知术力口曲名:愛言葉III,direct
少女レイ,みきとP feat.初音ミク,AZKi,azki.js,AZKi 2024年04月27日16点场 負けない！！！！！！！！！！1M SUBS ENDURANCE SINGING STREAM,https://www.bilibili.com/video/BV1Xx1dYaEnj?p=1,BV1Xx1dYaEnj,113255938790455,38756222020,1,1728148972,2024-10-06 01:22:52,1728148972,2024-10-06 01:22:52,283,15890,64,82,https://i1.hdslb.com/bfs/archive/5fe10b7c7d10f9371be28137b38b27f32497142a.png@160w_90h_1c.webp,AZKi 2024年04月27日16点场 負けない！！！！！！！！！！1M SUBS ENDURANCE SINGING STREAM,前尘往事如昔故,前尘往事如昔故,3546597260528367,23,109,false,Mela4D-QrV9Cbym3eENSHPTQNBs,少女レイ,音源/术力口词:初音ミク | P主/术力口作者:みきとP | 已知术力口曲名:少女レイ,direct
