title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
フォニイ,ツミキ,陽月るるふ,bv1qa9jb6eaw.js,🐺🎀 打卡生日月每日歌回 Day8 陽月るるふ,https://www.bilibili.com/video/BV19iDzBZEfD?p=10,BV19iDzBZEfD,116366283641856,37324327324,10,1775608876,2026-04-08 08:41:16,1775608876,2026-04-08 08:41:16,189,3829,15,419,https://i2.hdslb.com/bfs/archive/500eb440a3ea62df6246a490d62779db5580ddd3.png@160w_90h_1c.webp,🐺🎀 打卡生日月每日歌回 Day8 陽月るるふ,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,52,false,4mkPHaPO17I8qm-eJllA6daRWyk,フォニイ,P主/术力口作者:ツミキ | 已知术力口曲名:フォニイ,direct
初めての恋が終わる時,supercell,陽月るるふ,bv1qa9jb6eaw.js,🐺🎀 打卡生日月每日歌回 Day8 陽月るるふ,https://www.bilibili.com/video/BV19iDzBZEfD?p=2,BV19iDzBZEfD,116366283641856,37324260938,2,1775608876,2026-04-08 08:41:16,1775608876,2026-04-08 08:41:16,313,3829,15,419,https://i2.hdslb.com/bfs/archive/500eb440a3ea62df6246a490d62779db5580ddd3.png@160w_90h_1c.webp,🐺🎀 打卡生日月每日歌回 Day8 陽月るるふ,前尘往事如昔故,前尘往事如昔故,3546597260528367,5,7,false,-IJlkfPh8eXHK2g19oUmjkAgA24,初めての恋が終わる時,已知术力口曲名:初めての恋が終わる時,direct
サマータイムレコード,じん,陽月るるふ,bv1qa9jb6eaw.js,🐺🎀 打卡生日月每日歌回 Day6 陽月るるふ,https://www.bilibili.com/video/BV1gWSRBFES5?p=4,BV1gWSRBFES5,116354120227773,37272749027,4,1775423749,2026-04-06 05:15:49,1775423749,2026-04-06 05:15:49,272,3519,14,390,https://i2.hdslb.com/bfs/archive/1b60e27a0025fcd8ce15807f39a5753396a5d024.png@160w_90h_1c.webp,🐺🎀 打卡生日月每日歌回 Day6 陽月るるふ,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,41,false,RrUhYGAYrbrlRjrA-E4MxBKl0Gk,サマタイムレコド,P主/术力口作者:じん | 已知术力口曲名:サマータイムレコード,direct
ブラック★ロックシューター,supercell,陽月るるふ,bv1qa9jb6eaw.js,🐺🎀 打卡生日月每日歌回 Day6 陽月るるふ,https://www.bilibili.com/video/BV1gWSRBFES5?p=2,BV1gWSRBFES5,116354120227773,37272748682,2,1775423749,2026-04-06 05:15:49,1775423749,2026-04-06 05:15:49,290,3519,14,390,https://i2.hdslb.com/bfs/archive/1b60e27a0025fcd8ce15807f39a5753396a5d024.png@160w_90h_1c.webp,🐺🎀 打卡生日月每日歌回 Day6 陽月るるふ,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,23,false,NEoHnmg4q66V9qxJVldJJ-E01fc,ブラックロックシュタ,已知术力口曲名:ブラック★ロックシューター,direct
メルト,ryo,陽月るるふ,bv1qa9jb6eaw.js,🐺🎀 打卡生日月每日歌回 Day6 陽月るるふ,https://www.bilibili.com/video/BV1gWSRBFES5?p=8,BV1gWSRBFES5,116354120227773,37272749791,8,1775423749,2026-04-06 05:15:49,1775423749,2026-04-06 05:15:49,262,3519,14,390,https://i2.hdslb.com/bfs/archive/1b60e27a0025fcd8ce15807f39a5753396a5d024.png@160w_90h_1c.webp,🐺🎀 打卡生日月每日歌回 Day6 陽月るるふ,前尘往事如昔故,前尘往事如昔故,3546597260528367,24,66,false,eN4zc_hndzLkYUUT1hqjHgNtlwA,メルト,已知术力口曲名:メルト,direct
ロミオとシンデレラ,doriko,陽月るるふ,bv1qa9jb6eaw.js,🐺🎀 打卡生日月每日歌回 Day6 陽月るるふ,https://www.bilibili.com/video/BV1gWSRBFES5?p=1,BV1gWSRBFES5,116354120227773,37272748094,1,1775423749,2026-04-06 05:15:49,1775423749,2026-04-06 05:15:49,280,3519,14,390,https://i2.hdslb.com/bfs/archive/1b60e27a0025fcd8ce15807f39a5753396a5d024.png@160w_90h_1c.webp,🐺🎀 打卡生日月每日歌回 Day6 陽月るるふ,前尘往事如昔故,前尘往事如昔故,3546597260528367,21,41,false,T0oUbUDEMuY8wURC2SniycuTy9E,ロミオとシンデレラ,P主/术力口作者:doriko | 已知术力口曲名:ロミオとシンデレラ,direct
ワールドイズマイン,supercell,陽月るるふ,bv1qa9jb6eaw.js,🐺🎀 打卡生日月每日歌回 Day6 陽月るるふ,https://www.bilibili.com/video/BV1gWSRBFES5?p=3,BV1gWSRBFES5,116354120227773,37272748789,3,1775423749,2026-04-06 05:15:49,1775423749,2026-04-06 05:15:49,254,3519,14,390,https://i2.hdslb.com/bfs/archive/1b60e27a0025fcd8ce15807f39a5753396a5d024.png@160w_90h_1c.webp,🐺🎀 打卡生日月每日歌回 Day6 陽月るるふ,前尘往事如昔故,前尘往事如昔故,3546597260528367,18,33,false,kC1lnKVguYTOjfDY7NgR6j3x9ws,ワルドイズマイン,已知术力口曲名:ワールドイズマイン,direct
からくりピエロ,40mP,陽月るるふ,bv1qa9jb6eaw.js,🐺🎀 打卡生日月每日歌回 Day5 陽月るるふ,https://www.bilibili.com/video/BV1EjSSBbEhj?p=3,BV1EjSSBbEhj,116350764719519,37255383995,3,1775372660,2026-04-05 15:04:20,1775372660,2026-04-05 15:04:20,263,2131,8,362,https://i2.hdslb.com/bfs/archive/c97fd7c862806e971f719c984b3ed6cc4418f744.png@160w_90h_1c.webp,🐺🎀 打卡生日月每日歌回 Day5 陽月るるふ,前尘往事如昔故,前尘往事如昔故,3546597260528367,20,43,false,BEwe0nmh4V_rLqeVKoGmtfvkk5Y,からくりピエロ,P主/术力口作者:40mP | 已知术力口曲名:からくりピエロ,direct
それがあなたの幸せとしても,Heavenz,陽月るるふ,bv1qa9jb6eaw.js,🐺🎀 打卡生日月每日歌回 Day5 陽月るるふ,https://www.bilibili.com/video/BV1EjSSBbEhj?p=7,BV1EjSSBbEhj,116350764719519,37255450051,7,1775372660,2026-04-05 15:04:20,1775372660,2026-04-05 15:04:20,266,2131,8,362,https://i2.hdslb.com/bfs/archive/c97fd7c862806e971f719c984b3ed6cc4418f744.png@160w_90h_1c.webp,🐺🎀 打卡生日月每日歌回 Day5 陽月るるふ,前尘往事如昔故,前尘往事如昔故,3546597260528367,8,27,false,ZmCnn3o_QvA7mh8zv_dHYNihUEM,それがあなたの幸せとしても,P主/术力口作者:Heavenz,direct
妄想感傷代償連盟,DECO*27,陽月るるふ,bv1qa9jb6eaw.js,🐺🎀 打卡生日月每日歌回 Day5 陽月るるふ,https://www.bilibili.com/video/BV1EjSSBbEhj?p=4,BV1EjSSBbEhj,116350764719519,37255447287,4,1775372660,2026-04-05 15:04:20,1775372660,2026-04-05 15:04:20,283,2131,8,362,https://i2.hdslb.com/bfs/archive/c97fd7c862806e971f719c984b3ed6cc4418f744.png@160w_90h_1c.webp,🐺🎀 打卡生日月每日歌回 Day5 陽月るるふ,前尘往事如昔故,前尘往事如昔故,3546597260528367,16,46,false,K9v58OCnmR9hOM0RmtQ49wtRwxo,妄想感傷代償連盟,P主/术力口作者:DECO*27 | 已知术力口曲名:妄想感傷代償連盟,direct
