title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
いーあるふぁんくらぶ,みきとP feat. GUMI・鏡音リン,知悠,chiyutori .js,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,https://www.bilibili.com/video/BV1LTj76JEor?p=2,BV1LTj76JEor,116762158829977,39172115477,2,1781650116,2026-06-17 06:48:36,1781650117,2026-06-17 06:48:37,232,13991,56,125,https://i2.hdslb.com/bfs/archive/46f234bf62634501fbcfd02c4ac84cac0a12d3f6.png@160w_90h_1c.webp,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,23,false,rVovykwjHIUwKzFL36s4C_wPPrM,いあるふぁんくらぶ,音源/术力口词:鏡音リン/レン | 音源/术力口词:GUMI/Megpoid | P主/术力口作者:みきとP | 已知术力口曲名:いーあるふぁんくらぶ,direct
ブラック★ロックシューター,ryo(supercell) feat. 初音ミク,知悠,chiyutori .js,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,https://www.bilibili.com/video/BV1LTj76JEor?p=5,BV1LTj76JEor,116762158829977,39172179164,5,1781650116,2026-06-17 06:48:36,1781650117,2026-06-17 06:48:37,286,13991,56,125,https://i2.hdslb.com/bfs/archive/46f234bf62634501fbcfd02c4ac84cac0a12d3f6.png@160w_90h_1c.webp,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,23,false,a010EiG3aknl_nMwrZziyrTKpNE,ブラックロックシュタ,音源/术力口词:初音ミク | 已知术力口曲名:ブラック★ロックシューター,direct
メルト,ryo(supercell) feat. 初音ミク,知悠,chiyutori .js,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,https://www.bilibili.com/video/BV1LTj76JEor?p=16,BV1LTj76JEor,116762158829977,39172705343,16,1781650116,2026-06-17 06:48:36,1781650117,2026-06-17 06:48:37,257,13991,56,125,https://i2.hdslb.com/bfs/archive/46f234bf62634501fbcfd02c4ac84cac0a12d3f6.png@160w_90h_1c.webp,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,前尘往事如昔故,前尘往事如昔故,3546597260528367,24,66,false,07aCsZcTlKEvu5g5Jf1iMZgm-ds,メルト,音源/术力口词:初音ミク | 已知术力口曲名:メルト,direct
少女レイ,みきとP feat. 初音ミク,知悠,chiyutori .js,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,https://www.bilibili.com/video/BV1LTj76JEor?p=4,BV1LTj76JEor,116762158829977,39172179072,4,1781650116,2026-06-17 06:48:36,1781650117,2026-06-17 06:48:37,284,13991,56,125,https://i2.hdslb.com/bfs/archive/46f234bf62634501fbcfd02c4ac84cac0a12d3f6.png@160w_90h_1c.webp,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,前尘往事如昔故,前尘往事如昔故,3546597260528367,23,109,false,8eHYynQUF7KuW56xXm40rUiXDso,少女レイ,音源/术力口词:初音ミク | P主/术力口作者:みきとP | 已知术力口曲名:少女レイ,direct
心做し,蝶々P feat. GUMI,知悠,chiyutori .js,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,https://www.bilibili.com/video/BV1LTj76JEor?p=39,BV1LTj76JEor,116762158829977,39172901439,39,1781650116,2026-06-17 06:48:36,1781650117,2026-06-17 06:48:37,265,13991,56,125,https://i2.hdslb.com/bfs/archive/46f234bf62634501fbcfd02c4ac84cac0a12d3f6.png@160w_90h_1c.webp,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,前尘往事如昔故,前尘往事如昔故,3546597260528367,18,46,false,zCWtXVS-KJ3b_cF_M0Mvy1TEWYQ,心做し,音源/术力口词:GUMI/Megpoid | P主/术力口作者:蝶々P,direct
千本桜,黒うさP feat. 初音ミク,知悠,chiyutori .js,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,https://www.bilibili.com/video/BV1LTj76JEor?p=25,BV1LTj76JEor,116762158829977,39172770711,25,1781650116,2026-06-17 06:48:36,1781650117,2026-06-17 06:48:37,241,13991,56,125,https://i2.hdslb.com/bfs/archive/46f234bf62634501fbcfd02c4ac84cac0a12d3f6.png@160w_90h_1c.webp,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,31,false,6IaNJrDdM1kabZhE39VHjr2MHzA,千本桜,音源/术力口词:初音ミク | P主/术力口作者:黒うさP | 已知术力口曲名:千本桜,direct
地球最後の告白を,kemu feat. GUMI,知悠,chiyutori .js,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,https://www.bilibili.com/video/BV1LTj76JEor?p=19,BV1LTj76JEor,116762158829977,39172770171,19,1781650116,2026-06-17 06:48:36,1781650117,2026-06-17 06:48:37,268,13991,56,125,https://i2.hdslb.com/bfs/archive/46f234bf62634501fbcfd02c4ac84cac0a12d3f6.png@160w_90h_1c.webp,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,27,false,UXZCAVS50YiESWQz2tzpcvR2los,地球最後の告白を,音源/术力口词:GUMI/Megpoid | P主/术力口作者:kemu | 已知术力口曲名:地球最後の告白を,direct
天ノ弱,164 feat. GUMI,知悠,chiyutori .js,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,https://www.bilibili.com/video/BV1LTj76JEor?p=9,BV1LTj76JEor,116762158829977,39172310090,9,1781650116,2026-06-17 06:48:36,1781650117,2026-06-17 06:48:37,188,13991,56,125,https://i2.hdslb.com/bfs/archive/46f234bf62634501fbcfd02c4ac84cac0a12d3f6.png@160w_90h_1c.webp,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,24,false,FqAseP9RdqtzBrBsdUrrtTe3EIg,天ノ弱,音源/术力口词:GUMI/Megpoid | P主/术力口作者:164 | 已知术力口曲名:天ノ弱,direct
東京テディベア,Neru feat. 鏡音リン,知悠,chiyutori .js,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,https://www.bilibili.com/video/BV1LTj76JEor?p=12,BV1LTj76JEor,116762158829977,39172704574,12,1781650116,2026-06-17 06:48:36,1781650117,2026-06-17 06:48:37,191,13991,56,125,https://i2.hdslb.com/bfs/archive/46f234bf62634501fbcfd02c4ac84cac0a12d3f6.png@160w_90h_1c.webp,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,前尘往事如昔故,前尘往事如昔故,3546597260528367,6,11,false,gjv-Tgn1Qgy7iN1T60EgsOVS0lQ,東京テディベア,音源/术力口词:鏡音リン/レン | P主/术力口作者:Neru | 已知术力口曲名:東京テディベア,direct
浮かれた大学生は死ね,石風呂 feat. 開発コードmiki,知悠,chiyutori .js,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,https://www.bilibili.com/video/BV1LTj76JEor?p=6,BV1LTj76JEor,116762158829977,39172244541,6,1781650116,2026-06-17 06:48:36,1781650117,2026-06-17 06:48:37,215,13991,56,125,https://i2.hdslb.com/bfs/archive/46f234bf62634501fbcfd02c4ac84cac0a12d3f6.png@160w_90h_1c.webp,【歌切】[2026-06-15]目标1100赞✨频道订阅4100人耐久直播！可点歌♪ 知悠 - Chiyutori -,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,wYWT_cjyW1iG-zc4hGYgk4Qqllw,浮かれた大学生は死ね,音源/术力口词:其他音源 | P主/术力口作者:石風呂,direct
