title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
メルト,ryo(supercell) feat.初音ミク,CULUA,culua.js,【🦇歌切】[2026-06-12]求：点歌｜CULUA的歌单第34弹 CULUA,https://www.bilibili.com/video/BV1YYJ561Ewd?p=10,BV1YYJ561Ewd,116737613831121,39069286564,10,1781275761,2026-06-12 22:49:21,1781275761,2026-06-12 22:49:21,257,2260,10,129,https://i2.hdslb.com/bfs/archive/c9ac036ef2aaa9717e2d81f1d23725376b915ba9.png@160w_90h_1c.webp,【🦇歌切】[2026-06-12]求：点歌｜CULUA的歌单第34弹 CULUA,前尘往事如昔故,前尘往事如昔故,3546597260528367,24,66,false,GcI2ymxSiKN2VeuBWVU7jlTFyf8,メルト,音源/术力口词:初音ミク | 已知术力口曲名:メルト,direct
ロンリーユニバース,Aqu3ra feat.flower・初音ミク,CULUA,culua.js,【🦇歌切】[2026-06-12]求：点歌｜CULUA的歌单第34弹 CULUA,https://www.bilibili.com/video/BV1YYJ561Ewd?p=7,BV1YYJ561Ewd,116737613831121,39069222486,7,1781275761,2026-06-12 22:49:21,1781275761,2026-06-12 22:49:21,220,2260,10,129,https://i2.hdslb.com/bfs/archive/c9ac036ef2aaa9717e2d81f1d23725376b915ba9.png@160w_90h_1c.webp,【🦇歌切】[2026-06-12]求：点歌｜CULUA的歌单第34弹 CULUA,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,8,false,bJiCD8m_6fhCMaZj4T40YhEp1R0,ロンリユニバス,音源/术力口词:初音ミク | P主/术力口作者:Aqu3ra,direct
君の神様になりたい。,カンザキイオリ feat.初音ミク,CULUA,culua.js,【🦇歌切】[2026-06-12]求：点歌｜CULUA的歌单第34弹 CULUA,https://www.bilibili.com/video/BV1YYJ561Ewd?p=6,BV1YYJ561Ewd,116737613831121,39069221681,6,1781275761,2026-06-12 22:49:21,1781275761,2026-06-12 22:49:21,289,2260,10,129,https://i2.hdslb.com/bfs/archive/c9ac036ef2aaa9717e2d81f1d23725376b915ba9.png@160w_90h_1c.webp,【🦇歌切】[2026-06-12]求：点歌｜CULUA的歌单第34弹 CULUA,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,2,false,BQnMvnROXJs1BkkBvxxpShoUyYw,君の神様になりたい,音源/术力口词:初音ミク | P主/术力口作者:カンザキイオリ,direct
天ノ弱,164 feat.GUMI,CULUA,culua.js,【🦇歌切】[2026-06-12]求：点歌｜CULUA的歌单第34弹 CULUA,https://www.bilibili.com/video/BV1YYJ561Ewd?p=4,BV1YYJ561Ewd,116737613831121,39069159388,4,1781275761,2026-06-12 22:49:21,1781275761,2026-06-12 22:49:21,208,2260,10,129,https://i2.hdslb.com/bfs/archive/c9ac036ef2aaa9717e2d81f1d23725376b915ba9.png@160w_90h_1c.webp,【🦇歌切】[2026-06-12]求：点歌｜CULUA的歌单第34弹 CULUA,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,24,false,RwiI1MPMXK5vnWxaw4MQMMv2uBs,天ノ弱,音源/术力口词:GUMI/Megpoid | P主/术力口作者:164 | 已知术力口曲名:天ノ弱,direct
贖罪,傘村トータ feat.IA・結月ゆかり・初音ミク・Fukase・Ken,CULUA,culua.js,【🦇歌切】[2026-06-12]求：点歌｜CULUA的歌单第34弹 CULUA,https://www.bilibili.com/video/BV1YYJ561Ewd?p=5,BV1YYJ561Ewd,116737613831121,39069158968,5,1781275761,2026-06-12 22:49:21,1781275761,2026-06-12 22:49:21,260,2260,10,129,https://i2.hdslb.com/bfs/archive/c9ac036ef2aaa9717e2d81f1d23725376b915ba9.png@160w_90h_1c.webp,【🦇歌切】[2026-06-12]求：点歌｜CULUA的歌单第34弹 CULUA,前尘往事如昔故,前尘往事如昔故,3546597260528367,7,14,false,HJF1is_7H2Tz73FO6JpOr_3l5HE,贖罪,音源/术力口词:初音ミク | 音源/术力口词:IA | 音源/术力口词:SynthV/NEUTRINO/VoiSona | 音源/术力口词:其他音源 | P主/术力口作者:傘村トータ,direct
ハロ／ハワユ,ナノウ(ほえほえP) feat.初音ミク,CULUA,culua.js,【🦇歌切】[2026-06-08]原声吉他伴奏限定 @雨天☂︎｜舒缓的歌单第32弹 CULUA,https://www.bilibili.com/video/BV1h3EE6pEab?p=1,BV1h3EE6pEab,116719678917985,38985141578,1,1781001476,2026-06-09 18:37:56,1781001476,2026-06-09 18:37:56,275,2705,10,135,https://i0.hdslb.com/bfs/archive/c989934dfd3db6e2f8dc229f660572c613a61f65.png@160w_90h_1c.webp,【🦇歌切】[2026-06-08]原声吉他伴奏限定 @雨天☂︎｜舒缓的歌单第32弹 CULUA,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,32,false,iveDidpfXCkccE1DY-UT60ov2ZI,ハロ/ハワユ,音源/术力口词:初音ミク | 已知术力口曲名:ハロ／ハワユ,direct
雨き声残響,Orangestar feat.IA,CULUA,culua.js,【🦇歌切】[2026-06-08]原声吉他伴奏限定 @雨天☂︎｜舒缓的歌单第32弹 CULUA,https://www.bilibili.com/video/BV1h3EE6pEab?p=6,BV1h3EE6pEab,116719678917985,38985206184,6,1781001476,2026-06-09 18:37:56,1781001476,2026-06-09 18:37:56,189,2705,10,135,https://i0.hdslb.com/bfs/archive/c989934dfd3db6e2f8dc229f660572c613a61f65.png@160w_90h_1c.webp,【🦇歌切】[2026-06-08]原声吉他伴奏限定 @雨天☂︎｜舒缓的歌单第32弹 CULUA,前尘往事如昔故,前尘往事如昔故,3546597260528367,5,6,false,V05LC8h7gBzrI80lU1TboeCvjuA,雨き声残響,音源/术力口词:IA | P主/术力口作者:Orangestar | 已知术力口曲名:雨き声残響,direct
夜明けと蛍,n-buna feat.初音ミク,CULUA,culua.js,【🦇歌切】[2026-06-08]原声吉他伴奏限定 @雨天☂︎｜舒缓的歌单第32弹 CULUA,https://www.bilibili.com/video/BV1h3EE6pEab?p=10,BV1h3EE6pEab,116719678917985,38985271546,10,1781001476,2026-06-09 18:37:56,1781001476,2026-06-09 18:37:56,310,2705,10,135,https://i0.hdslb.com/bfs/archive/c989934dfd3db6e2f8dc229f660572c613a61f65.png@160w_90h_1c.webp,【🦇歌切】[2026-06-08]原声吉他伴奏限定 @雨天☂︎｜舒缓的歌单第32弹 CULUA,前尘往事如昔故,前尘往事如昔故,3546597260528367,22,123,false,vCjMaP4CbLFHZvXSwRKbRwwmI2E,夜明けと蛍,音源/术力口词:初音ミク | P主/术力口作者:n-buna | 已知术力口曲名:夜明けと蛍,direct
ブリキノダンス,日向電工,CULUA,culua.js,【歌切】[2026-05-25]活动二周年纪念☾ CULUA,https://www.bilibili.com/video/BV15gVc6aEoe?p=2,BV15gVc6aEoe,116637453781180,38613485689,2,1779746712,2026-05-26 06:05:12,1779746712,2026-05-26 06:05:12,197,1633,7,177,https://i1.hdslb.com/bfs/archive/4c59406b167c5c8314abaeaea98960f7b95392a2.png@160w_90h_1c.webp,【歌切】[2026-05-25]活动二周年纪念☾ CULUA,前尘往事如昔故,前尘往事如昔故,3546597260528367,11,25,false,teslYt7d6F9LY2U75qgFS2yDO28,ブリキノダンス,P主/术力口作者:日向電工,direct
命に嫌われている,カンザキイオリ,CULUA,culua.js,【歌切】[2026-05-25]活动二周年纪念☾ CULUA,https://www.bilibili.com/video/BV15gVc6aEoe?p=6,BV15gVc6aEoe,116637453781180,38613486900,6,1779746712,2026-05-26 06:05:12,1779746712,2026-05-26 06:05:12,264,1633,7,177,https://i1.hdslb.com/bfs/archive/4c59406b167c5c8314abaeaea98960f7b95392a2.png@160w_90h_1c.webp,【歌切】[2026-05-25]活动二周年纪念☾ CULUA,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,4,false,Rlrb-rr7bQtz1WfuqJR4DUn_EVs,命に嫌われている,P主/术力口作者:カンザキイオリ | 已知术力口曲名:命に嫌われている。,direct
