title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
"rain stops, good-bye",におP feat.初音ミク,Figaro,figaro.js,【💐歌切】#271[2026-06-14]睡眠导入歌回✨睡前放松时刻请随意收听🌙 Figaro,https://www.bilibili.com/video/BV1e7JM6aEKP?p=4,BV1e7JM6aEKP,116750314178551,39123224495,4,1781469156,2026-06-15 04:32:36,1781469157,2026-06-15 04:32:37,323,3552,13,123,https://i2.hdslb.com/bfs/archive/cfc6e8f59915e34de482167f17030d4b6eb6a644.png@160w_90h_1c.webp,【💐歌切】#271[2026-06-14]睡眠导入歌回✨睡前放松时刻请随意收听🌙 Figaro,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,36,false,ADlaLz2Cg9_F9pycMoNYnA2-rNY,rainstopsgoodbye,音源/术力口词:初音ミク,direct
グリグリメガネと月光蟲,古川本舗 feat.初音ミク,Figaro,figaro.js,【💐歌切】#271[2026-06-14]睡眠导入歌回✨睡前放松时刻请随意收听🌙 Figaro,https://www.bilibili.com/video/BV1e7JM6aEKP?p=8,BV1e7JM6aEKP,116750314178551,39123225377,8,1781469156,2026-06-15 04:32:36,1781469157,2026-06-15 04:32:37,279,3552,13,123,https://i2.hdslb.com/bfs/archive/cfc6e8f59915e34de482167f17030d4b6eb6a644.png@160w_90h_1c.webp,【💐歌切】#271[2026-06-14]睡眠导入歌回✨睡前放松时刻请随意收听🌙 Figaro,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,sZcubqmgWB7JtSFByUSi7x84QEY,グリグリメガネと月光蟲,音源/术力口词:初音ミク,direct
夕立のりぼん,みきとP feat.MAYU,Figaro,figaro.js,【💐歌切】#271[2026-06-14]睡眠导入歌回✨睡前放松时刻请随意收听🌙 Figaro,https://www.bilibili.com/video/BV1e7JM6aEKP?p=5,BV1e7JM6aEKP,116750314178551,39123224693,5,1781469156,2026-06-15 04:32:36,1781469157,2026-06-15 04:32:37,270,3552,13,123,https://i2.hdslb.com/bfs/archive/cfc6e8f59915e34de482167f17030d4b6eb6a644.png@160w_90h_1c.webp,【💐歌切】#271[2026-06-14]睡眠导入歌回✨睡前放松时刻请随意收听🌙 Figaro,前尘往事如昔故,前尘往事如昔故,3546597260528367,5,9,false,VMC7qzGUc8JoCSWejc1zofDE3iU,夕立のりぼん,音源/术力口词:其他音源 | P主/术力口作者:みきとP,direct
とても素敵な六月でした,Eight feat. 初音ミク,Figaro,figaro.js,【💐歌切】[2026-06-10]好久不见的竖屏歌回 Figaro,https://www.bilibili.com/video/BV1LcJF63EbL?p=2,BV1LcJF63EbL,116727564211792,39021445466,2,1781122126,2026-06-11 04:08:46,1781122126,2026-06-11 04:08:46,276,3358,14,68,https://i0.hdslb.com/bfs/archive/0c82419e0d950301c8f65586457b8a3929d09e07.png@160w_90h_1c.webp,【💐歌切】[2026-06-10]好久不见的竖屏歌回 Figaro,前尘往事如昔故,前尘往事如昔故,3546597260528367,8,18,false,3kqZDEOtByM1zmgpJOy8nS3BtOY,とても素敵な六月でした,音源/术力口词:初音ミク,direct
それがあなたの幸せとしても,Heavenz feat. 巡音ルカ,Figaro,figaro.js,【💐歌切】#270[2026-06-07]安眠前放松歌回✨ 伴你入梦的治愈时光🌙 Figaro,https://www.bilibili.com/video/BV1PYEa61Epq?p=15,BV1PYEa61Epq,116710837327915,38943197047,15,1780866834,2026-06-08 05:13:54,1780866834,2026-06-08 05:13:54,266,4082,15,86,https://i2.hdslb.com/bfs/archive/99153f20aeb3382eb0978ad72a4d4fb568297a94.png@160w_90h_1c.webp,【💐歌切】#270[2026-06-07]安眠前放松歌回✨ 伴你入梦的治愈时光🌙 Figaro,前尘往事如昔故,前尘往事如昔故,3546597260528367,8,27,false,C_2_CIpMambUVk2BhfDEIe4yCo0,それがあなたの幸せとしても,音源/术力口词:巡音ルカ | P主/术力口作者:Heavenz,direct
朝を呑む,バルーン feat. 初音ミク,Figaro,figaro.js,【💐歌切】#270[2026-06-07]安眠前放松歌回✨ 伴你入梦的治愈时光🌙 Figaro,https://www.bilibili.com/video/BV1PYEa61Epq?p=10,BV1PYEa61Epq,116710837327915,38943195541,10,1780866834,2026-06-08 05:13:54,1780866834,2026-06-08 05:13:54,298,4082,15,86,https://i2.hdslb.com/bfs/archive/99153f20aeb3382eb0978ad72a4d4fb568297a94.png@160w_90h_1c.webp,【💐歌切】#270[2026-06-07]安眠前放松歌回✨ 伴你入梦的治愈时光🌙 Figaro,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,13,false,4UgeVVC7RMnCHsw4qAn0H8-dBxQ,朝を呑む,音源/术力口词:初音ミク | P主/术力口作者:バルーン,direct
夜明けと蛍,ナブナ,Figaro,figaro.js,【💐歌切】#269[2026-05-31]睡眠导入歌回✨睡前放松时刻请享用🌙 Figaro,https://www.bilibili.com/video/BV1fGVD6VEpY?p=11,BV1fGVD6VEpY,116670622338963,38755435520,11,1780253002,2026-06-01 02:43:22,1780253002,2026-06-01 02:43:22,310,3789,14,261,https://i1.hdslb.com/bfs/archive/8eaf9a0b5b8d521958382a70f7e054a98e552a7b.png@160w_90h_1c.webp,【💐歌切】#269[2026-05-31]睡眠导入歌回✨睡前放松时刻请享用🌙 Figaro,前尘往事如昔故,前尘往事如昔故,3546597260528367,22,123,false,-MbuQcUEFyeuZ2WgSHxrW08KKv8,夜明けと蛍,P主/术力口作者:ナブナ | 已知术力口曲名:夜明けと蛍,direct
HEAVEN,はりーP,Figaro,figaro.js,【💐歌切】#268[2026-05-24]睡眠导入歌回✨安眠前的放松时刻请随意享受🌙 Figaro,https://www.bilibili.com/video/BV1UdGn6BEAf?p=12,BV1UdGn6BEAf,116630608680560,38587533253,12,1779642664,2026-05-25 01:11:04,1779642664,2026-05-25 01:11:04,271,3862,15,249,https://i0.hdslb.com/bfs/archive/aa443d3ccc08be178194e16985036be990c65731.png@160w_90h_1c.webp,【💐歌切】#268[2026-05-24]睡眠导入歌回✨安眠前的放松时刻请随意享受🌙 Figaro,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,12,false,yuuUaQNo95j0VVu7-lp5bEZ9dWc,heaven,P主/术力口作者:はりーP,direct
メーベル,バルーン,Figaro,figaro.js,【💐歌切】#268[2026-05-24]睡眠导入歌回✨安眠前的放松时刻请随意享受🌙 Figaro,https://www.bilibili.com/video/BV1UdGn6BEAf?p=2,BV1UdGn6BEAf,116630608680560,38587467730,2,1779642664,2026-05-25 01:11:04,1779642664,2026-05-25 01:11:04,200,3862,15,249,https://i0.hdslb.com/bfs/archive/aa443d3ccc08be178194e16985036be990c65731.png@160w_90h_1c.webp,【💐歌切】#268[2026-05-24]睡眠导入歌回✨安眠前的放松时刻请随意享受🌙 Figaro,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,13,false,pu1PF3hdHyUTAGRTWmF6IWhvPKY,メベル,P主/术力口作者:バルーン | 已知术力口曲名:メーベル,direct
サマータイムレコード,じん,Figaro,figaro.js,【💐歌切】[2026-05-22]初夏呢〜！！ Figaro,https://www.bilibili.com/video/BV14TGq6jEYq?p=6,BV14TGq6jEYq,116622723389223,38549982315,6,1779522070,2026-05-23 15:41:10,1779522070,2026-05-23 15:41:10,267,3694,16,122,https://i1.hdslb.com/bfs/archive/2e29adb1d7df8c8486a41c04c3a7be9ab06e4abc.png@160w_90h_1c.webp,【💐歌切】[2026-05-22]初夏呢〜！！ Figaro,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,41,false,aT2IMj3feBK3MUwqWw-btfc5QwI,サマタイムレコド,P主/术力口作者:じん | 已知术力口曲名:サマータイムレコード,direct
