title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
いーあるふぁんくらぶ,みきとP feat.GUMI・鏡音リン,联动,friends.js,联动歌切 よしか⁂（YOSHIKA⁂）❌七海うらら 2026-06-14 与よしか⁂酱的联动歌回！纪念七海うらら首次Zepp演出,https://www.bilibili.com/video/BV15VJK64Ebp?p=4,BV15VJK64Ebp,116749324261533,39120472762,4,1781454741,2026-06-15 00:32:21,1781454742,2026-06-15 00:32:22,237,1435,6,138,https://i1.hdslb.com/bfs/archive/d8b6ed161771a9fab179bccf42f32a86ba52eaa6.png@160w_90h_1c.webp,联动歌切 よしか⁂（YOSHIKA⁂）❌七海うらら 2026-06-14 与よしか⁂酱的联动歌回！纪念七海うらら首次Zepp演出,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,23,false,OWV8Kdh5oXsw29-LhtU8cZxJwV4,いあるふぁんくらぶ,音源/术力口词:鏡音リン/レン | 音源/术力口词:GUMI/Megpoid | P主/术力口作者:みきとP | 已知术力口曲名:いーあるふぁんくらぶ,direct
ハッピーシンセサイザ,EasyPop feat.巡音ルカ・GUMI,联动,friends.js,联动歌切 よしか⁂（YOSHIKA⁂）❌七海うらら 2026-06-14 与よしか⁂酱的联动歌回！纪念七海うらら首次Zepp演出,https://www.bilibili.com/video/BV15VJK64Ebp?p=2,BV15VJK64Ebp,116749324261533,39120471107,2,1781454741,2026-06-15 00:32:21,1781454742,2026-06-15 00:32:22,236,1435,6,138,https://i1.hdslb.com/bfs/archive/d8b6ed161771a9fab179bccf42f32a86ba52eaa6.png@160w_90h_1c.webp,联动歌切 よしか⁂（YOSHIKA⁂）❌七海うらら 2026-06-14 与よしか⁂酱的联动歌回！纪念七海うらら首次Zepp演出,前尘往事如昔故,前尘往事如昔故,3546597260528367,7,9,false,H4icUxfriOPcIKKufd1k6R3EyN8,ハッピシンセサイザ,音源/术力口词:巡音ルカ | 音源/术力口词:GUMI/Megpoid | P主/术力口作者:EasyPop | 已知术力口曲名:ハッピーシンセサイザ,direct
ルカルカ★ナイトフィーバー,samfree feat.巡音ルカ,联动,friends.js,联动歌切 よしか⁂（YOSHIKA⁂）❌七海うらら 2026-06-14 与よしか⁂酱的联动歌回！纪念七海うらら首次Zepp演出,https://www.bilibili.com/video/BV15VJK64Ebp?p=3,BV15VJK64Ebp,116749324261533,39120471515,3,1781454741,2026-06-15 00:32:21,1781454742,2026-06-15 00:32:22,235,1435,6,138,https://i1.hdslb.com/bfs/archive/d8b6ed161771a9fab179bccf42f32a86ba52eaa6.png@160w_90h_1c.webp,联动歌切 よしか⁂（YOSHIKA⁂）❌七海うらら 2026-06-14 与よしか⁂酱的联动歌回！纪念七海うらら首次Zepp演出,前尘往事如昔故,前尘往事如昔故,3546597260528367,8,15,false,FaDi7c4qIuFxSDJoGfIKU_5G9V8,ルカルカナイトフィバ,音源/术力口词:巡音ルカ | P主/术力口作者:samfree | 已知术力口曲名:ルカルカ☆ナイトフィーバー,direct
ドーナツホール,ハチ feat.GUMI,联动,friends.js,联动歌切 2026-06-05  与巫てんり的联动歌回！七海うらら首登Zepp纪念,https://www.bilibili.com/video/BV188Ef6aE3W?p=1,BV188Ef6aE3W,116727899757866,39022037306,1,1781127594,2026-06-11 05:39:54,1781127594,2026-06-11 05:39:54,194,1557,6,98,https://i2.hdslb.com/bfs/archive/7ebe6a2a5dffe55b50b5c73dfc4bcd8e3340383e.png@160w_90h_1c.webp,联动歌切 2026-06-05  与巫てんり的联动歌回！七海うらら首登Zepp纪念,前尘往事如昔故,前尘往事如昔故,3546597260528367,8,9,false,-8fp3cPQTtgdBaqhOKr7zf_QIAs,ドナツホル,音源/术力口词:GUMI/Megpoid | 已知术力口曲名:ドーナツホール,direct
ヒバナ,DECO*27 feat.初音ミク,联动,friends.js,联动歌切 2026-06-05  与巫てんり的联动歌回！七海うらら首登Zepp纪念,https://www.bilibili.com/video/BV188Ef6aE3W?p=4,BV188Ef6aE3W,116727899757866,39022038465,4,1781127594,2026-06-11 05:39:54,1781127594,2026-06-11 05:39:54,204,1557,6,98,https://i2.hdslb.com/bfs/archive/7ebe6a2a5dffe55b50b5c73dfc4bcd8e3340383e.png@160w_90h_1c.webp,联动歌切 2026-06-05  与巫てんり的联动歌回！七海うらら首登Zepp纪念,前尘往事如昔故,前尘往事如昔故,3546597260528367,11,17,false,rR7LOz3s9PRko-GniJHcXH8REaM,ヒバナ,音源/术力口词:初音ミク | P主/术力口作者:DECO*27 | 已知术力口曲名:ヒバナ,direct
Gimme×Gimme,八王子P × Giga,联动,friends.js,🍯🍁联动歌切 2026-06-02 古椿姫 メル ❌ 紅葉丸 搞笑二人组激情开唱超燃术力口歌曲✊🔥,https://www.bilibili.com/video/BV1AUVr6ZEpE?p=3,BV1AUVr6ZEpE,116682299278385,38811602161,3,1780430916,2026-06-03 04:08:36,1780430916,2026-06-03 04:08:36,216,2149,10,94,https://i0.hdslb.com/bfs/archive/b72adf3f85d7b57e7cdcdb237fff767dc4f8884c.png@160w_90h_1c.webp,🍯🍁联动歌切 2026-06-02 古椿姫 メル ❌ 紅葉丸 搞笑二人组激情开唱超燃术力口歌曲✊🔥,前尘往事如昔故,前尘往事如昔故,3546597260528367,6,7,false,k_ThqwSRnvgjFBhc8lSxRRac3fM,gimme×gimme,P主/术力口作者:八王子P,direct
インビジブル,kemu,联动,friends.js,🍯🍁联动歌切 2026-06-02 古椿姫 メル ❌ 紅葉丸 搞笑二人组激情开唱超燃术力口歌曲✊🔥,https://www.bilibili.com/video/BV1AUVr6ZEpE?p=4,BV1AUVr6ZEpE,116682299278385,38811664680,4,1780430916,2026-06-03 04:08:36,1780430916,2026-06-03 04:08:36,211,2149,10,94,https://i0.hdslb.com/bfs/archive/b72adf3f85d7b57e7cdcdb237fff767dc4f8884c.png@160w_90h_1c.webp,🍯🍁联动歌切 2026-06-02 古椿姫 メル ❌ 紅葉丸 搞笑二人组激情开唱超燃术力口歌曲✊🔥,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,M-ePog1aZyAk6HyI4_FTY2iXlOg,インビジブル,P主/术力口作者:kemu | 已知术力口曲名:インビジブル,direct
ねぇねぇねぇ。,ピノキオピー,联动,friends.js,🍯🍁联动歌切 2026-06-02 古椿姫 メル ❌ 紅葉丸 搞笑二人组激情开唱超燃术力口歌曲✊🔥,https://www.bilibili.com/video/BV1AUVr6ZEpE?p=5,BV1AUVr6ZEpE,116682299278385,38811664623,5,1780430916,2026-06-03 04:08:36,1780430916,2026-06-03 04:08:36,207,2149,10,94,https://i0.hdslb.com/bfs/archive/b72adf3f85d7b57e7cdcdb237fff767dc4f8884c.png@160w_90h_1c.webp,🍯🍁联动歌切 2026-06-02 古椿姫 メル ❌ 紅葉丸 搞笑二人组激情开唱超燃术力口歌曲✊🔥,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,fz_TeR8E0DfdJqo3tc0bT-niFNw,ねぇねぇねぇ,P主/术力口作者:ピノキオピー,direct
ハウトゥー世界征服,Neru,联动,friends.js,🍯🍁联动歌切 2026-06-02 古椿姫 メル ❌ 紅葉丸 搞笑二人组激情开唱超燃术力口歌曲✊🔥,https://www.bilibili.com/video/BV1AUVr6ZEpE?p=7,BV1AUVr6ZEpE,116682299278385,38811665180,7,1780430916,2026-06-03 04:08:36,1780430916,2026-06-03 04:08:36,202,2149,10,94,https://i0.hdslb.com/bfs/archive/b72adf3f85d7b57e7cdcdb237fff767dc4f8884c.png@160w_90h_1c.webp,🍯🍁联动歌切 2026-06-02 古椿姫 メル ❌ 紅葉丸 搞笑二人组激情开唱超燃术力口歌曲✊🔥,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,4,false,BJC4VoxSwyyxt5ip2CZtX0hfBg0,ハウトゥ世界征服,P主/术力口作者:Neru | 已知术力口曲名:ハウトゥー世界征服,direct
ラプンツェル,n-buna feat.初音ミク,联动,friends.js,联动歌切 2026-05-27 新衣装到手，久违的歌回！🦅🕊️ MIONch.蒼羽未音,https://www.bilibili.com/video/BV1EGVx6MEpW?p=3,BV1EGVx6MEpW,116654164022304,38684397431,3,1780001630,2026-05-29 04:53:50,1780001630,2026-05-29 04:53:50,272,1606,6,139,https://i1.hdslb.com/bfs/archive/e04a0689415e50a0b0c00587b8fa88966249025e.png@160w_90h_1c.webp,联动歌切 2026-05-27 新衣装到手，久违的歌回！🦅🕊️ MIONch.蒼羽未音,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,31,false,l9GWaV1qCAh_8_SdKMPfmrVdEkg,ラプンツェル,音源/术力口词:初音ミク | P主/术力口作者:n-buna,direct
