title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
KING,Kanaria,花丸晴琉,hanamaruhareru.js,【花丸晴琉】102】凑凑热闹，切个100耐久,https://www.bilibili.com/video/BV1jaYQeUEgM?p=61,BV1jaYQeUEgM,112941919635535,500001645557523,61,1723358055,2024-08-11 14:34:15,1723358055,2024-08-11 14:34:15,134,21745,100,4779,https://i1.hdslb.com/bfs/archive/666310ef317606279ece8aeea7570fe41d68aa76.jpg@160w_90h_1c.webp,【花丸晴琉】102】凑凑热闹，切个100耐久,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,20,false,c2IcCdwR8TKMp_FPP15J-AXgDjI,king,P主/术力口作者:Kanaria | 已知术力口曲名:KING,direct
QUEEN,Kanaria,花丸晴琉,hanamaruhareru.js,【花丸晴琉】102】凑凑热闹，切个100耐久,https://www.bilibili.com/video/BV1jaYQeUEgM?p=67,BV1jaYQeUEgM,112941919635535,500001645574052,67,1723358055,2024-08-11 14:34:15,1723358055,2024-08-11 14:34:15,141,21745,100,4779,https://i1.hdslb.com/bfs/archive/666310ef317606279ece8aeea7570fe41d68aa76.jpg@160w_90h_1c.webp,【花丸晴琉】102】凑凑热闹，切个100耐久,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,CY6pMCiLGGVaBZ8LV50j56HT5y8,queen,P主/术力口作者:Kanaria | 已知术力口曲名:QUEEN,direct
Ready Steady,Giga,花丸晴琉,hanamaruhareru.js,【花丸晴琉】102】凑凑热闹，切个100耐久,https://www.bilibili.com/video/BV1jaYQeUEgM?p=43,BV1jaYQeUEgM,112941919635535,500001645522438,43,1723358055,2024-08-11 14:34:15,1723358055,2024-08-11 14:34:15,208,21745,100,4779,https://i1.hdslb.com/bfs/archive/666310ef317606279ece8aeea7570fe41d68aa76.jpg@160w_90h_1c.webp,【花丸晴琉】102】凑凑热闹，切个100耐久,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,3,false,W-Gv0CmkZG81jcrWqYkcbKwRRFE,readysteady,P主/术力口作者:Giga,direct
Ur-Style,DATEKEN,花丸晴琉,hanamaruhareru.js,【花丸晴琉】102】凑凑热闹，切个100耐久,https://www.bilibili.com/video/BV1jaYQeUEgM?p=71,BV1jaYQeUEgM,112941919635535,500001645582583,71,1723358055,2024-08-11 14:34:15,1723358055,2024-08-11 14:34:15,228,21745,100,4779,https://i1.hdslb.com/bfs/archive/666310ef317606279ece8aeea7570fe41d68aa76.jpg@160w_90h_1c.webp,【花丸晴琉】102】凑凑热闹，切个100耐久,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,IBne_1W_X56nAwF9EyWfjrPrswk,urstyle,P主/术力口作者:DATEKEN,direct
オーバーライド,吉田夜世,花丸晴琉,hanamaruhareru.js,【花丸晴琉】102】凑凑热闹，切个100耐久,https://www.bilibili.com/video/BV1jaYQeUEgM?p=6,BV1jaYQeUEgM,112941919635535,500001645455793,6,1723358055,2024-08-11 14:34:15,1723358055,2024-08-11 14:34:15,138,21745,100,4779,https://i1.hdslb.com/bfs/archive/666310ef317606279ece8aeea7570fe41d68aa76.jpg@160w_90h_1c.webp,【花丸晴琉】102】凑凑热闹，切个100耐久,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,6,false,R949KgzBLClEJfR5iDyNy-A3BAo,オバライド,已知术力口曲名:オーバーライド,direct
ずうっといっしょ！,キタニタツヤ,花丸晴琉,hanamaruhareru.js,【花丸晴琉】102】凑凑热闹，切个100耐久,https://www.bilibili.com/video/BV1jaYQeUEgM?p=14,BV1jaYQeUEgM,112941919635535,500001645464854,14,1723358055,2024-08-11 14:34:15,1723358055,2024-08-11 14:34:15,179,21745,100,4779,https://i1.hdslb.com/bfs/archive/666310ef317606279ece8aeea7570fe41d68aa76.jpg@160w_90h_1c.webp,【花丸晴琉】102】凑凑热闹，切个100耐久,前尘往事如昔故,前尘往事如昔故,3546597260528367,7,24,false,MP7pI3oqtH3HDsjX3YBoDFoEeeQ,ずうっといっしょ,已知术力口曲名:ずうっといっしょ！,direct
テレキャスタービーボーイ,すりぃ,花丸晴琉,hanamaruhareru.js,【花丸晴琉】102】凑凑热闹，切个100耐久,https://www.bilibili.com/video/BV1jaYQeUEgM?p=20,BV1jaYQeUEgM,112941919635535,500001645476526,20,1723358055,2024-08-11 14:34:15,1723358055,2024-08-11 14:34:15,163,21745,100,4779,https://i1.hdslb.com/bfs/archive/666310ef317606279ece8aeea7570fe41d68aa76.jpg@160w_90h_1c.webp,【花丸晴琉】102】凑凑热闹，切个100耐久,前尘往事如昔故,前尘往事如昔故,3546597260528367,8,9,false,f-ik7V6Ug-lhjj1-lmKxrw6KeEQ,テレキャスタビボイ,P主/术力口作者:すりぃ | 已知术力口曲名:テレキャスタービーボーイ,direct
ハオ,DECO27,花丸晴琉,hanamaruhareru.js,【花丸晴琉】102】凑凑热闹，切个100耐久,https://www.bilibili.com/video/BV1jaYQeUEgM?p=27,BV1jaYQeUEgM,112941919635535,500001645490713,27,1723358055,2024-08-11 14:34:15,1723358055,2024-08-11 14:34:15,179,21745,100,4779,https://i1.hdslb.com/bfs/archive/666310ef317606279ece8aeea7570fe41d68aa76.jpg@160w_90h_1c.webp,【花丸晴琉】102】凑凑热闹，切个100耐久,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,4,false,FFBXdr1IgwFagBfsZufY1vqK45Q,ハオ,P主/术力口作者:DECO27 | 已知术力口曲名:ハオ,direct
メランコリック,Junky,花丸晴琉,hanamaruhareru.js,【花丸晴琉】102】凑凑热闹，切个100耐久,https://www.bilibili.com/video/BV1jaYQeUEgM?p=35,BV1jaYQeUEgM,112941919635535,500001645506608,35,1723358055,2024-08-11 14:34:15,1723358055,2024-08-11 14:34:15,217,21745,100,4779,https://i1.hdslb.com/bfs/archive/666310ef317606279ece8aeea7570fe41d68aa76.jpg@160w_90h_1c.webp,【花丸晴琉】102】凑凑热闹，切个100耐久,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,23,false,ADry_Jm8s5i0JypIZPGlmwWM4lo,メランコリック,P主/术力口作者:Junky,direct
ルマ,かいりきベア,花丸晴琉,hanamaruhareru.js,【花丸晴琉】102】凑凑热闹，切个100耐久,https://www.bilibili.com/video/BV1jaYQeUEgM?p=42,BV1jaYQeUEgM,112941919635535,500001645519555,42,1723358055,2024-08-11 14:34:15,1723358055,2024-08-11 14:34:15,182,21745,100,4779,https://i1.hdslb.com/bfs/archive/666310ef317606279ece8aeea7570fe41d68aa76.jpg@160w_90h_1c.webp,【花丸晴琉】102】凑凑热闹，切个100耐久,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,3,false,PClByap_nqyYKWNVuYyQ8Y-7Ll8,ルマ,P主/术力口作者:かいりきベア,direct
ロウワー,ぬゆり,花丸晴琉,hanamaruhareru.js,【花丸晴琉】102】凑凑热闹，切个100耐久,https://www.bilibili.com/video/BV1jaYQeUEgM?p=44,BV1jaYQeUEgM,112941919635535,500001645524210,44,1723358055,2024-08-11 14:34:15,1723358055,2024-08-11 14:34:15,227,21745,100,4779,https://i1.hdslb.com/bfs/archive/666310ef317606279ece8aeea7570fe41d68aa76.jpg@160w_90h_1c.webp,【花丸晴琉】102】凑凑热闹，切个100耐久,前尘往事如昔故,前尘往事如昔故,3546597260528367,6,12,false,D6oCA7ieVNApCMqEn0b54oUXviE,ロウワ,P主/术力口作者:ぬゆり | 已知术力口曲名:ロウワー,direct
右肩の蝶,のりぴー,花丸晴琉,hanamaruhareru.js,【花丸晴琉】102】凑凑热闹，切个100耐久,https://www.bilibili.com/video/BV1jaYQeUEgM?p=33,BV1jaYQeUEgM,112941919635535,500001645501271,33,1723358055,2024-08-11 14:34:15,1723358055,2024-08-11 14:34:15,264,21745,100,4779,https://i1.hdslb.com/bfs/archive/666310ef317606279ece8aeea7570fe41d68aa76.jpg@160w_90h_1c.webp,【花丸晴琉】102】凑凑热闹，切个100耐久,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,14,false,dCPyrOc6zGY4OYyUSJhEzI5Xc94,右肩の蝶,已知术力口曲名:右肩の蝶,direct
混沌ブギ,jon-YAKITORY,花丸晴琉,hanamaruhareru.js,【花丸晴琉】102】凑凑热闹，切个100耐久,https://www.bilibili.com/video/BV1jaYQeUEgM?p=11,BV1jaYQeUEgM,112941919635535,500001645460873,11,1723358055,2024-08-11 14:34:15,1723358055,2024-08-11 14:34:15,153,21745,100,4779,https://i1.hdslb.com/bfs/archive/666310ef317606279ece8aeea7570fe41d68aa76.jpg@160w_90h_1c.webp,【花丸晴琉】102】凑凑热闹，切个100耐久,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,4,false,O8XyAvmDGPby6LRTdzoSJAZb4Ps,混沌ブギ,已知术力口曲名:混沌ブギ,direct
