title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
ⅢトゥルティンアンテナⅢ,レタスP feat.鏡音レン,羽澄さひろ,hasumisahiro.js,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,https://www.bilibili.com/video/BV1x3JE6jEHV?p=18,BV1x3JE6jEHV,116739593472984,39075252076,18,1781305569,2026-06-13 07:06:09,1781305569,2026-06-13 07:06:09,223,5677,23,176,https://i2.hdslb.com/bfs/archive/db305ce2f18b668c9ab5e5460af95e2e67db457c.png@160w_90h_1c.webp,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,sjJKpt4PIRwrJilP-zkFa-0a-gY,iiiトゥルティンアンテナiii,音源/术力口词:鏡音リン/レン,direct
アンハッピーリフレイン,wowaka feat.初音ミク,羽澄さひろ,hasumisahiro.js,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,https://www.bilibili.com/video/BV1x3JE6jEHV?p=14,BV1x3JE6jEHV,116739593472984,39075251270,14,1781305569,2026-06-13 07:06:09,1781305569,2026-06-13 07:06:09,224,5677,23,176,https://i2.hdslb.com/bfs/archive/db305ce2f18b668c9ab5e5460af95e2e67db457c.png@160w_90h_1c.webp,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,GjYHTtUsNKr7hbK4zwN4gZDhC2Y,アンハッピリフレイン,音源/术力口词:初音ミク | 已知术力口曲名:アンハッピーリフレイン,direct
イドラのサーカス,Neru feat.鏡音リン,羽澄さひろ,hasumisahiro.js,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,https://www.bilibili.com/video/BV1x3JE6jEHV?p=15,BV1x3JE6jEHV,116739593472984,39075251662,15,1781305569,2026-06-13 07:06:09,1781305569,2026-06-13 07:06:09,210,5677,23,176,https://i2.hdslb.com/bfs/archive/db305ce2f18b668c9ab5e5460af95e2e67db457c.png@160w_90h_1c.webp,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,HUitxUWkbNz9W2Q_F-6eYMaBpM4,イドラのサカス,音源/术力口词:鏡音リン/レン | P主/术力口作者:Neru | 已知术力口曲名:イドラのサーカス,direct
スキスキ絶頂症,koyori(電ポルP) feat.GUMI,羽澄さひろ,hasumisahiro.js,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,https://www.bilibili.com/video/BV1x3JE6jEHV?p=13,BV1x3JE6jEHV,116739593472984,39075251191,13,1781305569,2026-06-13 07:06:09,1781305569,2026-06-13 07:06:09,215,5677,23,176,https://i2.hdslb.com/bfs/archive/db305ce2f18b668c9ab5e5460af95e2e67db457c.png@160w_90h_1c.webp,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,4,false,a_23OMTFWIfsFJ7oRBVngs2B3nU,スキスキ絶頂症,音源/术力口词:GUMI/Megpoid,direct
ダーリンダンス,かいりきベア feat.初音ミク,羽澄さひろ,hasumisahiro.js,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,https://www.bilibili.com/video/BV1x3JE6jEHV?p=22,BV1x3JE6jEHV,116739593472984,39075252838,22,1781305569,2026-06-13 07:06:09,1781305569,2026-06-13 07:06:09,203,5677,23,176,https://i2.hdslb.com/bfs/archive/db305ce2f18b668c9ab5e5460af95e2e67db457c.png@160w_90h_1c.webp,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,15,false,BAWLiEVUNzZJr58FxtERcCHAZj0,ダリンダンス,音源/术力口词:初音ミク | P主/术力口作者:かいりきベア | 已知术力口曲名:ダーリンダンス,direct
ディジーディジー,蜂屋ななし feat.初音ミク・Ado,羽澄さひろ,hasumisahiro.js,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,https://www.bilibili.com/video/BV1x3JE6jEHV?p=21,BV1x3JE6jEHV,116739593472984,39075252507,21,1781305569,2026-06-13 07:06:09,1781305569,2026-06-13 07:06:09,208,5677,23,176,https://i2.hdslb.com/bfs/archive/db305ce2f18b668c9ab5e5460af95e2e67db457c.png@160w_90h_1c.webp,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,nAnBEDm3Ym6c2Dipav5MUuEJO8c,ディジディジ,音源/术力口词:初音ミク,direct
ラブ＆デストロイ,MI8k feat.GUMI,羽澄さひろ,hasumisahiro.js,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,https://www.bilibili.com/video/BV1x3JE6jEHV?p=19,BV1x3JE6jEHV,116739593472984,39075252270,19,1781305569,2026-06-13 07:06:09,1781305569,2026-06-13 07:06:09,209,5677,23,176,https://i2.hdslb.com/bfs/archive/db305ce2f18b668c9ab5e5460af95e2e67db457c.png@160w_90h_1c.webp,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,8,false,OLo2V2yJw6_I97VgFq7E28j0DnQ,ラブ&デストロイ,音源/术力口词:GUMI/Megpoid,direct
家に帰ると妻が必ず死んだふりをしています。,ほぼ日P feat.初音ミク,羽澄さひろ,hasumisahiro.js,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,https://www.bilibili.com/video/BV1x3JE6jEHV?p=23,BV1x3JE6jEHV,116739593472984,39075252958,23,1781305569,2026-06-13 07:06:09,1781305569,2026-06-13 07:06:09,161,5677,23,176,https://i2.hdslb.com/bfs/archive/db305ce2f18b668c9ab5e5460af95e2e67db457c.png@160w_90h_1c.webp,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,3,false,fDwRioaIIaBwFBMnWccs7Oav2Nc,家に帰ると妻が必ず死んだふりをしています,音源/术力口词:初音ミク,direct
月陽-ツキアカリ-,みきとP feat.GUMI,羽澄さひろ,hasumisahiro.js,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,https://www.bilibili.com/video/BV1x3JE6jEHV?p=20,BV1x3JE6jEHV,116739593472984,39075252282,20,1781305569,2026-06-13 07:06:09,1781305569,2026-06-13 07:06:09,234,5677,23,176,https://i2.hdslb.com/bfs/archive/db305ce2f18b668c9ab5e5460af95e2e67db457c.png@160w_90h_1c.webp,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,4,false,aKYYBUtQnyX2k-DdZCRUw8c4o9o,月陽ツキアカリ,音源/术力口词:GUMI/Megpoid | P主/术力口作者:みきとP,direct
世界寿命と最後の一日,スズム feat.GUMI,羽澄さひろ,hasumisahiro.js,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,https://www.bilibili.com/video/BV1x3JE6jEHV?p=17,BV1x3JE6jEHV,116739593472984,39075251694,17,1781305569,2026-06-13 07:06:09,1781305569,2026-06-13 07:06:09,273,5677,23,176,https://i2.hdslb.com/bfs/archive/db305ce2f18b668c9ab5e5460af95e2e67db457c.png@160w_90h_1c.webp,【歌切】[2026-06-13]开播五周年，当然要用歌回来庆祝一下 羽澄さひろ / Hasumi Sahiro,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,3,false,gfeS_UIgLeYS2qqd4XqLVO4Am-g,世界寿命と最後の一日,音源/术力口词:GUMI/Megpoid | 已知术力口曲名:世界寿命と最後の一日,direct
