title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
ダンスロボットダンス,ナユタン星人 feat. 初音ミク,緋那ちび,hinachibi.js,【歌切】[2026-06-16]当背景音乐也好，只是进来看看也超欢迎！来听我唱歌吧！！🍎🌟 緋那ちび_Vtuber,https://www.bilibili.com/video/BV1s6j56FEDQ?p=6,BV1s6j56FEDQ,116761621958279,39172310838,6,1781641654,2026-06-17 04:27:34,1781641654,2026-06-17 04:27:34,190,1480,7,48,https://i2.hdslb.com/bfs/archive/3d831ea6808092d8689ae5b9fabd84364c2ecd0d.png@160w_90h_1c.webp,【歌切】[2026-06-16]当背景音乐也好，只是进来看看也超欢迎！来听我唱歌吧！！🍎🌟 緋那ちび_Vtuber,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,UuM5pcjuUJ0KhiCLJ_02NhHrANw,ダンスロボットダンス,音源/术力口词:初音ミク | P主/术力口作者:ナユタン星人 | 已知术力口曲名:ダンスロボットダンス,direct
テレキャスタービーボーイ,すりぃ feat. 鏡音レン,緋那ちび,hinachibi.js,【歌切】[2026-06-16]当背景音乐也好，只是进来看看也超欢迎！来听我唱歌吧！！🍎🌟 緋那ちび_Vtuber,https://www.bilibili.com/video/BV1s6j56FEDQ?p=1,BV1s6j56FEDQ,116761621958279,39172309973,1,1781641654,2026-06-17 04:27:34,1781641654,2026-06-17 04:27:34,164,1480,7,48,https://i2.hdslb.com/bfs/archive/3d831ea6808092d8689ae5b9fabd84364c2ecd0d.png@160w_90h_1c.webp,【歌切】[2026-06-16]当背景音乐也好，只是进来看看也超欢迎！来听我唱歌吧！！🍎🌟 緋那ちび_Vtuber,前尘往事如昔故,前尘往事如昔故,3546597260528367,8,9,false,l7ctpwidhhMpqjq0yrpUZzE0MOY,テレキャスタビボイ,音源/术力口词:鏡音リン/レン | P主/术力口作者:すりぃ | 已知术力口曲名:テレキャスタービーボーイ,direct
パラレルラルラ,夏代孝明 feat. 初音ミク,緋那ちび,hinachibi.js,【歌切】[2026-06-16]当背景音乐也好，只是进来看看也超欢迎！来听我唱歌吧！！🍎🌟 緋那ちび_Vtuber,https://www.bilibili.com/video/BV1s6j56FEDQ?p=2,BV1s6j56FEDQ,116761621958279,39172310093,2,1781641654,2026-06-17 04:27:34,1781641654,2026-06-17 04:27:34,155,1480,7,48,https://i2.hdslb.com/bfs/archive/3d831ea6808092d8689ae5b9fabd84364c2ecd0d.png@160w_90h_1c.webp,【歌切】[2026-06-16]当背景音乐也好，只是进来看看也超欢迎！来听我唱歌吧！！🍎🌟 緋那ちび_Vtuber,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,RO14-X6Vt_KQ7KhTh26MITN-Sj8,パラレルラルラ,音源/术力口词:初音ミク,direct
白い雪のプリンセスは,のぼる↑ feat. 初音ミク,緋那ちび,hinachibi.js,【歌切】[2026-06-16]当背景音乐也好，只是进来看看也超欢迎！来听我唱歌吧！！🍎🌟 緋那ちび_Vtuber,https://www.bilibili.com/video/BV1s6j56FEDQ?p=7,BV1s6j56FEDQ,116761621958279,39172312610,7,1781641654,2026-06-17 04:27:34,1781641654,2026-06-17 04:27:34,272,1480,7,48,https://i2.hdslb.com/bfs/archive/3d831ea6808092d8689ae5b9fabd84364c2ecd0d.png@160w_90h_1c.webp,【歌切】[2026-06-16]当背景音乐也好，只是进来看看也超欢迎！来听我唱歌吧！！🍎🌟 緋那ちび_Vtuber,前尘往事如昔故,前尘往事如昔故,3546597260528367,11,24,false,Ym2xMpw7iJ8JWRHV22p1e1GlSqY,白い雪のプリンセスは,音源/术力口词:初音ミク | 已知术力口曲名:白い雪のプリンセスは,direct
林檎売りの泡沫少女,yukkedoluce feat. GUMI,緋那ちび,hinachibi.js,【歌切】[2026-06-10]关于个人限定周边以及唱歌！！！w 緋那ちび_Vtuber,https://www.bilibili.com/video/BV1JjE66bEfq?p=1,BV1JjE66bEfq,116733486569377,39047794509,1,1781212928,2026-06-12 05:22:08,1781212928,2026-06-12 05:22:08,358,1090,4,141,https://i0.hdslb.com/bfs/archive/4f27c8d06564f32cccd3985da9d9a94801553046.jpg@160w_90h_1c.webp,【歌切】[2026-06-10]关于个人限定周边以及唱歌！！！w 緋那ちび_Vtuber,前尘往事如昔故,前尘往事如昔故,3546597260528367,5,7,false,-3aFEHQqx8o40M8QoOBInmYpjFQ,林檎売りの泡沫少女,音源/术力口词:GUMI/Megpoid,direct
きゅうくらりん,いよわ feat. 可不,緋那ちび,hinachibi.js,【歌切】[2026-06-11]卖票大姐姐的歌回！！！w 緋那ちび_Vtuber,https://www.bilibili.com/video/BV1EjE66bE1G?p=2,BV1EjE66bE1G,116733486565271,39047857408,2,1781212750,2026-06-12 05:19:10,1781212751,2026-06-12 05:19:11,213,1656,7,161,https://i1.hdslb.com/bfs/archive/36e6c0bf3adb570b243326de5d02ea2232583f6f.png@160w_90h_1c.webp,【歌切】[2026-06-11]卖票大姐姐的歌回！！！w 緋那ちび_Vtuber,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,22,false,dm_ogSIBO5HhHoi__Nfej7jsVvw,きゅうくらりん,音源/术力口词:可不/KAFU | P主/术力口作者:いよわ | 已知术力口曲名:きゅうくらりん,direct
夜もすがら君想ふ,TOKOTOKO(西沢さんP) feat. GUMI,緋那ちび,hinachibi.js,【歌切】[2026-06-11]卖票大姐姐的歌回！！！w 緋那ちび_Vtuber,https://www.bilibili.com/video/BV1EjE66bE1G?p=1,BV1EjE66bE1G,116733486565271,39047856800,1,1781212750,2026-06-12 05:19:10,1781212751,2026-06-12 05:19:11,234,1656,7,161,https://i1.hdslb.com/bfs/archive/36e6c0bf3adb570b243326de5d02ea2232583f6f.png@160w_90h_1c.webp,【歌切】[2026-06-11]卖票大姐姐的歌回！！！w 緋那ちび_Vtuber,前尘往事如昔故,前尘往事如昔故,3546597260528367,13,27,false,pYSdT0z0YMI-i0SIY6G_bTHQuTc,夜もすがら君想ふ,音源/术力口词:GUMI/Megpoid,direct
magnet,minato(流星P) feat. 初音ミク・巡音ルカ,緋那ちび,hinachibi.js,【歌切】[2026-06-09]偏头痛统统赶走，打起精神来唱歌！！！w 緋那ちび_Vtuber,https://www.bilibili.com/video/BV1hTEU6qEZT?p=3,BV1hTEU6qEZT,116722161948804,38996085612,3,1781040495,2026-06-10 05:28:15,1781040495,2026-06-10 05:28:15,239,1853,8,171,https://i1.hdslb.com/bfs/archive/a65b257bd8312877a6e55d6d29c3296c84693273.png@160w_90h_1c.webp,【歌切】[2026-06-09]偏头痛统统赶走，打起精神来唱歌！！！w 緋那ちび_Vtuber,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,19,false,iNN2pPCyR09XeBMyx1_THeYYVO0,magnet,音源/术力口词:初音ミク | 音源/术力口词:巡音ルカ | 已知术力口曲名:magnet,direct
キングスレイヤー,マイキP feat. 初音ミク,緋那ちび,hinachibi.js,【歌切】[2026-06-09]偏头痛统统赶走，打起精神来唱歌！！！w 緋那ちび_Vtuber,https://www.bilibili.com/video/BV1hTEU6qEZT?p=2,BV1hTEU6qEZT,116722161948804,38996085293,2,1781040495,2026-06-10 05:28:15,1781040495,2026-06-10 05:28:15,180,1853,8,171,https://i1.hdslb.com/bfs/archive/a65b257bd8312877a6e55d6d29c3296c84693273.png@160w_90h_1c.webp,【歌切】[2026-06-09]偏头痛统统赶走，打起精神来唱歌！！！w 緋那ちび_Vtuber,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,0k8wwiNauDpbL2xE6EavW7lBeRk,キングスレイヤ,音源/术力口词:初音ミク,direct
ワールドイズマイン,ryo(supercell) feat. 初音ミク,緋那ちび,hinachibi.js,【歌切】[2026-06-09]偏头痛统统赶走，打起精神来唱歌！！！w 緋那ちび_Vtuber,https://www.bilibili.com/video/BV1hTEU6qEZT?p=6,BV1hTEU6qEZT,116722161948804,38996086250,6,1781040495,2026-06-10 05:28:15,1781040495,2026-06-10 05:28:15,225,1853,8,171,https://i1.hdslb.com/bfs/archive/a65b257bd8312877a6e55d6d29c3296c84693273.png@160w_90h_1c.webp,【歌切】[2026-06-09]偏头痛统统赶走，打起精神来唱歌！！！w 緋那ちび_Vtuber,前尘往事如昔故,前尘往事如昔故,3546597260528367,18,33,false,bB4Lgp4cXFvT79TqB24zSj9OAW4,ワルドイズマイン,音源/术力口词:初音ミク | 已知术力口曲名:ワールドイズマイン,direct
