title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
CH4NGE,Giga feat.可不,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=12,BV18FjT65EJJ,116755917773406,39154811442,12,1781555182,2026-06-16 04:26:22,1781555182,2026-06-16 04:26:22,133,6878,31,255,https://i2.hdslb.com/bfs/archive/6c41c65c7a9b5d7a2825e6959f0761c8fe7938a7.png@160w_90h_1c.webp,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,前尘往事如昔故,前尘往事如昔故,3546597260528367,8,17,false,8wP32Pce-JXr_bT7C35MJj9cjtA,ch4nge,音源/术力口词:可不/KAFU | P主/术力口作者:Giga,direct
ERROR,niki feat.Lily,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=29,BV18FjT65EJJ,116755917773406,39155206613,29,1781555182,2026-06-16 04:26:22,1781555182,2026-06-16 04:26:22,239,6878,31,255,https://i2.hdslb.com/bfs/archive/6c41c65c7a9b5d7a2825e6959f0761c8fe7938a7.png@160w_90h_1c.webp,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,oG8sfn11HTL6O4JkRz77VtulcJI,error,音源/术力口词:其他音源 | P主/术力口作者:niki,direct
Gimme×Gimme,八王子P×Giga feat.初音ミク・鏡音リン,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=11,BV18FjT65EJJ,116755917773406,39154811433,11,1781555182,2026-06-16 04:26:22,1781555182,2026-06-16 04:26:22,216,6878,31,255,https://i2.hdslb.com/bfs/archive/6c41c65c7a9b5d7a2825e6959f0761c8fe7938a7.png@160w_90h_1c.webp,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,前尘往事如昔故,前尘往事如昔故,3546597260528367,6,7,false,ulsyDQ5dh2jNEEwYbyvTer3854w,gimme×gimme,音源/术力口词:初音ミク | 音源/术力口词:鏡音リン/レン,direct
tanzanite,narry feat.初音ミク,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=20,BV18FjT65EJJ,116755917773406,39155008744,20,1781555182,2026-06-16 04:26:22,1781555182,2026-06-16 04:26:22,276,6878,31,255,https://i2.hdslb.com/bfs/archive/6c41c65c7a9b5d7a2825e6959f0761c8fe7938a7.png@160w_90h_1c.webp,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,BkUI9IOcjRU2gt5N9286bCF_Qw8,tanzanite,音源/术力口词:初音ミク,direct
あなたの夜が明けるまで,傘村トータ feat.IA・Fukase,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=19,BV18FjT65EJJ,116755917773406,39155008172,19,1781555182,2026-06-16 04:26:22,1781555182,2026-06-16 04:26:22,274,6878,31,255,https://i2.hdslb.com/bfs/archive/6c41c65c7a9b5d7a2825e6959f0761c8fe7938a7.png@160w_90h_1c.webp,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,前尘往事如昔故,前尘往事如昔故,3546597260528367,5,8,false,h_dkBVwjK61OZxLedvF5qyCiQfg,あなたの夜が明けるまで,音源/术力口词:IA | 音源/术力口词:其他音源 | P主/术力口作者:傘村トータ,direct
イガク,原口沙輔 feat.重音テト,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=16,BV18FjT65EJJ,116755917773406,39155007621,16,1781555182,2026-06-16 04:26:22,1781555182,2026-06-16 04:26:22,122,6878,31,255,https://i2.hdslb.com/bfs/archive/6c41c65c7a9b5d7a2825e6959f0761c8fe7938a7.png@160w_90h_1c.webp,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,3,false,sWqABmGta039irI0lDBfwnCO118,イガク,音源/术力口词:重音テト/UTAU,direct
テオ,Omoi feat.初音ミク,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=30,BV18FjT65EJJ,116755917773406,39155207187,30,1781555182,2026-06-16 04:26:22,1781555182,2026-06-16 04:26:22,205,6878,31,255,https://i2.hdslb.com/bfs/archive/6c41c65c7a9b5d7a2825e6959f0761c8fe7938a7.png@160w_90h_1c.webp,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,lNsYJ6o7bpCcUp4fdRhJCZ_IXXw,テオ,音源/术力口词:初音ミク | P主/术力口作者:Omoi | 已知术力口曲名:テオ,direct
ロキ,みきとP feat.鏡音リン,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=27,BV18FjT65EJJ,116755917773406,39155205592,27,1781555182,2026-06-16 04:26:22,1781555182,2026-06-16 04:26:22,225,6878,31,255,https://i2.hdslb.com/bfs/archive/6c41c65c7a9b5d7a2825e6959f0761c8fe7938a7.png@160w_90h_1c.webp,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,前尘往事如昔故,前尘往事如昔故,3546597260528367,11,19,false,Kj7byjV3_hi4ae0U4YiZarHQfLQ,ロキ,音源/术力口词:鏡音リン/レン | P主/术力口作者:みきとP | 已知术力口曲名:ロキ,direct
失楽ペトリ,ナナホシ管弦楽団 feat.初音ミク,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=28,BV18FjT65EJJ,116755917773406,39155206466,28,1781555182,2026-06-16 04:26:22,1781555182,2026-06-16 04:26:22,186,6878,31,255,https://i2.hdslb.com/bfs/archive/6c41c65c7a9b5d7a2825e6959f0761c8fe7938a7.png@160w_90h_1c.webp,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,Xidvr8zQHUbIsUiVSVgHcxwjJHg,失楽ペトリ,音源/术力口词:初音ミク | P主/术力口作者:ナナホシ管弦楽団,direct
心象カスケード,koyori(電ポルP) feat.初音ミク,茨むあん,ibaramuan.js,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,https://www.bilibili.com/video/BV18FjT65EJJ?p=3,BV18FjT65EJJ,116755917773406,39154615860,3,1781555182,2026-06-16 04:26:22,1781555182,2026-06-16 04:26:22,225,6878,31,255,https://i2.hdslb.com/bfs/archive/6c41c65c7a9b5d7a2825e6959f0761c8fe7938a7.png@160w_90h_1c.webp,【歌切】[2026-06-15]星期一定期🎙动漫歌和术力口都喜欢对吧？欢迎初见！ Muan ch.茨むあん,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,3,false,ZGZNJmynqOFTb7gAWd5tgFiY1IY,心象カスケド,音源/术力口词:初音ミク,direct
