title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
おじゃま虫,DECO*27 feat. 初音ミク,からくりんね-KarakuRinne,karakurinne.js,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,https://www.bilibili.com/video/BV17uJK6FENf?p=11,BV17uJK6FENf,116749307483796,39120602272,11,1781454686,2026-06-15 00:31:26,1781454687,2026-06-15 00:31:27,232,3834,24,254,https://i1.hdslb.com/bfs/archive/ff6484b39f88a6d01cd2ab8b13926262ef05b5ba.png@160w_90h_1c.webp,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,前尘往事如昔故,前尘往事如昔故,3546597260528367,5,7,false,ueXG1R615mC8NNDpIoKwW1TGtD8,おじゃま虫,音源/术力口词:初音ミク | P主/术力口作者:DECO*27,direct
ジレンマ,DECO*27 feat. 初音ミク,からくりんね-KarakuRinne,karakurinne.js,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,https://www.bilibili.com/video/BV17uJK6FENf?p=12,BV17uJK6FENf,116749307483796,39120603132,12,1781454686,2026-06-15 00:31:26,1781454687,2026-06-15 00:31:27,76,3834,24,254,https://i1.hdslb.com/bfs/archive/ff6484b39f88a6d01cd2ab8b13926262ef05b5ba.png@160w_90h_1c.webp,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,3,false,PUuHwbVwqPyUyR-TtHuLmXVoohA,ジレンマ,音源/术力口词:初音ミク | P主/术力口作者:DECO*27 | 已知术力口曲名:ジレンマ,direct
ヒバナ,DECO*27 feat. 初音ミク,からくりんね-KarakuRinne,karakurinne.js,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,https://www.bilibili.com/video/BV17uJK6FENf?p=14,BV17uJK6FENf,116749307483796,39120603911,14,1781454686,2026-06-15 00:31:26,1781454687,2026-06-15 00:31:27,35,3834,24,254,https://i1.hdslb.com/bfs/archive/ff6484b39f88a6d01cd2ab8b13926262ef05b5ba.png@160w_90h_1c.webp,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,前尘往事如昔故,前尘往事如昔故,3546597260528367,11,17,false,FuWFag2Rk9DFHfmpWWgKwJ12Mlo,ヒバナ,音源/术力口词:初音ミク | P主/术力口作者:DECO*27 | 已知术力口曲名:ヒバナ,direct
ヒバナ,DECO*27 feat. 初音ミク,からくりんね-KarakuRinne,karakurinne.js,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,https://www.bilibili.com/video/BV17uJK6FENf?p=15,BV17uJK6FENf,116749307483796,39120604093,15,1781454686,2026-06-15 00:31:26,1781454687,2026-06-15 00:31:27,21,3834,24,254,https://i1.hdslb.com/bfs/archive/ff6484b39f88a6d01cd2ab8b13926262ef05b5ba.png@160w_90h_1c.webp,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,前尘往事如昔故,前尘往事如昔故,3546597260528367,11,17,false,xVFNUcaBHoy8wIb0hGvmV_fS4DA,ヒバナ,音源/术力口词:初音ミク | P主/术力口作者:DECO*27 | 已知术力口曲名:ヒバナ,direct
モニタリング,DECO*27 feat. 初音ミク,からくりんね-KarakuRinne,karakurinne.js,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,https://www.bilibili.com/video/BV17uJK6FENf?p=13,BV17uJK6FENf,116749307483796,39120602174,13,1781454686,2026-06-15 00:31:26,1781454687,2026-06-15 00:31:27,63,3834,24,254,https://i1.hdslb.com/bfs/archive/ff6484b39f88a6d01cd2ab8b13926262ef05b5ba.png@160w_90h_1c.webp,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,48,false,5XwKOBxAAdYAPBTa3RoNOgk-t8s,モニタリング,音源/术力口词:初音ミク | P主/术力口作者:DECO*27,direct
回る空うさぎ,Orangestar feat. 初音ミク,からくりんね-KarakuRinne,karakurinne.js,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,https://www.bilibili.com/video/BV17uJK6FENf?p=1,BV17uJK6FENf,116749307483796,39120473627,1,1781454686,2026-06-15 00:31:26,1781454687,2026-06-15 00:31:27,224,3834,24,254,https://i1.hdslb.com/bfs/archive/ff6484b39f88a6d01cd2ab8b13926262ef05b5ba.png@160w_90h_1c.webp,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,56,false,vgGmyka22niEaT8KO1gkI_HOYJ8,回る空うさぎ,音源/术力口词:初音ミク | P主/术力口作者:Orangestar,direct
晴れるまでいっしょ,傘村トータ feat. 雨衣,からくりんね-KarakuRinne,karakurinne.js,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,https://www.bilibili.com/video/BV17uJK6FENf?p=16,BV17uJK6FENf,116749307483796,39120603950,16,1781454686,2026-06-15 00:31:26,1781454687,2026-06-15 00:31:27,292,3834,24,254,https://i1.hdslb.com/bfs/archive/ff6484b39f88a6d01cd2ab8b13926262ef05b5ba.png@160w_90h_1c.webp,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,2JQKUT4lHpot0XVoQRysyHdLgqA,晴れるまでいっしょ,P主/术力口作者:傘村トータ,direct
天ノ弱,164 feat. GUMI,からくりんね-KarakuRinne,karakurinne.js,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,https://www.bilibili.com/video/BV17uJK6FENf?p=4,BV17uJK6FENf,116749307483796,39120536938,4,1781454686,2026-06-15 00:31:26,1781454687,2026-06-15 00:31:27,104,3834,24,254,https://i1.hdslb.com/bfs/archive/ff6484b39f88a6d01cd2ab8b13926262ef05b5ba.png@160w_90h_1c.webp,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,24,false,YaIHD182jHzsK6saT_n_nILHHfg,天ノ弱,音源/术力口词:GUMI/Megpoid | P主/术力口作者:164 | 已知术力口曲名:天ノ弱,direct
翡翠のまち,メル feat. 初音ミク,からくりんね-KarakuRinne,karakurinne.js,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,https://www.bilibili.com/video/BV17uJK6FENf?p=22,BV17uJK6FENf,116749307483796,39120668784,22,1781454686,2026-06-15 00:31:26,1781454687,2026-06-15 00:31:27,160,3834,24,254,https://i1.hdslb.com/bfs/archive/ff6484b39f88a6d01cd2ab8b13926262ef05b5ba.png@160w_90h_1c.webp,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,17,false,RQSM6Ypk4w1sdwLGtmEBQzCX3k4,翡翠のまち,音源/术力口词:初音ミク,direct
翡翠のまち,メル feat. 初音ミク,からくりんね-KarakuRinne,karakurinne.js,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,https://www.bilibili.com/video/BV17uJK6FENf?p=23,BV17uJK6FENf,116749307483796,39120669229,23,1781454686,2026-06-15 00:31:26,1781454687,2026-06-15 00:31:27,12,3834,24,254,https://i1.hdslb.com/bfs/archive/ff6484b39f88a6d01cd2ab8b13926262ef05b5ba.png@160w_90h_1c.webp,【歌切】[2026-06-14]初见观众欢迎！星期日的悠闲歌回～！ からくりんね-KarakuRinne,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,17,false,-GdZQDtOdGQtJuKDUPfaLGei6s4,翡翠のまち,音源/术力口词:初音ミク,direct
