title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
KING,Kanaria feat. GUMI,はるこたつぶとん倶楽部,kotatsu.js,【♧🎸歌切】[2026-06-11]睡眠・工作用直播｜在寝室里喃喃自语，等待天亮 KOTATSU Ch.はる こたつぶとん倶楽部,https://www.bilibili.com/video/BV1nVE66hEWY?p=30,BV1nVE66hEWY,116733453009629,39047790810,30,1781212012,2026-06-12 05:06:52,1781212012,2026-06-12 05:06:52,129,9680,47,114,https://i2.hdslb.com/bfs/archive/4dd1df0908dcde8c0f524cc0999ff12fe5fea5fe.png@160w_90h_1c.webp,【♧🎸歌切】[2026-06-11]睡眠・工作用直播｜在寝室里喃喃自语，等待天亮 KOTATSU Ch.はる こたつぶとん倶楽部,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,20,false,rz1V7uI1dQROnGwyjCdqERWwzxQ,king,音源/术力口词:GUMI/Megpoid | P主/术力口作者:Kanaria | 已知术力口曲名:KING,direct
ブリキノダンス,日向電工 feat. 初音ミク,はるこたつぶとん倶楽部,kotatsu.js,【♧🎸歌切】[2026-06-11]睡眠・工作用直播｜在寝室里喃喃自语，等待天亮 KOTATSU Ch.はる こたつぶとん倶楽部,https://www.bilibili.com/video/BV1nVE66hEWY?p=33,BV1nVE66hEWY,116733453009629,39047790922,33,1781212012,2026-06-12 05:06:52,1781212012,2026-06-12 05:06:52,192,9680,47,114,https://i2.hdslb.com/bfs/archive/4dd1df0908dcde8c0f524cc0999ff12fe5fea5fe.png@160w_90h_1c.webp,【♧🎸歌切】[2026-06-11]睡眠・工作用直播｜在寝室里喃喃自语，等待天亮 KOTATSU Ch.はる こたつぶとん倶楽部,前尘往事如昔故,前尘往事如昔故,3546597260528367,11,25,false,6uGfSAFF76R0-VZM50cXdUmJdeo,ブリキノダンス,音源/术力口词:初音ミク | P主/术力口作者:日向電工,direct
春に一番近い街,40mP feat. GUMI,はるこたつぶとん倶楽部,kotatsu.js,【♧🎸歌切】[2026-06-10]雨声、寝室里独自一人｜睡眠・工作用直播 KOTATSU Ch.はる こたつぶとん倶楽部,https://www.bilibili.com/video/BV1qREm61EwS?p=23,BV1qREm61EwS,116722027726719,38995953566,23,1781037681,2026-06-10 04:41:21,1781037681,2026-06-10 04:41:21,212,5395,24,182,https://i0.hdslb.com/bfs/archive/f01f74cd7182243f7a74017243af0f93524cb0af.png@160w_90h_1c.webp,【♧🎸歌切】[2026-06-10]雨声、寝室里独自一人｜睡眠・工作用直播 KOTATSU Ch.はる こたつぶとん倶楽部,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,13,false,fkcMGR7i1V4_nPxvY8V9OCZztxU,春に一番近い街,音源/术力口词:GUMI/Megpoid | P主/术力口作者:40mP,direct
Just a game,takamatt feat. GUMI,はるこたつぶとん倶楽部,kotatsu.js,【♧🎸歌切】[2026-06-03]睡眠・工作用直播｜在即将成为夏日的夜晚 KOTATSU Ch.はる こたつぶとん倶楽部,https://www.bilibili.com/video/BV1d6796xErM?p=23,BV1d6796xErM,116687600883859,38837817164,23,1780512648,2026-06-04 02:50:48,1780512648,2026-06-04 02:50:48,281,9404,45,279,https://i2.hdslb.com/bfs/archive/8fdf6c241e8e7661e40c0965220175fbbbd009f9.png@160w_90h_1c.webp,【♧🎸歌切】[2026-06-03]睡眠・工作用直播｜在即将成为夏日的夜晚 KOTATSU Ch.はる こたつぶとん倶楽部,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,4,false,Y_mrP_8B2E2ZLFVRaI4LbGrjXQ4,justagame,音源/术力口词:GUMI/Megpoid,direct
さようなら、花泥棒さん,メル feat. 初音ミク,はるこたつぶとん倶楽部,kotatsu.js,【♧🎸歌切】[2026-06-03]睡眠・工作用直播｜在即将成为夏日的夜晚 KOTATSU Ch.はる こたつぶとん倶楽部,https://www.bilibili.com/video/BV1d6796xErM?p=7,BV1d6796xErM,116687600883859,38837750564,7,1780512648,2026-06-04 02:50:48,1780512648,2026-06-04 02:50:48,236,9404,45,279,https://i2.hdslb.com/bfs/archive/8fdf6c241e8e7661e40c0965220175fbbbd009f9.png@160w_90h_1c.webp,【♧🎸歌切】[2026-06-03]睡眠・工作用直播｜在即将成为夏日的夜晚 KOTATSU Ch.はる こたつぶとん倶楽部,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,22,false,sxHS3ut-e-kfsMLfSCaMX4Y3SBA,さようなら、花泥棒さん,音源/术力口词:初音ミク,direct
はなれ、ばなれ,古川P feat. 初音ミク,はるこたつぶとん倶楽部,kotatsu.js,【♧🎸歌切】[2026-06-03]睡眠・工作用直播｜在即将成为夏日的夜晚 KOTATSU Ch.はる こたつぶとん倶楽部,https://www.bilibili.com/video/BV1d6796xErM?p=35,BV1d6796xErM,116687600883859,38837881991,35,1780512648,2026-06-04 02:50:48,1780512648,2026-06-04 02:50:48,150,9404,45,279,https://i2.hdslb.com/bfs/archive/8fdf6c241e8e7661e40c0965220175fbbbd009f9.png@160w_90h_1c.webp,【♧🎸歌切】[2026-06-03]睡眠・工作用直播｜在即将成为夏日的夜晚 KOTATSU Ch.はる こたつぶとん倶楽部,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,3,false,qs0sll6CGrHlxxSr0BrG9wpnOnE,はなれ、ばなれ,音源/术力口词:初音ミク,direct
ブリキノダンス,日向電工 feat. 初音ミク,はるこたつぶとん倶楽部,kotatsu.js,【♧🎸歌切】[2026-06-03]睡眠・工作用直播｜在即将成为夏日的夜晚 KOTATSU Ch.はる こたつぶとん倶楽部,https://www.bilibili.com/video/BV1d6796xErM?p=26,BV1d6796xErM,116687600883859,38837879615,26,1780512648,2026-06-04 02:50:48,1780512648,2026-06-04 02:50:48,205,9404,45,279,https://i2.hdslb.com/bfs/archive/8fdf6c241e8e7661e40c0965220175fbbbd009f9.png@160w_90h_1c.webp,【♧🎸歌切】[2026-06-03]睡眠・工作用直播｜在即将成为夏日的夜晚 KOTATSU Ch.はる こたつぶとん倶楽部,前尘往事如昔故,前尘往事如昔故,3546597260528367,11,25,false,7HA8Sh0kP6R0HC6eax3alT28WrA,ブリキノダンス,音源/术力口词:初音ミク | P主/术力口作者:日向電工,direct
恋愛裁判,40mP feat. 初音ミク,はるこたつぶとん倶楽部,kotatsu.js,【♧🎸歌切】[2026-06-03]睡眠・工作用直播｜在即将成为夏日的夜晚 KOTATSU Ch.はる こたつぶとん倶楽部,https://www.bilibili.com/video/BV1d6796xErM?p=4,BV1d6796xErM,116687600883859,38837749831,4,1780512648,2026-06-04 02:50:48,1780512648,2026-06-04 02:50:48,206,9404,45,279,https://i2.hdslb.com/bfs/archive/8fdf6c241e8e7661e40c0965220175fbbbd009f9.png@160w_90h_1c.webp,【♧🎸歌切】[2026-06-03]睡眠・工作用直播｜在即将成为夏日的夜晚 KOTATSU Ch.はる こたつぶとん倶楽部,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,27,false,R5jVbBq-Gt9Ci46aGuuBQAbKKgE,恋愛裁判,音源/术力口词:初音ミク | P主/术力口作者:40mP | 已知术力口曲名:恋愛裁判,direct
1925,T-POCKET feat. 初音ミク,はるこたつぶとん倶楽部,kotatsu.js,【♧🎸歌切】[2026-05-31]睡眠・工作用直播｜五月底，在失眠中度过 KOTATSU Ch.はる こたつぶとん倶楽部,https://www.bilibili.com/video/BV1FgVD61ECY?p=13,BV1FgVD61ECY,116670572005215,38755176228,13,1780252047,2026-06-01 02:27:27,1780252048,2026-06-01 02:27:28,194,7743,36,166,https://i0.hdslb.com/bfs/archive/522a082d58f45d181d5f80e59b47b35512911ef2.png@160w_90h_1c.webp,【♧🎸歌切】[2026-05-31]睡眠・工作用直播｜五月底，在失眠中度过 KOTATSU Ch.はる こたつぶとん倶楽部,前尘往事如昔故,前尘往事如昔故,3546597260528367,8,16,false,FZu4RpvNQp_WGnDecV49UxMMyb4,1925,音源/术力口词:初音ミク,direct
さようなら、花泥棒さん,メル feat. 初音ミク,はるこたつぶとん倶楽部,kotatsu.js,【♧🎸歌切】[2026-05-31]睡眠・工作用直播｜五月底，在失眠中度过 KOTATSU Ch.はる こたつぶとん倶楽部,https://www.bilibili.com/video/BV1FgVD61ECY?p=2,BV1FgVD61ECY,116670572005215,38755110304,2,1780252047,2026-06-01 02:27:27,1780252048,2026-06-01 02:27:28,262,7743,36,166,https://i0.hdslb.com/bfs/archive/522a082d58f45d181d5f80e59b47b35512911ef2.png@160w_90h_1c.webp,【♧🎸歌切】[2026-05-31]睡眠・工作用直播｜五月底，在失眠中度过 KOTATSU Ch.はる こたつぶとん倶楽部,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,22,false,5j5ABORW6ivpYoO_AuwtiqN7Rio,さようなら、花泥棒さん,音源/术力口词:初音ミク,direct
