title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
君が夜の海に還るまで,こんにちは谷田さん feat. 初音ミク,戸鎖くくり,kukuri.js,【💫✖歌切】[2026-06-14]今日也元气满满地唱歌哦歌回 kukuri ch * 戸鎖 くくり *,https://www.bilibili.com/video/BV17kJP6fERS?p=6,BV17kJP6fERS,116748368019989,39115361729,6,1781439555,2026-06-14 20:19:15,1781439556,2026-06-14 20:19:16,303,4842,17,143,https://i0.hdslb.com/bfs/archive/865b9ad8b2982ba9d1e61b22384b6830d6549292.png@160w_90h_1c.webp,【💫✖歌切】[2026-06-14]今日也元气满满地唱歌哦歌回 kukuri ch * 戸鎖 くくり *,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,19,false,v-G5rsmyTbArUYTABuwQYFMBB5M,君が夜の海に還るまで,音源/术力口词:初音ミク,direct
ラプンツェル,n-buna feat. 初音ミク,戸鎖くくり,kukuri.js,【💫✖歌切】[2026-05-30]要不要一起悠闲地放松一下💭 kukuri ch * 戸鎖 くくり *,https://www.bilibili.com/video/BV14GVV6UEsz?p=7,BV14GVV6UEsz,116664179890157,38726142813,7,1780155074,2026-05-30 23:31:14,1780155074,2026-05-30 23:31:14,264,7249,28,421,https://i2.hdslb.com/bfs/archive/e25f687e4ae112c82d7e27c00b1139990c874b5f.png@160w_90h_1c.webp,【💫✖歌切】[2026-05-30]要不要一起悠闲地放松一下💭 kukuri ch * 戸鎖 くくり *,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,31,false,pxHB6Wi-ufU1GKChB143Zd0KGh8,ラプンツェル,音源/术力口词:初音ミク | P主/术力口作者:n-buna,direct
心做し,蝶々P feat. GUMI,戸鎖くくり,kukuri.js,【💫✖歌切】[2026-05-30]要不要一起悠闲地放松一下💭 kukuri ch * 戸鎖 くくり *,https://www.bilibili.com/video/BV14GVV6UEsz?p=8,BV14GVV6UEsz,116664179890157,38726143120,8,1780155074,2026-05-30 23:31:14,1780155074,2026-05-30 23:31:14,265,7249,28,421,https://i2.hdslb.com/bfs/archive/e25f687e4ae112c82d7e27c00b1139990c874b5f.png@160w_90h_1c.webp,【💫✖歌切】[2026-05-30]要不要一起悠闲地放松一下💭 kukuri ch * 戸鎖 くくり *,前尘往事如昔故,前尘往事如昔故,3546597260528367,18,46,false,_O74R7MhVGLNwXm5mux_cxvBl9k,心做し,音源/术力口词:GUMI/Megpoid | P主/术力口作者:蝶々P,direct
夕日坂,doriko feat. 初音ミク,戸鎖くくり,kukuri.js,【💫✖歌切】[2026-05-23]星期六总是让人心情雀跃的 kukuri ch * 戸鎖 くくり *,https://www.bilibili.com/video/BV1wYGi66ESf?p=18,BV1wYGi66ESf,116622891221506,38551030443,18,1779526250,2026-05-23 16:50:50,1779526250,2026-05-23 16:50:50,378,6734,25,230,https://i2.hdslb.com/bfs/archive/11d8d63303b6a5152187656c089e449cb05838f9.png@160w_90h_1c.webp,【💫✖歌切】[2026-05-23]星期六总是让人心情雀跃的 kukuri ch * 戸鎖 くくり *,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,3zP9gNKzYFEKz1bE0npkenPHsSE,夕日坂,音源/术力口词:初音ミク | P主/术力口作者:doriko,direct
あなたの夜が明けるまで,傘村トータ feat. IA・Fukase,戸鎖くくり,kukuri.js,【💫✖歌切】[2026-05-18]最近要注意健康了 kukuri ch * 戸鎖 くくり *,https://www.bilibili.com/video/BV1MMLN6TESj?p=4,BV1MMLN6TESj,116597574338003,38435033037,4,1779159600,2026-05-19 11:00:00,1779138503,2026-05-19 05:08:23,274,5857,21,305,https://i2.hdslb.com/bfs/archive/609c7407a4a2f37016fc2cea8bdbdd56a1b3b3cf.png@160w_90h_1c.webp,【💫✖歌切】[2026-05-18]最近要注意健康了 kukuri ch * 戸鎖 くくり *,前尘往事如昔故,前尘往事如昔故,3546597260528367,5,8,false,RP88NZmYkHZJ2OyoAj8cdnNnsXw,あなたの夜が明けるまで,音源/术力口词:IA | 音源/术力口词:其他音源 | P主/术力口作者:傘村トータ,direct
ハロ/ハワユ,ナノウ(ほえほえP) feat. 初音ミク,戸鎖くくり,kukuri.js,【💫✖歌切】[2026-05-18]最近要注意健康了 kukuri ch * 戸鎖 くくり *,https://www.bilibili.com/video/BV1MMLN6TESj?p=2,BV1MMLN6TESj,116597574338003,38435032901,2,1779159600,2026-05-19 11:00:00,1779138503,2026-05-19 05:08:23,280,5857,21,305,https://i2.hdslb.com/bfs/archive/609c7407a4a2f37016fc2cea8bdbdd56a1b3b3cf.png@160w_90h_1c.webp,【💫✖歌切】[2026-05-18]最近要注意健康了 kukuri ch * 戸鎖 くくり *,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,32,false,bUf4Pwx3M3KVtBm96gsuKuXqLgM,ハロ/ハワユ,音源/术力口词:初音ミク | 已知术力口曲名:ハロ／ハワユ,direct
ずうっといっしょ!,キタニタツヤ,戸鎖くくり,kukuri.js,【💫✖歌切】[2026-05-14]今天也一起度过中午的歌回 kukuri ch * 戸鎖 くくり *,https://www.bilibili.com/video/BV1BA5z6yEto?p=16,BV1BA5z6yEto,116579471793642,38361959073,16,1778862406,2026-05-16 00:26:46,1778862407,2026-05-16 00:26:47,202,4756,18,264,https://i0.hdslb.com/bfs/archive/b44ce7cc87d4d0d7a6fa15fbe550bf9a49daa185.png@160w_90h_1c.webp,【💫✖歌切】[2026-05-14]今天也一起度过中午的歌回 kukuri ch * 戸鎖 くくり *,前尘往事如昔故,前尘往事如昔故,3546597260528367,7,24,false,7JdwQWNih5lveLkSszdNCSNB8IQ,ずうっといっしょ,已知术力口曲名:ずうっといっしょ！,direct
からくりピエロ,40mP feat. 初音ミク,戸鎖くくり,kukuri.js,【💫✖歌切】[2026-04-30]4月最后的戸鎖怎么样？ kukuri ch * 戸鎖 くくり *,https://www.bilibili.com/video/BV1omRMB9EFB?p=13,BV1omRMB9EFB,116497917675130,38002098760,13,1777617543,2026-05-01 14:39:03,1777617543,2026-05-01 14:39:03,186,3265,13,211,https://i0.hdslb.com/bfs/archive/139f657733e0f9d30def90599b88aba3e8a6c0b2.png@160w_90h_1c.webp,【💫✖歌切】[2026-04-30]4月最后的戸鎖怎么样？ kukuri ch * 戸鎖 くくり *,前尘往事如昔故,前尘往事如昔故,3546597260528367,20,43,false,XnNY1K5JZCrxE5txCoO6fNFN6kI,からくりピエロ,音源/术力口词:初音ミク | P主/术力口作者:40mP | 已知术力口曲名:からくりピエロ,direct
いかないで,想太 feat. 歌愛ユキ,戸鎖くくり,kukuri.js,【歌切】[2026-04-25]愉快的星期日歌回 kukuri ch * 戸鎖 くくり *,https://www.bilibili.com/video/BV1Uro9BVEdd?p=5,BV1Uro9BVEdd,116466057808781,37823318982,5,1777131540,2026-04-25 23:39:00,1777131540,2026-04-25 23:39:00,189,3804,15,247,https://i0.hdslb.com/bfs/archive/fcfde9b31c371c00d387c1731676494fabe707b9.png@160w_90h_1c.webp,【歌切】[2026-04-25]愉快的星期日歌回 kukuri ch * 戸鎖 くくり *,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,22,false,p2qu5pGqjD8sjcxO-WAuCHXETBY,いかないで,音源/术力口词:其他音源,direct
からくりピエロ,40mP feat. 初音ミク,戸鎖くくり,kukuri.js,【歌切】[2026-04-25]愉快的星期日歌回 kukuri ch * 戸鎖 くくり *,https://www.bilibili.com/video/BV1Uro9BVEdd?p=13,BV1Uro9BVEdd,116466057808781,37823843392,13,1777131540,2026-04-25 23:39:00,1777131540,2026-04-25 23:39:00,250,3804,15,247,https://i0.hdslb.com/bfs/archive/fcfde9b31c371c00d387c1731676494fabe707b9.png@160w_90h_1c.webp,【歌切】[2026-04-25]愉快的星期日歌回 kukuri ch * 戸鎖 くくり *,前尘往事如昔故,前尘往事如昔故,3546597260528367,20,43,false,dN4JnyLIHX7-smcodcAi2rDxB6M,からくりピエロ,音源/术力口词:初音ミク | P主/术力口作者:40mP | 已知术力口曲名:からくりピエロ,direct
