title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
Mr.Music,"れるりり,ロンチーノ=ペペ,かごめP feat. 初音ミク,巡音ルカ,鏡音リン,鏡音レン,GUMI,歌愛ユキ",響架,kyoka.js,【歌切】[2026-05-22]🏮实写=超美丽3D｜明天是Live!!在那之前，我决定唱首歌 Kyoka Ch. -響架-,https://www.bilibili.com/video/BV1jbGq6wEMw?p=20,BV1jbGq6wEMw,116622555618297,38549259762,20,1779520171,2026-05-23 15:09:31,1779520171,2026-05-23 15:09:31,265,4880,21,755,https://i1.hdslb.com/bfs/archive/a9cc03beeff01aeb5332a30c93cb4f7ebd30f7a1.png@160w_90h_1c.webp,【歌切】[2026-05-22]🏮实写=超美丽3D｜明天是Live!!在那之前，我决定唱首歌 Kyoka Ch. -響架-,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,3,false,fjFikP_0VhvQGjfqeVzyCw1aUvs,mrmusic,音源/术力口词:初音ミク | 音源/术力口词:鏡音リン/レン | 音源/术力口词:巡音ルカ | 音源/术力口词:GUMI/Megpoid | 音源/术力口词:其他音源 | P主/术力口作者:れるりり,direct
え？あぁ、そう。,蝶々P feat. 初音ミク,響架,kyoka.js,【歌切】[2026-05-22]🏮实写=超美丽3D｜明天是Live!!在那之前，我决定唱首歌 Kyoka Ch. -響架-,https://www.bilibili.com/video/BV1jbGq6wEMw?p=14,BV1jbGq6wEMw,116622555618297,38549193974,14,1779520171,2026-05-23 15:09:31,1779520171,2026-05-23 15:09:31,193,4880,21,755,https://i1.hdslb.com/bfs/archive/a9cc03beeff01aeb5332a30c93cb4f7ebd30f7a1.png@160w_90h_1c.webp,【歌切】[2026-05-22]🏮实写=超美丽3D｜明天是Live!!在那之前，我决定唱首歌 Kyoka Ch. -響架-,前尘往事如昔故,前尘往事如昔故,3546597260528367,5,5,false,pp-euYGUNmyIW11el_ARf39hXOM,えあぁ、そう,音源/术力口词:初音ミク | P主/术力口作者:蝶々P | 已知术力口曲名:え？あぁ、そう。,direct
ネトゲ廃人シュプレヒコール,さつき が てんこもり feat. 初音ミク,響架,kyoka.js,【歌切】[2026-05-22]🏮实写=超美丽3D｜明天是Live!!在那之前，我决定唱首歌 Kyoka Ch. -響架-,https://www.bilibili.com/video/BV1jbGq6wEMw?p=19,BV1jbGq6wEMw,116622555618297,38549258800,19,1779520171,2026-05-23 15:09:31,1779520171,2026-05-23 15:09:31,289,4880,21,755,https://i1.hdslb.com/bfs/archive/a9cc03beeff01aeb5332a30c93cb4f7ebd30f7a1.png@160w_90h_1c.webp,【歌切】[2026-05-22]🏮实写=超美丽3D｜明天是Live!!在那之前，我决定唱首歌 Kyoka Ch. -響架-,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,5,false,m5wIZOeAbFfrjDUjgCdFe3SUXqI,ネトゲ廃人シュプレヒコル,音源/术力口词:初音ミク,direct
ブリキノダンス,日向電工 feat. 初音ミク,響架,kyoka.js,【歌切】[2026-05-22]🏮实写=超美丽3D｜明天是Live!!在那之前，我决定唱首歌 Kyoka Ch. -響架-,https://www.bilibili.com/video/BV1jbGq6wEMw?p=17,BV1jbGq6wEMw,116622555618297,38549195963,17,1779520171,2026-05-23 15:09:31,1779520171,2026-05-23 15:09:31,197,4880,21,755,https://i1.hdslb.com/bfs/archive/a9cc03beeff01aeb5332a30c93cb4f7ebd30f7a1.png@160w_90h_1c.webp,【歌切】[2026-05-22]🏮实写=超美丽3D｜明天是Live!!在那之前，我决定唱首歌 Kyoka Ch. -響架-,前尘往事如昔故,前尘往事如昔故,3546597260528367,11,25,false,3nOAL-npXwcsLmIBmUfO3ssRX_8,ブリキノダンス,音源/术力口词:初音ミク | P主/术力口作者:日向電工,direct
マトリョシカ,"ハチ feat. 初音ミク,GUMI",響架,kyoka.js,【歌切】[2026-05-22]🏮实写=超美丽3D｜明天是Live!!在那之前，我决定唱首歌 Kyoka Ch. -響架-,https://www.bilibili.com/video/BV1jbGq6wEMw?p=18,BV1jbGq6wEMw,116622555618297,38549258249,18,1779520171,2026-05-23 15:09:31,1779520171,2026-05-23 15:09:31,197,4880,21,755,https://i1.hdslb.com/bfs/archive/a9cc03beeff01aeb5332a30c93cb4f7ebd30f7a1.png@160w_90h_1c.webp,【歌切】[2026-05-22]🏮实写=超美丽3D｜明天是Live!!在那之前，我决定唱首歌 Kyoka Ch. -響架-,前尘往事如昔故,前尘往事如昔故,3546597260528367,8,10,false,vXBzLGqm2dQSZQ4W1bDfD2pPe_w,マトリョシカ,音源/术力口词:初音ミク | 音源/术力口词:GUMI/Megpoid | 已知术力口曲名:マトリョシカ,direct
ラヴィ,すりぃ feat. 鏡音レン,響架,kyoka.js,【歌切】[2026-05-22]🏮实写=超美丽3D｜明天是Live!!在那之前，我决定唱首歌 Kyoka Ch. -響架-,https://www.bilibili.com/video/BV1jbGq6wEMw?p=16,BV1jbGq6wEMw,116622555618297,38549195293,16,1779520171,2026-05-23 15:09:31,1779520171,2026-05-23 15:09:31,179,4880,21,755,https://i1.hdslb.com/bfs/archive/a9cc03beeff01aeb5332a30c93cb4f7ebd30f7a1.png@160w_90h_1c.webp,【歌切】[2026-05-22]🏮实写=超美丽3D｜明天是Live!!在那之前，我决定唱首歌 Kyoka Ch. -響架-,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,19,false,0a-9uYQF-x7sQUGqNenlykiRdJ0,ラヴィ,音源/术力口词:鏡音リン/レン | P主/术力口作者:すりぃ | 已知术力口曲名:ラヴィ,direct
混沌ブギ,jon-YAKITORY feat. 初音ミク,響架,kyoka.js,【歌切】[2026-05-22]🏮实写=超美丽3D｜明天是Live!!在那之前，我决定唱首歌 Kyoka Ch. -響架-,https://www.bilibili.com/video/BV1jbGq6wEMw?p=15,BV1jbGq6wEMw,116622555618297,38549194615,15,1779520171,2026-05-23 15:09:31,1779520171,2026-05-23 15:09:31,153,4880,21,755,https://i1.hdslb.com/bfs/archive/a9cc03beeff01aeb5332a30c93cb4f7ebd30f7a1.png@160w_90h_1c.webp,【歌切】[2026-05-22]🏮实写=超美丽3D｜明天是Live!!在那之前，我决定唱首歌 Kyoka Ch. -響架-,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,4,false,BIgXDShqRt_vimdWHi9tMLUonX0,混沌ブギ,音源/术力口词:初音ミク | 已知术力口曲名:混沌ブギ,direct
ハイド・アンド・シーク,NOMELON NOLEMON,響架,kyoka.js,歌切 2026-05-14 Kyoka Ch. -響架- IfOpNWozh1M 🏮 ｜唱歌聊天！愉快度过的夜晚 ∞ 響架,https://www.bilibili.com/video/BV1d85B6TEFa?p=3,BV1d85B6TEFa,116580042217060,38363598614,3,1778871417,2026-05-16 02:56:57,1778871417,2026-05-16 02:56:57,196,4628,21,2584,https://i2.hdslb.com/bfs/archive/84d6afaa4cd6e94b677643db2030b2f5ca7b4824.png@160w_90h_1c.webp,歌切 2026-05-14 Kyoka Ch. -響架- IfOpNWozh1M 🏮 ｜唱歌聊天！愉快度过的夜晚 ∞ 響架,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,12,false,SfFj54qQmhA8XFs-7rlGioDJMHg,ハイドアンドシク,已知术力口曲名:ハイドアンド・シーク,direct
モニタリング,DECO*27 feat. 初音ミク,響架,kyoka.js,歌切 2026-05-14 Kyoka Ch. -響架- IfOpNWozh1M 🏮 ｜唱歌聊天！愉快度过的夜晚 ∞ 響架,https://www.bilibili.com/video/BV1d85B6TEFa?p=4,BV1d85B6TEFa,116580042217060,38363598732,4,1778871417,2026-05-16 02:56:57,1778871417,2026-05-16 02:56:57,177,4628,21,2584,https://i2.hdslb.com/bfs/archive/84d6afaa4cd6e94b677643db2030b2f5ca7b4824.png@160w_90h_1c.webp,歌切 2026-05-14 Kyoka Ch. -響架- IfOpNWozh1M 🏮 ｜唱歌聊天！愉快度过的夜晚 ∞ 響架,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,48,false,IFY2kSl8rGuQyowyRnq-IyKhdXs,モニタリング,音源/术力口词:初音ミク | P主/术力口作者:DECO*27,direct
金曜日のおはよう,HoneyWorks feat. GUMI,響架,kyoka.js,歌势推荐：Kyoka Ch. -響架- 2026-03-12 QgS9riQsAZ4,https://www.bilibili.com/video/BV1WXc2z4Ehk?p=15,BV1WXc2z4Ehk,116219130677002,36658414251,15,1773370483,2026-03-13 10:54:43,1773364130,2026-03-13 09:08:50,237,5915,24,855,https://i2.hdslb.com/bfs/archive/16b95b0d16215a7191c3af8cd81114b2a170939f.png@160w_90h_1c.webp,歌势推荐：Kyoka Ch. -響架- 2026-03-12 QgS9riQsAZ4,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,17,false,N90JnG7FArOxk9Ex-m2i2hXGvkk,金曜日のおはよう,音源/术力口词:GUMI/Megpoid,direct
