title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
弱虫モンブラン,DECO*27 feat.GUMI,深影,mikage.js,【歌切】[2026-06-06]凌晨4点的灵界 深影 - Mikage -,https://www.bilibili.com/video/BV1dsEJ6aEx2?p=9,BV1dsEJ6aEx2,116703841225340,38915148855,9,1780760488,2026-06-06 23:41:28,1780760489,2026-06-06 23:41:29,242,2753,11,349,https://i1.hdslb.com/bfs/archive/e2635f723967724dcf637a473ae217d217714f0d.png@160w_90h_1c.webp,【歌切】[2026-06-06]凌晨4点的灵界 深影 - Mikage -,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,19,false,w3g4T7YotTneHKkx_FrhHxwu3B4,弱虫モンブラン,音源/术力口词:GUMI/Megpoid | P主/术力口作者:DECO*27 | 已知术力口曲名:弱虫モンブラン,direct
小夜子,みきとP feat.初音ミク,深影,mikage.js,【歌切】[2026-06-06]凌晨4点的灵界 深影 - Mikage -,https://www.bilibili.com/video/BV1dsEJ6aEx2?p=4,BV1dsEJ6aEx2,116703841225340,38915082333,4,1780760488,2026-06-06 23:41:28,1780760489,2026-06-06 23:41:29,277,2753,11,349,https://i1.hdslb.com/bfs/archive/e2635f723967724dcf637a473ae217d217714f0d.png@160w_90h_1c.webp,【歌切】[2026-06-06]凌晨4点的灵界 深影 - Mikage -,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,34,false,rvh-1M7IOe_Z1J6gwP2piIlCCxI,小夜子,音源/术力口词:初音ミク | P主/术力口作者:みきとP | 已知术力口曲名:小夜子,direct
心拍数♯0822,蝶々P feat.初音ミク,深影,mikage.js,【歌切】[2026-06-06]凌晨4点的灵界 深影 - Mikage -,https://www.bilibili.com/video/BV1dsEJ6aEx2?p=11,BV1dsEJ6aEx2,116703841225340,38915149519,11,1780760488,2026-06-06 23:41:28,1780760489,2026-06-06 23:41:29,305,2753,11,349,https://i1.hdslb.com/bfs/archive/e2635f723967724dcf637a473ae217d217714f0d.png@160w_90h_1c.webp,【歌切】[2026-06-06]凌晨4点的灵界 深影 - Mikage -,前尘往事如昔故,前尘往事如昔故,3546597260528367,11,24,false,BgqQF75KiK6iVGRqVeNZiJTZDBo,心拍数♯0822,音源/术力口词:初音ミク | P主/术力口作者:蝶々P,direct
夜明けと蛍,n-buna feat.初音ミク,深影,mikage.js,【歌切】[2026-06-06]凌晨4点的灵界 深影 - Mikage -,https://www.bilibili.com/video/BV1dsEJ6aEx2?p=5,BV1dsEJ6aEx2,116703841225340,38915082040,5,1780760488,2026-06-06 23:41:28,1780760489,2026-06-06 23:41:29,311,2753,11,349,https://i1.hdslb.com/bfs/archive/e2635f723967724dcf637a473ae217d217714f0d.png@160w_90h_1c.webp,【歌切】[2026-06-06]凌晨4点的灵界 深影 - Mikage -,前尘往事如昔故,前尘往事如昔故,3546597260528367,22,123,false,UnDoMjuxU1yUi85uL2PHAGhCXKA,夜明けと蛍,音源/术力口词:初音ミク | P主/术力口作者:n-buna | 已知术力口曲名:夜明けと蛍,direct
flos,R Sound Design,深影,mikage.js,【歌切】[2026-06-03]会把 Siri 叫成「…ssiri」的人 深影 - Mikage -,https://www.bilibili.com/video/BV1TJ7d6UEE3?p=9,BV1TJ7d6UEE3,116688657844216,38840043351,9,1780528834,2026-06-04 07:20:34,1780528834,2026-06-04 07:20:34,270,3100,11,450,https://i0.hdslb.com/bfs/archive/87c1491e4df957ba308661d31d02e29cf279d5ac.png@160w_90h_1c.webp,【歌切】[2026-06-03]会把 Siri 叫成「…ssiri」的人 深影 - Mikage -,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,20,false,70MkJ--L3fIQVnOb-7g05VIWxOI,flos,P主/术力口作者:R Sound Design | 已知术力口曲名:flos,direct
サマータイムレコード,じん,深影,mikage.js,"【歌切】[2026-05-24]频道订阅26,000人耐久歌回 深影 - Mikage -",https://www.bilibili.com/video/BV1QvG56ZE5C?p=4,BV1QvG56ZE5C,116625911055013,38565973188,4,1779571511,2026-05-24 05:25:11,1779571511,2026-05-24 05:25:11,275,3191,14,496,https://i2.hdslb.com/bfs/archive/6d5ae00edde1baa2d3355ebec8e7f38e2194a324.png@160w_90h_1c.webp,"【歌切】[2026-05-24]频道订阅26,000人耐久歌回 深影 - Mikage -",前尘往事如昔故,前尘往事如昔故,3546597260528367,17,41,false,1FFOopmAH1ZcB5Mx3U0HaiDiUTU,サマタイムレコド,P主/术力口作者:じん | 已知术力口曲名:サマータイムレコード,direct
それがあなたの幸せとしても,Heavenz,深影,mikage.js,"【歌切】[2026-05-24]频道订阅26,000人耐久歌回 深影 - Mikage -",https://www.bilibili.com/video/BV1QvG56ZE5C?p=12,BV1QvG56ZE5C,116625911055013,38566036567,12,1779571511,2026-05-24 05:25:11,1779571511,2026-05-24 05:25:11,265,3191,14,496,https://i2.hdslb.com/bfs/archive/6d5ae00edde1baa2d3355ebec8e7f38e2194a324.png@160w_90h_1c.webp,"【歌切】[2026-05-24]频道订阅26,000人耐久歌回 深影 - Mikage -",前尘往事如昔故,前尘往事如昔故,3546597260528367,8,27,false,k0nypALKoCq6W5dxYlrTiMd5K_w,それがあなたの幸せとしても,P主/术力口作者:Heavenz,direct
フォニイ,ツミキ,深影,mikage.js,"【歌切】[2026-05-24]频道订阅26,000人耐久歌回 深影 - Mikage -",https://www.bilibili.com/video/BV1QvG56ZE5C?p=3,BV1QvG56ZE5C,116625911055013,38565973162,3,1779571511,2026-05-24 05:25:11,1779571511,2026-05-24 05:25:11,188,3191,14,496,https://i2.hdslb.com/bfs/archive/6d5ae00edde1baa2d3355ebec8e7f38e2194a324.png@160w_90h_1c.webp,"【歌切】[2026-05-24]频道订阅26,000人耐久歌回 深影 - Mikage -",前尘往事如昔故,前尘往事如昔故,3546597260528367,15,52,false,gipGnPtLmzOWvGxc7p3-HG4DLDk,フォニイ,P主/术力口作者:ツミキ | 已知术力口曲名:フォニイ,direct
心拍数♯0822,蝶々P,深影,mikage.js,"【歌切】[2026-05-24]频道订阅26,000人耐久歌回 深影 - Mikage -",https://www.bilibili.com/video/BV1QvG56ZE5C?p=13,BV1QvG56ZE5C,116625911055013,38566036789,13,1779571511,2026-05-24 05:25:11,1779571511,2026-05-24 05:25:11,294,3191,14,496,https://i2.hdslb.com/bfs/archive/6d5ae00edde1baa2d3355ebec8e7f38e2194a324.png@160w_90h_1c.webp,"【歌切】[2026-05-24]频道订阅26,000人耐久歌回 深影 - Mikage -",前尘往事如昔故,前尘往事如昔故,3546597260528367,11,24,false,s1MNXaGyETEVw0ldaoG18tUhBJ4,心拍数♯0822,P主/术力口作者:蝶々P,direct
心拍数♯0822,蝶々P,深影,mikage.js,"【歌切】[2026-05-24]频道订阅26,000人耐久歌回 深影 - Mikage -",https://www.bilibili.com/video/BV1QvG56ZE5C?p=14,BV1QvG56ZE5C,116625911055013,38566036865,14,1779571511,2026-05-24 05:25:11,1779571511,2026-05-24 05:25:11,37,3191,14,496,https://i2.hdslb.com/bfs/archive/6d5ae00edde1baa2d3355ebec8e7f38e2194a324.png@160w_90h_1c.webp,"【歌切】[2026-05-24]频道订阅26,000人耐久歌回 深影 - Mikage -",前尘往事如昔故,前尘往事如昔故,3546597260528367,11,24,false,X6eBx1N6C-WJTOD3LJq96lsAOCU,心拍数♯0822,P主/术力口作者:蝶々P,direct
