title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
インタビュア,クワガタP feat. 巡音ルカ,紅葉丸,momijimaru.js,【🍁歌切】[2026-06-10]来点清晨的陪伴如何!! 悠闲杂谈&歌回🍁✨ 紅葉丸チャンネル Momijimaru,https://www.bilibili.com/video/BV1BKEo6gEXF?p=1,BV1BKEo6gEXF,116727396436937,39021118532,1,1781119526,2026-06-11 03:25:26,1781119526,2026-06-11 03:25:26,261,1629,7,51,https://i1.hdslb.com/bfs/archive/dab67bb25460bb7bb03800345a49e187603289ef.png@160w_90h_1c.webp,【🍁歌切】[2026-06-10]来点清晨的陪伴如何!! 悠闲杂谈&歌回🍁✨ 紅葉丸チャンネル Momijimaru,前尘往事如昔故,前尘往事如昔故,3546597260528367,7,8,false,07hltXSfNSkz_XI_nfwbA24hH2Q,インタビュア,音源/术力口词:巡音ルカ,direct
ずうっといっしょ！,キタニタツヤ,紅葉丸,momijimaru.js,【🍁歌切】[2026-06-10]来点清晨的陪伴如何!! 悠闲杂谈&歌回🍁✨ 紅葉丸チャンネル Momijimaru,https://www.bilibili.com/video/BV1BKEo6gEXF?p=3,BV1BKEo6gEXF,116727396436937,39021118491,3,1781119526,2026-06-11 03:25:26,1781119526,2026-06-11 03:25:26,179,1629,7,51,https://i1.hdslb.com/bfs/archive/dab67bb25460bb7bb03800345a49e187603289ef.png@160w_90h_1c.webp,【🍁歌切】[2026-06-10]来点清晨的陪伴如何!! 悠闲杂谈&歌回🍁✨ 紅葉丸チャンネル Momijimaru,前尘往事如昔故,前尘往事如昔故,3546597260528367,7,24,false,ILugVLAEgTAhqY_MovyAKdb_4Gw,ずうっといっしょ,已知术力口曲名:ずうっといっしょ！,direct
PLATONIC GIRL,みきとP feat. GUMI,紅葉丸,momijimaru.js,【🍁歌切】[2026-06-09]用帅气歌曲让你着迷的歌回✨ 紅葉丸チャンネル Momijimaru,https://www.bilibili.com/video/BV1eFEU6GEe6?p=8,BV1eFEU6GEe6,116721910287198,38995624751,8,1781035337,2026-06-10 04:02:17,1781035337,2026-06-10 04:02:17,238,2674,13,58,https://i2.hdslb.com/bfs/archive/726d14e9fe2e6113886fa7019f34b2689e3ff6e0.png@160w_90h_1c.webp,【🍁歌切】[2026-06-09]用帅气歌曲让你着迷的歌回✨ 紅葉丸チャンネル Momijimaru,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,3,false,WnbOS1KuDRcG1d7iVfOS6ruY5mY,platonicgirl,音源/术力口词:GUMI/Megpoid | P主/术力口作者:みきとP,direct
ゴーストルール,DECO*27 feat. 初音ミク,紅葉丸,momijimaru.js,【🍁歌切】[2026-06-09]用帅气歌曲让你着迷的歌回✨ 紅葉丸チャンネル Momijimaru,https://www.bilibili.com/video/BV1eFEU6GEe6?p=2,BV1eFEU6GEe6,116721910287198,38995560736,2,1781035337,2026-06-10 04:02:17,1781035337,2026-06-10 04:02:17,207,2674,13,58,https://i2.hdslb.com/bfs/archive/726d14e9fe2e6113886fa7019f34b2689e3ff6e0.png@160w_90h_1c.webp,【🍁歌切】[2026-06-09]用帅气歌曲让你着迷的歌回✨ 紅葉丸チャンネル Momijimaru,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,12,false,Vx-bb8tERR71A_e_-hZSRbcc8Kw,ゴストルル,音源/术力口词:初音ミク | P主/术力口作者:DECO*27 | 已知术力口曲名:ゴーストルール,direct
フィクサー,ぬゆり feat. flower,紅葉丸,momijimaru.js,【🍁歌切】[2026-06-09]用帅气歌曲让你着迷的歌回✨ 紅葉丸チャンネル Momijimaru,https://www.bilibili.com/video/BV1eFEU6GEe6?p=5,BV1eFEU6GEe6,116721910287198,38995561460,5,1781035337,2026-06-10 04:02:17,1781035337,2026-06-10 04:02:17,242,2674,13,58,https://i2.hdslb.com/bfs/archive/726d14e9fe2e6113886fa7019f34b2689e3ff6e0.png@160w_90h_1c.webp,【🍁歌切】[2026-06-09]用帅气歌曲让你着迷的歌回✨ 紅葉丸チャンネル Momijimaru,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,8,false,ozCrCdSL28AlKdzrf4Bm85lFlaE,フィクサ,P主/术力口作者:ぬゆり | 已知术力口曲名:フィクサー,direct
ロキ,みきとP feat. 鏡音リン,紅葉丸,momijimaru.js,【🍁歌切】[2026-06-09]用帅气歌曲让你着迷的歌回✨ 紅葉丸チャンネル Momijimaru,https://www.bilibili.com/video/BV1eFEU6GEe6?p=13,BV1eFEU6GEe6,116721910287198,38995625942,13,1781035337,2026-06-10 04:02:17,1781035337,2026-06-10 04:02:17,226,2674,13,58,https://i2.hdslb.com/bfs/archive/726d14e9fe2e6113886fa7019f34b2689e3ff6e0.png@160w_90h_1c.webp,【🍁歌切】[2026-06-09]用帅气歌曲让你着迷的歌回✨ 紅葉丸チャンネル Momijimaru,前尘往事如昔故,前尘往事如昔故,3546597260528367,11,19,false,tVR1V7mP_4hbop4nAQotoYzMClI,ロキ,音源/术力口词:鏡音リン/レン | P主/术力口作者:みきとP | 已知术力口曲名:ロキ,direct
ワールズエンド・ダンスホール,wowaka feat. 初音ミク,紅葉丸,momijimaru.js,【🍁歌切】[2026-06-09]用帅气歌曲让你着迷的歌回✨ 紅葉丸チャンネル Momijimaru,https://www.bilibili.com/video/BV1eFEU6GEe6?p=3,BV1eFEU6GEe6,116721910287198,38995560916,3,1781035337,2026-06-10 04:02:17,1781035337,2026-06-10 04:02:17,185,2674,13,58,https://i2.hdslb.com/bfs/archive/726d14e9fe2e6113886fa7019f34b2689e3ff6e0.png@160w_90h_1c.webp,【🍁歌切】[2026-06-09]用帅气歌曲让你着迷的歌回✨ 紅葉丸チャンネル Momijimaru,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,dgYVH-zNlmu54Od-TQmADnP52AU,ワルズエンドダンスホル,音源/术力口词:初音ミク | 已知术力口曲名:ワールズエンド・ダンスホール,direct
乙女解剖,DECO*27 feat. 初音ミク,紅葉丸,momijimaru.js,【🍁歌切】[2026-06-09]用帅气歌曲让你着迷的歌回✨ 紅葉丸チャンネル Momijimaru,https://www.bilibili.com/video/BV1eFEU6GEe6?p=10,BV1eFEU6GEe6,116721910287198,38995624860,10,1781035337,2026-06-10 04:02:17,1781035337,2026-06-10 04:02:17,221,2674,13,58,https://i2.hdslb.com/bfs/archive/726d14e9fe2e6113886fa7019f34b2689e3ff6e0.png@160w_90h_1c.webp,【🍁歌切】[2026-06-09]用帅气歌曲让你着迷的歌回✨ 紅葉丸チャンネル Momijimaru,前尘往事如昔故,前尘往事如昔故,3546597260528367,7,16,false,ZZIpbk-64c0ugDOKFNE79NS2aXQ,乙女解剖,音源/术力口词:初音ミク | P主/术力口作者:DECO*27 | 已知术力口曲名:乙女解剖,direct
夜咄ディセイブ,じん feat. IA,紅葉丸,momijimaru.js,【🍁歌切】[2026-06-09]用帅气歌曲让你着迷的歌回✨ 紅葉丸チャンネル Momijimaru,https://www.bilibili.com/video/BV1eFEU6GEe6?p=1,BV1eFEU6GEe6,116721910287198,38995560306,1,1781035337,2026-06-10 04:02:17,1781035337,2026-06-10 04:02:17,196,2674,13,58,https://i2.hdslb.com/bfs/archive/726d14e9fe2e6113886fa7019f34b2689e3ff6e0.png@160w_90h_1c.webp,【🍁歌切】[2026-06-09]用帅气歌曲让你着迷的歌回✨ 紅葉丸チャンネル Momijimaru,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,13,false,pOkuGEbYUOWt3pnlwO-WOd7CfFU,夜咄ディセイブ,音源/术力口词:IA | P主/术力口作者:じん | 已知术力口曲名:夜咄ディセイブ,direct
Bad ∞ End ∞ Night,ひとしずくP×やま△ feat. 初音ミク・鏡音リン・鏡音レン・巡音ルカ・KAITO・MEIKO・GUMI・神威,紅葉丸,momijimaru.js,【🍁歌切】[2026-06-07]术力口爱好者集合!! 唱完50首术力口才结束✨ 紅葉丸チャンネル Momijimaru,https://www.bilibili.com/video/BV1upEa6pE5A?p=24,BV1upEa6pE5A,116710753443448,38942999218,24,1780865197,2026-06-08 04:46:37,1780865197,2026-06-08 04:46:37,247,10129,50,156,https://i1.hdslb.com/bfs/archive/4ab45effb36b106c9bd4cdc55c9ed8fa2135af3c.png@160w_90h_1c.webp,【🍁歌切】[2026-06-07]术力口爱好者集合!! 唱完50首术力口才结束✨ 紅葉丸チャンネル Momijimaru,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,h2LP7VdihKB4p8tmaRqJdLNv3mQ,bad∞end∞night,音源/术力口词:初音ミク | 音源/术力口词:鏡音リン/レン | 音源/术力口词:巡音ルカ | 音源/术力口词:MEIKO | 音源/术力口词:KAITO | 音源/术力口词:GUMI/Megpoid,direct
