title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
Gimme×Gimme,八王子P×Giga feat.初音ミク・鏡音リン,ななし律歌,nanashirikka.js,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,https://www.bilibili.com/video/BV1eUJV61E4T?p=13,BV1eUJV61E4T,116737831869284,39070337243,13,1781279832,2026-06-12 23:57:12,1781279832,2026-06-12 23:57:12,215,5107,21,334,https://i2.hdslb.com/bfs/archive/85e57709fbdebf6e673d3aaf857855b30679e46a.png@160w_90h_1c.webp,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,前尘往事如昔故,前尘往事如昔故,3546597260528367,6,7,false,D4zS0ycyWDImIr_zY9qq4ohcO4c,gimme×gimme,音源/术力口词:初音ミク | 音源/术力口词:鏡音リン/レン,direct
"rain stops, good-bye",におP feat.初音ミク,ななし律歌,nanashirikka.js,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,https://www.bilibili.com/video/BV1eUJV61E4T?p=21,BV1eUJV61E4T,116737831869284,39070404488,21,1781279832,2026-06-12 23:57:12,1781279832,2026-06-12 23:57:12,322,5107,21,334,https://i2.hdslb.com/bfs/archive/85e57709fbdebf6e673d3aaf857855b30679e46a.png@160w_90h_1c.webp,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,36,false,eWEDqMOs5otUHQra0eX7JifmAgA,rainstopsgoodbye,音源/术力口词:初音ミク,direct
アンノウン・マザーグース,wowaka feat.初音ミク,ななし律歌,nanashirikka.js,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,https://www.bilibili.com/video/BV1eUJV61E4T?p=12,BV1eUJV61E4T,116737831869284,39070336339,12,1781279832,2026-06-12 23:57:12,1781279832,2026-06-12 23:57:12,277,5107,21,334,https://i2.hdslb.com/bfs/archive/85e57709fbdebf6e673d3aaf857855b30679e46a.png@160w_90h_1c.webp,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,前尘往事如昔故,前尘往事如昔故,3546597260528367,6,11,false,8bnD0FS9CRWRaLn8DxBOGUja4lA,アンノウンマザグス,音源/术力口词:初音ミク | 已知术力口曲名:アンノウン・マザーグース,direct
いかないで,想太 feat.歌愛ユキ,ななし律歌,nanashirikka.js,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,https://www.bilibili.com/video/BV1eUJV61E4T?p=18,BV1eUJV61E4T,116737831869284,39070402516,18,1781279832,2026-06-12 23:57:12,1781279832,2026-06-12 23:57:12,189,5107,21,334,https://i2.hdslb.com/bfs/archive/85e57709fbdebf6e673d3aaf857855b30679e46a.png@160w_90h_1c.webp,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,22,false,H6lLByXBN29Pmis8AHolwYqde4E,いかないで,音源/术力口词:其他音源,direct
え？あぁ、そう。,蝶々P feat.初音ミク,ななし律歌,nanashirikka.js,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,https://www.bilibili.com/video/BV1eUJV61E4T?p=14,BV1eUJV61E4T,116737831869284,39070338364,14,1781279832,2026-06-12 23:57:12,1781279832,2026-06-12 23:57:12,194,5107,21,334,https://i2.hdslb.com/bfs/archive/85e57709fbdebf6e673d3aaf857855b30679e46a.png@160w_90h_1c.webp,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,前尘往事如昔故,前尘往事如昔故,3546597260528367,5,5,false,EOKLp9nLT-Ou3PFLfaZTsU7ADzM,えあぁ、そう,音源/术力口词:初音ミク | P主/术力口作者:蝶々P | 已知术力口曲名:え？あぁ、そう。,direct
ハイド・アンド・シーク,NOMELON NOLEMON,ななし律歌,nanashirikka.js,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,https://www.bilibili.com/video/BV1eUJV61E4T?p=10,BV1eUJV61E4T,116737831869284,39070272539,10,1781279832,2026-06-12 23:57:12,1781279832,2026-06-12 23:57:12,195,5107,21,334,https://i2.hdslb.com/bfs/archive/85e57709fbdebf6e673d3aaf857855b30679e46a.png@160w_90h_1c.webp,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,12,false,B2af5oe76Zfx8fr6Js9N4rZk3r0,ハイドアンドシク,已知术力口曲名:ハイドアンド・シーク,direct
メリュー,n-buna feat.初音ミク,ななし律歌,nanashirikka.js,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,https://www.bilibili.com/video/BV1eUJV61E4T?p=19,BV1eUJV61E4T,116737831869284,39070403430,19,1781279832,2026-06-12 23:57:12,1781279832,2026-06-12 23:57:12,218,5107,21,334,https://i2.hdslb.com/bfs/archive/85e57709fbdebf6e673d3aaf857855b30679e46a.png@160w_90h_1c.webp,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,17,false,IGt435SCnXiN4DAGPXWmRMQgQYE,メリュ,音源/术力口词:初音ミク | P主/术力口作者:n-buna | 已知术力口曲名:メリュー,direct
ラブ＆デストロイ,MI8k feat.GUMI,ななし律歌,nanashirikka.js,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,https://www.bilibili.com/video/BV1eUJV61E4T?p=15,BV1eUJV61E4T,116737831869284,39070338791,15,1781279832,2026-06-12 23:57:12,1781279832,2026-06-12 23:57:12,210,5107,21,334,https://i2.hdslb.com/bfs/archive/85e57709fbdebf6e673d3aaf857855b30679e46a.png@160w_90h_1c.webp,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,8,false,-40Wbmja2pDcr75Je5_jJIE4Nts,ラブ&デストロイ,音源/术力口词:GUMI/Megpoid,direct
金曜日のおはよう,HoneyWorks feat.GUMI,ななし律歌,nanashirikka.js,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,https://www.bilibili.com/video/BV1eUJV61E4T?p=8,BV1eUJV61E4T,116737831869284,39070270377,8,1781279832,2026-06-12 23:57:12,1781279832,2026-06-12 23:57:12,236,5107,21,334,https://i2.hdslb.com/bfs/archive/85e57709fbdebf6e673d3aaf857855b30679e46a.png@160w_90h_1c.webp,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,17,false,ngnYEeif1hrNrAnlEJELorCNyHI,金曜日のおはよう,音源/术力口词:GUMI/Megpoid,direct
心做し,蝶々P feat.GUMI,ななし律歌,nanashirikka.js,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,https://www.bilibili.com/video/BV1eUJV61E4T?p=20,BV1eUJV61E4T,116737831869284,39070403957,20,1781279832,2026-06-12 23:57:12,1781279832,2026-06-12 23:57:12,265,5107,21,334,https://i2.hdslb.com/bfs/archive/85e57709fbdebf6e673d3aaf857855b30679e46a.png@160w_90h_1c.webp,【歌切】[2026-06-11]想唱各种歌的歌回 ななし律歌 / Nanashi Rikka,前尘往事如昔故,前尘往事如昔故,3546597260528367,18,46,false,uFH4hnn1hy-h46nrt5pN52rRnHU,心做し,音源/术力口词:GUMI/Megpoid | P主/术力口作者:蝶々P,direct
