title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
地球最後の告白を,kemu,なれたん,naraetan.js,【歌切】[2026-06-02]6月到了！来唱歌吧！🎼🎧 なれたん Naraetan Ch.,https://www.bilibili.com/video/BV1dKVk6LEvi?p=6,BV1dKVk6LEvi,116682316061532,38811732913,6,1780432011,2026-06-03 04:26:51,1780432012,2026-06-03 04:26:52,264,3119,13,90,https://i1.hdslb.com/bfs/archive/cd5a0a12e3ce02d2e615f2d00d90ac086ad71d1a.png@160w_90h_1c.webp,【歌切】[2026-06-02]6月到了！来唱歌吧！🎼🎧 なれたん Naraetan Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,27,false,iFOv7Zmg65sFkJWar-oD6Irr19Q,地球最後の告白を,P主/术力口作者:kemu | 已知术力口曲名:地球最後の告白を,direct
ブラック★ロックシューター,supercell,なれたん,naraetan.js,【歌切】[2026-05-29]5月最后的星期五歌回🍎 なれたん Naraetan Ch.,https://www.bilibili.com/video/BV15bVu6HEmH?p=6,BV15bVu6HEmH,116660119803962,38709562392,6,1780093352,2026-05-30 06:22:32,1780093352,2026-05-30 06:22:32,287,3787,15,112,https://i2.hdslb.com/bfs/archive/ba62bea0286406efc508cfaff051ef7627373082.png@160w_90h_1c.webp,【歌切】[2026-05-29]5月最后的星期五歌回🍎 なれたん Naraetan Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,23,false,EqDvGFf5k0za8vQZx1y1IsW03H0,ブラックロックシュタ,已知术力口曲名:ブラック★ロックシューター,direct
恋愛裁判,40mP,なれたん,naraetan.js,【歌切】[2026-05-29]5月最后的星期五歌回🍎 なれたん Naraetan Ch.,https://www.bilibili.com/video/BV15bVu6HEmH?p=11,BV15bVu6HEmH,116660119803962,38709562934,11,1780093352,2026-05-30 06:22:32,1780093352,2026-05-30 06:22:32,219,3787,15,112,https://i2.hdslb.com/bfs/archive/ba62bea0286406efc508cfaff051ef7627373082.png@160w_90h_1c.webp,【歌切】[2026-05-29]5月最后的星期五歌回🍎 なれたん Naraetan Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,27,false,jD0A5vlxyTP7bGJsWquoU-34W7s,恋愛裁判,P主/术力口作者:40mP | 已知术力口曲名:恋愛裁判,direct
夜もすがら君想ふ,TOKOTOKO,なれたん,naraetan.js,【歌切】[2026-05-27]大家一起制作的歌单🪇 なれたん Naraetan Ch.,https://www.bilibili.com/video/BV1wEGD6jEBT?p=21,BV1wEGD6jEBT,116648157644458,38660407950,21,1779910227,2026-05-28 03:30:27,1779910227,2026-05-28 03:30:27,234,5810,22,117,https://i2.hdslb.com/bfs/archive/6b80e456d7bf7df039d54f156c34b3680ebc1022.png@160w_90h_1c.webp,【歌切】[2026-05-27]大家一起制作的歌单🪇 なれたん Naraetan Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,13,27,false,wiAts4JHXtWOLtIgZdknKb0NMKk,夜もすがら君想ふ,P主/术力口作者:TOKOTOKO,direct
ロキ,みきとP,なれたん,naraetan.js,【歌切】[2026-05-26]在温馨的家用3D里开心唱歌🫶 なれたん Naraetan Ch.,https://www.bilibili.com/video/BV1eyVK6CEdZ?p=9,BV1eyVK6CEdZ,116642587612163,38636883962,9,1779824862,2026-05-27 03:47:42,1779824862,2026-05-27 03:47:42,226,2844,11,98,https://i1.hdslb.com/bfs/archive/50bddac26b39a17bcc8c1c9b929b8abc553baf7d.png@160w_90h_1c.webp,【歌切】[2026-05-26]在温馨的家用3D里开心唱歌🫶 なれたん Naraetan Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,11,19,false,cykA2TddmBOnB3fmfbHP7VDeCKE,ロキ,P主/术力口作者:みきとP | 已知术力口曲名:ロキ,direct
自傷無色,ねこぼーろ feat.初音ミク,なれたん,naraetan.js,【歌切】[2026-05-25]突击！稍微唱一会儿歌👀 なれたん Naraetan Ch.,https://www.bilibili.com/video/BV15gVc6aEdT?p=6,BV15gVc6aEdT,116637453781192,38613549606,6,1779746717,2026-05-26 06:05:17,1779746717,2026-05-26 06:05:17,215,1661,7,90,https://i0.hdslb.com/bfs/archive/9881d9c6ee2a3f58b5f888ba4d47204151e7f5c2.png@160w_90h_1c.webp,【歌切】[2026-05-25]突击！稍微唱一会儿歌👀 なれたん Naraetan Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,4,false,HAIGtgQwv3sPA71HL2wNf9MEyFc,自傷無色,音源/术力口词:初音ミク,direct
モニタリング,DECO*27,なれたん,naraetan.js,【歌切】[2026-05-20]初次来访的朋友和老观众们都热烈欢迎😉 なれたん Naraetan Ch.,https://www.bilibili.com/video/BV1jbLW6vEY9?p=11,BV1jbLW6vEY9,116608949295039,38487458905,11,1779311801,2026-05-21 05:16:41,1779311801,2026-05-21 05:16:41,177,3263,14,124,https://i1.hdslb.com/bfs/archive/706f37382424663abed99e4a24a514eadb0d199c.png@160w_90h_1c.webp,【歌切】[2026-05-20]初次来访的朋友和老观众们都热烈欢迎😉 なれたん Naraetan Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,48,false,YgCGWUiZKRg5LU-tqQkCGGq5lsQ,モニタリング,P主/术力口作者:DECO*27,direct
ロミオとシンデレラ,doriko feat. 初音ミク,なれたん,naraetan.js,【歌切】[2026-05-19]来听听看我唱得好不好‼️👩‍🎤请听完告诉我吧 なれたん Naraetan Ch.,https://www.bilibili.com/video/BV1apL66CE2i?p=4,BV1apL66CE2i,116602741722266,38460787489,4,1779217291,2026-05-20 03:01:31,1779217291,2026-05-20 03:01:31,276,3400,13,180,https://i0.hdslb.com/bfs/archive/d0456de8a52ddee83e4d870fa1d56faefa4ac3e2.png@160w_90h_1c.webp,【歌切】[2026-05-19]来听听看我唱得好不好‼️👩‍🎤请听完告诉我吧 なれたん Naraetan Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,21,41,false,hGG2CmVlWtqZcjkrtzMy8l-FohM,ロミオとシンデレラ,音源/术力口词:初音ミク | P主/术力口作者:doriko | 已知术力口曲名:ロミオとシンデレラ,direct
炉心融解,iroha feat. 鏡音リン,なれたん,naraetan.js,【歌切】[2026-05-19]来听听看我唱得好不好‼️👩‍🎤请听完告诉我吧 なれたん Naraetan Ch.,https://www.bilibili.com/video/BV1apL66CE2i?p=9,BV1apL66CE2i,116602741722266,38460850951,9,1779217291,2026-05-20 03:01:31,1779217291,2026-05-20 03:01:31,327,3400,13,180,https://i0.hdslb.com/bfs/archive/d0456de8a52ddee83e4d870fa1d56faefa4ac3e2.png@160w_90h_1c.webp,【歌切】[2026-05-19]来听听看我唱得好不好‼️👩‍🎤请听完告诉我吧 なれたん Naraetan Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,8,10,false,nHJNF6b3FJULm6CcC2raQT01X90,炉心融解,音源/术力口词:鏡音リン/レン | P主/术力口作者:iroha | 已知术力口曲名:炉心融解,direct
春に一番近い街,40mP,なれたん,naraetan.js,【歌切】[2026-05-17]星期日的悠闲歌回🌟 なれたん Naraetan Ch.,https://www.bilibili.com/video/BV1yC5o6gEM1?p=3,BV1yC5o6gEM1,116591500985667,38411239664,3,1779051411,2026-05-18 04:56:51,1779051411,2026-05-18 04:56:51,267,3870,15,135,https://i2.hdslb.com/bfs/archive/5071197ad991b0bd88d5b0f6eaaa7f1de0b56b6f.png@160w_90h_1c.webp,【歌切】[2026-05-17]星期日的悠闲歌回🌟 なれたん Naraetan Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,13,false,6IHugSNDp-veUmHUIE15TN9BjZc,春に一番近い街,P主/术力口作者:40mP,direct
