title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
贖罪,傘村トータ feat. IA,nayuta,nayuta.js,【nayuta_live_vol.23】17万粉丝耐久 ~ 声乐和钢琴的现场演奏会 vol.23【2025年10月23日】【生演奏系列】,https://www.bilibili.com/video/BV1AusszDEMf?p=11,BV1AusszDEMf,115430819697270,33367920595,11,1761334840,2025-10-25 03:40:40,1761334840,2025-10-25 03:40:40,288,3959,13,1197,https://i2.hdslb.com/bfs/archive/5f449401283c9b2ccf4885844a0f1094605cc26f.jpg@160w_90h_1c.webp,【nayuta_live_vol.23】17万粉丝耐久 ~ 声乐和钢琴的现场演奏会 vol.23【2025年10月23日】【生演奏系列】,前尘往事如昔故,前尘往事如昔故,3546597260528367,7,14,false,5WpK4Kuo_clPouRy--nI-pI8AB8,贖罪,音源/术力口词:IA | P主/术力口作者:傘村トータ,direct
letter song,doriko,nayuta,nayuta.js,【nayuta 生演奏切片 22/22】生日歌回 ~ 声乐和钢琴的现场演奏会 vol.22 【2025年9月27日】【生演奏系列】,https://www.bilibili.com/video/BV1K9HczQEW7?p=3,BV1K9HczQEW7,115284824366548,32707775780,3,1759107180,2025-09-29 08:53:00,1759107181,2025-09-29 08:53:01,369,3001,9,857,https://i0.hdslb.com/bfs/archive/60d541e5509b10a1c1339ed70474812b6e407902.jpg@160w_90h_1c.webp,【nayuta 生演奏切片 22/22】生日歌回 ~ 声乐和钢琴的现场演奏会 vol.22 【2025年9月27日】【生演奏系列】,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,16,false,_f7pckyrg2MndaxWyRsEI_F-XVI,lettersong,P主/术力口作者:doriko,direct
ブラック★ロックシューター,supercell,nayuta,nayuta.js,【nayuta 生演奏切片 22/22】生日歌回 ~ 声乐和钢琴的现场演奏会 vol.22 【2025年9月27日】【生演奏系列】,https://www.bilibili.com/video/BV1K9HczQEW7?p=2,BV1K9HczQEW7,115284824366548,32707775694,2,1759107180,2025-09-29 08:53:00,1759107181,2025-09-29 08:53:01,294,3001,9,857,https://i0.hdslb.com/bfs/archive/60d541e5509b10a1c1339ed70474812b6e407902.jpg@160w_90h_1c.webp,【nayuta 生演奏切片 22/22】生日歌回 ~ 声乐和钢琴的现场演奏会 vol.22 【2025年9月27日】【生演奏系列】,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,23,false,MIvIWpN9xhGai-1k-GZYnPwryNs,ブラックロックシュタ,已知术力口曲名:ブラック★ロックシューター,direct
夕日坂,初音ミク,nayuta,nayuta.js,【nayuta歌切 2021年6月9日】nayuta Live !! なまゆた＃07 ～おかえり！収益化復活＆もうすぐ14周年～,https://www.bilibili.com/video/BV1enW5zBEcC?p=1,BV1enW5zBEcC,115232731042379,32497535814,1,1758312046,2025-09-20 04:00:46,1758312046,2025-09-20 04:00:46,400,972,3,456,https://i0.hdslb.com/bfs/archive/9d6ff91e72fee02dcf4840da8d9abb020405dc10.jpg@160w_90h_1c.webp,【nayuta歌切 2021年6月9日】nayuta Live !! なまゆた＃07 ～おかえり！収益化復活＆もうすぐ14周年～,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,UDp37LF72nk8qDhLtmjolURHosI,夕日坂,音源/术力口词:初音ミク,direct
KING,Kanaria,nayuta,nayuta.js,【nayuta 歌枠切片】HITORI KARAOKE 1 2021年10月25日,https://www.bilibili.com/video/BV1dZphzWEWf?p=11,BV1dZphzWEWf,115221171609476,32451987893,11,1758135800,2025-09-18 03:03:20,1758135800,2025-09-18 03:03:20,134,6340,28,1009,https://i1.hdslb.com/bfs/archive/d433f5598b9cd547451c6b537ff172512f2b92f4.jpg@160w_90h_1c.webp,【nayuta 歌枠切片】HITORI KARAOKE 1 2021年10月25日,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,20,false,O7EVfecoMBXA7nEbrBEzTnzP-j0,king,P主/术力口作者:Kanaria | 已知术力口曲名:KING,direct
シンデレラ,DECO*27,nayuta,nayuta.js,【nayuta 歌枠切片】HITORI KARAOKE 1 2021年10月25日,https://www.bilibili.com/video/BV1dZphzWEWf?p=12,BV1dZphzWEWf,115221171609476,32451988060,12,1758135800,2025-09-18 03:03:20,1758135800,2025-09-18 03:03:20,160,6340,28,1009,https://i1.hdslb.com/bfs/archive/d433f5598b9cd547451c6b537ff172512f2b92f4.jpg@160w_90h_1c.webp,【nayuta 歌枠切片】HITORI KARAOKE 1 2021年10月25日,前尘往事如昔故,前尘往事如昔故,3546597260528367,6,6,false,bYFKd3cEbnEQKXfkJyCGB0bYBfg,シンデレラ,P主/术力口作者:DECO*27 | 已知术力口曲名:シンデレラ,direct
days,じん ft. Lia,nayuta,nayuta.js,【nayuta 歌枠切片】HITORI KARAOKE 2 PIANO 2021年11月23日,https://www.bilibili.com/video/BV1vfphzXER5?p=12,BV1vfphzXER5,115221154762875,32451986693,12,1758135468,2025-09-18 02:57:48,1758135468,2025-09-18 02:57:48,317,3458,17,498,https://i1.hdslb.com/bfs/archive/619acd497914e79a08c52e00229681e5645850c6.jpg@160w_90h_1c.webp,【nayuta 歌枠切片】HITORI KARAOKE 2 PIANO 2021年11月23日,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,2,false,7-0kk_VlaLmrhYbcCgqN6LyHzG0,days,P主/术力口作者:じん,direct
letter song,doriko,nayuta,nayuta.js,【nayuta 歌枠切片】HITORI KARAOKE 2 PIANO 2021年11月23日,https://www.bilibili.com/video/BV1vfphzXER5?p=9,BV1vfphzXER5,115221154762875,32451986669,9,1758135468,2025-09-18 02:57:48,1758135468,2025-09-18 02:57:48,141,3458,17,498,https://i1.hdslb.com/bfs/archive/619acd497914e79a08c52e00229681e5645850c6.jpg@160w_90h_1c.webp,【nayuta 歌枠切片】HITORI KARAOKE 2 PIANO 2021年11月23日,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,16,false,zNxBsN8H22RKraGRBkUepLKhBqQ,lettersong,P主/术力口作者:doriko,direct
回る空うさぎ,Orangestar,nayuta,nayuta.js,【nayuta 歌枠切片】HITORI KARAOKE 2 PIANO 2021年11月23日,https://www.bilibili.com/video/BV1vfphzXER5?p=4,BV1vfphzXER5,115221154762875,32451986634,4,1758135468,2025-09-18 02:57:48,1758135468,2025-09-18 02:57:48,155,3458,17,498,https://i1.hdslb.com/bfs/archive/619acd497914e79a08c52e00229681e5645850c6.jpg@160w_90h_1c.webp,【nayuta 歌枠切片】HITORI KARAOKE 2 PIANO 2021年11月23日,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,56,false,2_-qV-8FhBO0uZ2xH-_nlAJmcZA,回る空うさぎ,P主/术力口作者:Orangestar,direct
アスノヨゾラ哨戒班,Orangestar,nayuta,nayuta.js,【nayuta 歌枠切片】【歌枠】Midnight HITORI KARAOKE 3  2021年12月9日,https://www.bilibili.com/video/BV1DTpaz7EoL?p=8,BV1DTpaz7EoL,115221138054586,32451985560,8,1758135303,2025-09-18 02:55:03,1758135303,2025-09-18 02:55:03,173,3659,15,665,https://i1.hdslb.com/bfs/archive/d433f5598b9cd547451c6b537ff172512f2b92f4.jpg@160w_90h_1c.webp,【nayuta 歌枠切片】【歌枠】Midnight HITORI KARAOKE 3  2021年12月9日,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,33,false,__TmzHHxfOigREMLGBJoh2eFhg8,アスノヨゾラ哨戒班,P主/术力口作者:Orangestar | 已知术力口曲名:アスノヨゾラ哨戒班,direct
