title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
アイロニ,すこっぷ feat.初音ミク,ノア・ポラリス,noapolaris.js,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,https://www.bilibili.com/video/BV1o4EJ6cEs3?p=4,BV1o4EJ6cEs3,116703824449540,38914362779,4,1780760503,2026-06-06 23:41:43,1780760504,2026-06-06 23:41:44,253,7518,33,581,https://i2.hdslb.com/bfs/archive/f1665290deaa6ca1ed80c108d903b99c17d7b6b2.png@160w_90h_1c.webp,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,25,false,iV5CAGWoA8uH6JotBy9MIa4XYYE,アイロニ,音源/术力口词:初音ミク | P主/术力口作者:すこっぷ | 已知术力口曲名:アイロニ,direct
サマータイムレコード,じん feat.IA,ノア・ポラリス,noapolaris.js,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,https://www.bilibili.com/video/BV1o4EJ6cEs3?p=5,BV1o4EJ6cEs3,116703824449540,38914362784,5,1780760503,2026-06-06 23:41:43,1780760504,2026-06-06 23:41:44,261,7518,33,581,https://i2.hdslb.com/bfs/archive/f1665290deaa6ca1ed80c108d903b99c17d7b6b2.png@160w_90h_1c.webp,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,41,false,zJPtoKlb2lYnWIXsXxrfxUvb91w,サマタイムレコド,音源/术力口词:IA | P主/术力口作者:じん | 已知术力口曲名:サマータイムレコード,direct
ノンブレス・オブリージュ,ピノキオピー feat.初音ミク,ノア・ポラリス,noapolaris.js,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,https://www.bilibili.com/video/BV1o4EJ6cEs3?p=20,BV1o4EJ6cEs3,116703824449540,38911672895,20,1780760503,2026-06-06 23:41:43,1780760504,2026-06-06 23:41:44,206,7518,33,581,https://i2.hdslb.com/bfs/archive/f1665290deaa6ca1ed80c108d903b99c17d7b6b2.png@160w_90h_1c.webp,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,4,false,bYy7N-ecXNc3tFtVwpmqN3ns_LM,ノンブレスオブリジュ,音源/术力口词:初音ミク | P主/术力口作者:ピノキオピー | 已知术力口曲名:ノンブレス・オブリージュ,direct
ボルテッカー,DECO*27 feat.初音ミク,ノア・ポラリス,noapolaris.js,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,https://www.bilibili.com/video/BV1o4EJ6cEs3?p=3,BV1o4EJ6cEs3,116703824449540,38914361690,3,1780760503,2026-06-06 23:41:43,1780760504,2026-06-06 23:41:44,150,7518,33,581,https://i2.hdslb.com/bfs/archive/f1665290deaa6ca1ed80c108d903b99c17d7b6b2.png@160w_90h_1c.webp,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,M-ikHSq2nLQWfouyMJv2-gDIQYI,ボルテッカ,音源/术力口词:初音ミク | P主/术力口作者:DECO*27,direct
メリュー,n-buna feat.初音ミク,ノア・ポラリス,noapolaris.js,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,https://www.bilibili.com/video/BV1o4EJ6cEs3?p=6,BV1o4EJ6cEs3,116703824449540,38914425334,6,1780760503,2026-06-06 23:41:43,1780760504,2026-06-06 23:41:44,211,7518,33,581,https://i2.hdslb.com/bfs/archive/f1665290deaa6ca1ed80c108d903b99c17d7b6b2.png@160w_90h_1c.webp,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,17,false,Kvn3z-qqdB2VnMIwIxzOBTJg2VU,メリュ,音源/术力口词:初音ミク | P主/术力口作者:n-buna | 已知术力口曲名:メリュー,direct
メルティランドナイトメア,はるまきごはん feat.初音ミク,ノア・ポラリス,noapolaris.js,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,https://www.bilibili.com/video/BV1o4EJ6cEs3?p=19,BV1o4EJ6cEs3,116703824449540,38914687768,19,1780760503,2026-06-06 23:41:43,1780760504,2026-06-06 23:41:44,264,7518,33,581,https://i2.hdslb.com/bfs/archive/f1665290deaa6ca1ed80c108d903b99c17d7b6b2.png@160w_90h_1c.webp,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,7,false,r_XsUpd4dMiOIJSUGplTRO_lSEo,メルティランドナイトメア,音源/术力口词:初音ミク | P主/术力口作者:はるまきごはん | 已知术力口曲名:メルティランドナイトメア,direct
花降らし,n-buna feat.初音ミク,ノア・ポラリス,noapolaris.js,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,https://www.bilibili.com/video/BV1o4EJ6cEs3?p=23,BV1o4EJ6cEs3,116703824449540,38914689539,23,1780760503,2026-06-06 23:41:43,1780760504,2026-06-06 23:41:44,293,7518,33,581,https://i2.hdslb.com/bfs/archive/f1665290deaa6ca1ed80c108d903b99c17d7b6b2.png@160w_90h_1c.webp,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,18,false,8TZnWd4FGx4PaM4JCM0usE6ph2Y,花降らし,音源/术力口词:初音ミク | P主/术力口作者:n-buna,direct
私は、私達は,Guiano feat.可不,ノア・ポラリス,noapolaris.js,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,https://www.bilibili.com/video/BV1o4EJ6cEs3?p=18,BV1o4EJ6cEs3,116703824449540,38914624646,18,1780760503,2026-06-06 23:41:43,1780760504,2026-06-06 23:41:44,236,7518,33,581,https://i2.hdslb.com/bfs/archive/f1665290deaa6ca1ed80c108d903b99c17d7b6b2.png@160w_90h_1c.webp,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,n68lLKHTDA1nLC7PYVGu0WNaCHc,私は、私達は,音源/术力口词:可不/KAFU | P主/术力口作者:Guiano,direct
神様じゃなくてごめんね,Aliey:S feat.初音ミク,ノア・ポラリス,noapolaris.js,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,https://www.bilibili.com/video/BV1o4EJ6cEs3?p=17,BV1o4EJ6cEs3,116703824449540,38914623351,17,1780760503,2026-06-06 23:41:43,1780760504,2026-06-06 23:41:44,179,7518,33,581,https://i2.hdslb.com/bfs/archive/f1665290deaa6ca1ed80c108d903b99c17d7b6b2.png@160w_90h_1c.webp,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,6HaGFaI-fIk_nReEmTBxp_rBr58,神様じゃなくてごめんね,音源/术力口词:初音ミク,direct
命に嫌われている。,カンザキイオリ feat.初音ミク,ノア・ポラリス,noapolaris.js,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,https://www.bilibili.com/video/BV1o4EJ6cEs3?p=16,BV1o4EJ6cEs3,116703824449540,38914622188,16,1780760503,2026-06-06 23:41:43,1780760504,2026-06-06 23:41:44,301,7518,33,581,https://i2.hdslb.com/bfs/archive/f1665290deaa6ca1ed80c108d903b99c17d7b6b2.png@160w_90h_1c.webp,【歌切】[2026-06-05]唱歌啦！高评价耐久歌回🤍໒꒱ ノア・ポラリス -Noa Polaris-,前尘往事如昔故,前尘往事如昔故,3546597260528367,11,17,false,4AQd70r3FMz8Elic1kR_-ps4GWg,命に嫌われている,音源/术力口词:初音ミク | P主/术力口作者:カンザキイオリ | 已知术力口曲名:命に嫌われている。,direct
