title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
ドゥーマー,東京真中 feat.重音テト,非常驻妹妹,others.js,歌切 2026-06-15 えん / neG 星期一的歌回，辛苦了 37lCuKBW8kY,https://www.bilibili.com/video/BV1qZjN6dEf2?p=2,BV1qZjN6dEf2,116756320357740,39148259955,2,1781561334,2026-06-16 06:08:54,1781561334,2026-06-16 06:08:54,148,3477,16,52,https://i0.hdslb.com/bfs/archive/79c2205673e6fad09930fdee6c22cc83c73fae5c.png@160w_90h_1c.webp,歌切 2026-06-15 えん / neG 星期一的歌回，辛苦了 37lCuKBW8kY,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,tDTYWgrMQxExkNoWEQ57u-wkOGk,ドゥマ,音源/术力口词:重音テト/UTAU,direct
ハイドアンド・シーク,19's Sound Factory feat.初音ミク,非常驻妹妹,others.js,歌切 2026-06-15 えん / neG 星期一的歌回，辛苦了 37lCuKBW8kY,https://www.bilibili.com/video/BV1qZjN6dEf2?p=12,BV1qZjN6dEf2,116756320357740,39148323894,12,1781561334,2026-06-16 06:08:54,1781561334,2026-06-16 06:08:54,270,3477,16,52,https://i0.hdslb.com/bfs/archive/79c2205673e6fad09930fdee6c22cc83c73fae5c.png@160w_90h_1c.webp,歌切 2026-06-15 えん / neG 星期一的歌回，辛苦了 37lCuKBW8kY,前尘往事如昔故,前尘往事如昔故,3546597260528367,6,11,false,CO7ipv1MZVW8Q4au7PFQ5aKauHo,ハイドアンドシク,音源/术力口词:初音ミク | P主/术力口作者:19's Sound Factory | 已知术力口曲名:ハイドアンド・シーク,direct
小夜子,みきとP feat.初音ミク,非常驻妹妹,others.js,歌切 2026-06-15 えん / neG 星期一的歌回，辛苦了 37lCuKBW8kY,https://www.bilibili.com/video/BV1qZjN6dEf2?p=9,BV1qZjN6dEf2,116756320357740,39148260895,9,1781561334,2026-06-16 06:08:54,1781561334,2026-06-16 06:08:54,248,3477,16,52,https://i0.hdslb.com/bfs/archive/79c2205673e6fad09930fdee6c22cc83c73fae5c.png@160w_90h_1c.webp,歌切 2026-06-15 えん / neG 星期一的歌回，辛苦了 37lCuKBW8kY,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,34,false,x5ENObz1zRlimdApNr7k1eLgLdM,小夜子,音源/术力口词:初音ミク | P主/术力口作者:みきとP | 已知术力口曲名:小夜子,direct
おねがいダーリン,ナナホシ管弦楽団 feat.ONE,非常驻妹妹,others.js,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,https://www.bilibili.com/video/BV1jyjK6sEns?p=12,BV1jyjK6sEns,116755749929291,39147144837,12,1781552147,2026-06-16 03:35:47,1781552147,2026-06-16 03:35:47,193,6547,30,147,https://i0.hdslb.com/bfs/archive/d629b3171918be18c84faf15fa8be19eb3d9aaa6.png@160w_90h_1c.webp,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,4,false,dD7XOzCIMCRsqaj4L0aX_n8kTIo,おねがいダリン,P主/术力口作者:ナナホシ管弦楽団,direct
キリトリセン,40mP feat.GUMI,非常驻妹妹,others.js,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,https://www.bilibili.com/video/BV1jyjK6sEns?p=27,BV1jyjK6sEns,116755749929291,39147210537,27,1781552147,2026-06-16 03:35:47,1781552147,2026-06-16 03:35:47,235,6547,30,147,https://i0.hdslb.com/bfs/archive/d629b3171918be18c84faf15fa8be19eb3d9aaa6.png@160w_90h_1c.webp,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,17,false,3MbmY53kqCWB9-Q6RFZ2kAIHKz8,キリトリセン,音源/术力口词:GUMI/Megpoid | P主/术力口作者:40mP | 已知术力口曲名:キリトリセン,direct
シンデレラ,相対性理論,非常驻妹妹,others.js,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,https://www.bilibili.com/video/BV1jyjK6sEns?p=23,BV1jyjK6sEns,116755749929291,39147209730,23,1781552147,2026-06-16 03:35:47,1781552147,2026-06-16 03:35:47,198,6547,30,147,https://i0.hdslb.com/bfs/archive/d629b3171918be18c84faf15fa8be19eb3d9aaa6.png@160w_90h_1c.webp,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,Co4Mp-ZU-sksQtIK3If3f0xi1vY,シンデレラ,已知术力口曲名:シンデレラ,direct
トリノコシティ,40mP feat.初音ミク,非常驻妹妹,others.js,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,https://www.bilibili.com/video/BV1jyjK6sEns?p=11,BV1jyjK6sEns,116755749929291,39147144442,11,1781552147,2026-06-16 03:35:47,1781552147,2026-06-16 03:35:47,201,6547,30,147,https://i0.hdslb.com/bfs/archive/d629b3171918be18c84faf15fa8be19eb3d9aaa6.png@160w_90h_1c.webp,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,24,false,jO-SMtbj6tpNZU7pBDXGWmVK4ww,トリノコシティ,音源/术力口词:初音ミク | P主/术力口作者:40mP | 已知术力口曲名:トリノコシティ,direct
ドレミファロンド,40mP feat.初音ミク,非常驻妹妹,others.js,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,https://www.bilibili.com/video/BV1jyjK6sEns?p=3,BV1jyjK6sEns,116755749929291,39147079999,3,1781552147,2026-06-16 03:35:47,1781552147,2026-06-16 03:35:47,197,6547,30,147,https://i0.hdslb.com/bfs/archive/d629b3171918be18c84faf15fa8be19eb3d9aaa6.png@160w_90h_1c.webp,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,前尘往事如昔故,前尘往事如昔故,3546597260528367,8,13,false,bGsbEPeGpP7jF7L_Vdo-L5xqIsU,ドレミファロンド,音源/术力口词:初音ミク | P主/术力口作者:40mP,direct
勘違い性反希望症,DECO*27 feat.初音ミク,非常驻妹妹,others.js,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,https://www.bilibili.com/video/BV1jyjK6sEns?p=24,BV1jyjK6sEns,116755749929291,39147210555,24,1781552147,2026-06-16 03:35:47,1781552147,2026-06-16 03:35:47,215,6547,30,147,https://i0.hdslb.com/bfs/archive/d629b3171918be18c84faf15fa8be19eb3d9aaa6.png@160w_90h_1c.webp,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,irDK7D-ldGwGn7AE4HOA0mTFdOE,勘違い性反希望症,音源/术力口词:初音ミク | P主/术力口作者:DECO*27,direct
純情スカート,40mP feat.初音ミク,非常驻妹妹,others.js,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,https://www.bilibili.com/video/BV1jyjK6sEns?p=7,BV1jyjK6sEns,116755749929291,39147081280,7,1781552147,2026-06-16 03:35:47,1781552147,2026-06-16 03:35:47,247,6547,30,147,https://i0.hdslb.com/bfs/archive/d629b3171918be18c84faf15fa8be19eb3d9aaa6.png@160w_90h_1c.webp,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,3,false,HRSFIW1eyWVuyzVjQRtXf45C1tk,純情スカト,音源/术力口词:初音ミク | P主/术力口作者:40mP,direct
凍るサマー,Guiano feat.flower,非常驻妹妹,others.js,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,https://www.bilibili.com/video/BV1jyjK6sEns?p=15,BV1jyjK6sEns,116755749929291,39147146020,15,1781552147,2026-06-16 03:35:47,1781552147,2026-06-16 03:35:47,228,6547,30,147,https://i0.hdslb.com/bfs/archive/d629b3171918be18c84faf15fa8be19eb3d9aaa6.png@160w_90h_1c.webp,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,4mVa-JliMMJsX2BXWW2_iD6xiiw,凍るサマ,P主/术力口作者:Guiano,direct
妄想スケッチ,40mP feat.初音ミク,非常驻妹妹,others.js,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,https://www.bilibili.com/video/BV1jyjK6sEns?p=2,BV1jyjK6sEns,116755749929291,39147079709,2,1781552147,2026-06-16 03:35:47,1781552147,2026-06-16 03:35:47,220,6547,30,147,https://i0.hdslb.com/bfs/archive/d629b3171918be18c84faf15fa8be19eb3d9aaa6.png@160w_90h_1c.webp,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,EoDNw4qaYiIa-xxan8qmlbNP3R4,妄想スケッチ,音源/术力口词:初音ミク | P主/术力口作者:40mP,direct
恋はきっと急上昇☆,のぼる↑P feat.GUMI,非常驻妹妹,others.js,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,https://www.bilibili.com/video/BV1jyjK6sEns?p=14,BV1jyjK6sEns,116755749929291,39147145314,14,1781552147,2026-06-16 03:35:47,1781552147,2026-06-16 03:35:47,225,6547,30,147,https://i0.hdslb.com/bfs/archive/d629b3171918be18c84faf15fa8be19eb3d9aaa6.png@160w_90h_1c.webp,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,1U3ca1TWUBRdQXUw9Wyf5H2_6xA,恋はきっと急上昇,音源/术力口词:GUMI/Megpoid,direct
彗星ハネムーン,ナユタン星人 feat.初音ミク,非常驻妹妹,others.js,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,https://www.bilibili.com/video/BV1jyjK6sEns?p=6,BV1jyjK6sEns,116755749929291,39147080765,6,1781552147,2026-06-16 03:35:47,1781552147,2026-06-16 03:35:47,208,6547,30,147,https://i0.hdslb.com/bfs/archive/d629b3171918be18c84faf15fa8be19eb3d9aaa6.png@160w_90h_1c.webp,歌切 2026-06-14 鈴花いのり - Suzuhana Inori - cLoOdpAgqAU 星期日定期𝜗𝜚.⋆ 反差声线怎么样？♡欢迎初见的朋友！,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,3,false,BUMh7DAwoAuo7jVxh1t9oSeVnmI,彗星ハネムン,音源/术力口词:初音ミク | P主/术力口作者:ナユタン星人 | 已知术力口曲名:彗星ハネムーン,direct
Calc.,ジミーサムP feat.初音ミク,非常驻妹妹,others.js,歌切 2026-06-14 カシ・オトハ / Kashi Otoha bZEZaQIJXvQ 高評価150目標✦深夜の睡眠導入弾き語り,https://www.bilibili.com/video/BV1ZWjT6oE6X?p=20,BV1ZWjT6oE6X,116755649271306,39146949598,20,1781550623,2026-06-16 03:10:23,1781550624,2026-06-16 03:10:24,297,4755,20,45,https://i0.hdslb.com/bfs/archive/1410caabd20e997032b84fd98c2d625b4512ac8c.png@160w_90h_1c.webp,歌切 2026-06-14 カシ・オトハ / Kashi Otoha bZEZaQIJXvQ 高評価150目標✦深夜の睡眠導入弾き語り,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,38,false,d8jV3UqOTUX_ToPYFQPLsI_e-oE,calc,音源/术力口词:初音ミク | P主/术力口作者:ジミーサムP | 已知术力口曲名:Calc.,direct
