title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
タイムマシン,1640mP(164×40mP) feat. 初音ミク,音門るき,otomoneruki.js,【👿歌切】[2026-06-06]当作电台的夜间歌回📻🎶 辛苦了！伴你回家！来听一曲再走😈✨ Ruki Otokado 音門るき [VEE],https://www.bilibili.com/video/BV1qyEn6BEGN?p=8,BV1qyEn6BEGN,116704847924510,38918881595,8,1780775226,2026-06-07 03:47:06,1780775226,2026-06-07 03:47:06,245,3462,15,178,https://i0.hdslb.com/bfs/archive/22e26a89f5a926e0a117deec194a84ba2bff07a2.png@160w_90h_1c.webp,【👿歌切】[2026-06-06]当作电台的夜间歌回📻🎶 辛苦了！伴你回家！来听一曲再走😈✨ Ruki Otokado 音門るき [VEE],前尘往事如昔故,前尘往事如昔故,3546597260528367,7,8,false,EEgTnNaXqOKTOoa9x2Schtn6dWo,タイムマシン,音源/术力口词:初音ミク | 已知术力口曲名:タイムマシン,direct
magnet,minato(流星P)feat. 初音ミク,音門るき,otomoneruki.js,【👿歌切】[2026-05-26]代替电台的傍晚歌回📻🎶陪你回家！听一首再走吧😈💝 Ruki Otokado 音門るき [VEE],https://www.bilibili.com/video/BV1wDVT6bE1H?p=11,BV1wDVT6bE1H,116641866192958,38635244874,11,1779814113,2026-05-27 00:48:33,1779814113,2026-05-27 00:48:33,235,3543,15,187,https://i0.hdslb.com/bfs/archive/9f0d597e14aaaff03228c949954d00d921e9d8a0.png@160w_90h_1c.webp,【👿歌切】[2026-05-26]代替电台的傍晚歌回📻🎶陪你回家！听一首再走吧😈💝 Ruki Otokado 音門るき [VEE],前尘往事如昔故,前尘往事如昔故,3546597260528367,9,19,false,Bc580Rtu54dCCdWT_YXbxn802Ic,magnet,音源/术力口词:初音ミク | 已知术力口曲名:magnet,direct
ハロ/ハワユ,ナノウ(ほえほえP) feat. 初音ミク,音門るき,otomoneruki.js,【👿歌切】[2026-05-26]代替电台的傍晚歌回📻🎶陪你回家！听一首再走吧😈💝 Ruki Otokado 音門るき [VEE],https://www.bilibili.com/video/BV1wDVT6bE1H?p=14,BV1wDVT6bE1H,116641866192958,38635308414,14,1779814113,2026-05-27 00:48:33,1779814113,2026-05-27 00:48:33,279,3543,15,187,https://i0.hdslb.com/bfs/archive/9f0d597e14aaaff03228c949954d00d921e9d8a0.png@160w_90h_1c.webp,【👿歌切】[2026-05-26]代替电台的傍晚歌回📻🎶陪你回家！听一首再走吧😈💝 Ruki Otokado 音門るき [VEE],前尘往事如昔故,前尘往事如昔故,3546597260528367,14,32,false,YLxLSjxayRDHwFWArIHLiC3CPkA,ハロ/ハワユ,音源/术力口词:初音ミク | 已知术力口曲名:ハロ／ハワユ,direct
clock lock works,ハチ feat. 初音ミク,音門るき,otomoneruki.js,【👿歌切】[2026-05-14]替代广播的夜间歌回📻🎶请听一曲再走吧👿🫶 Ruki Otokado 音門るき [VEE],https://www.bilibili.com/video/BV1hE5z6eEJF?p=13,BV1hE5z6eEJF,116579505347925,38362154033,13,1778862594,2026-05-16 00:29:54,1778862594,2026-05-16 00:29:54,251,4371,19,146,https://i1.hdslb.com/bfs/archive/cffe99fcd9fc292555588ad10ca788fa69052889.png@160w_90h_1c.webp,【👿歌切】[2026-05-14]替代广播的夜间歌回📻🎶请听一曲再走吧👿🫶 Ruki Otokado 音門るき [VEE],前尘往事如昔故,前尘往事如昔故,3546597260528367,4,7,false,phcBEBrlAgOw-hEidpcsNWm7QO0,clocklockworks,音源/术力口词:初音ミク,direct
Fire◎Flower,Halyosy,音門るき,otomoneruki.js,【👿歌切】[2026-05-14]替代广播的夜间歌回📻🎶请听一曲再走吧👿🫶 Ruki Otokado 音門るき [VEE],https://www.bilibili.com/video/BV1hE5z6eEJF?p=19,BV1hE5z6eEJF,116579505347925,38362156849,19,1778862594,2026-05-16 00:29:54,1778862594,2026-05-16 00:29:54,260,4371,19,146,https://i1.hdslb.com/bfs/archive/cffe99fcd9fc292555588ad10ca788fa69052889.png@160w_90h_1c.webp,【👿歌切】[2026-05-14]替代广播的夜间歌回📻🎶请听一曲再走吧👿🫶 Ruki Otokado 音門るき [VEE],前尘往事如昔故,前尘往事如昔故,3546597260528367,3,6,false,gLjCp3a5_Ne8TgQwVae_qn1A7Wg,fire◎flower,P主/术力口作者:halyosy | 已知术力口曲名:Fire◎Flower,direct
アスノヨゾラ哨戒班,Orangestar,音門るき,otomoneruki.js,【👿歌切】[2026-05-14]替代广播的夜间歌回📻🎶请听一曲再走吧👿🫶 Ruki Otokado 音門るき [VEE],https://www.bilibili.com/video/BV1hE5z6eEJF?p=12,BV1hE5z6eEJF,116579505347925,38362153607,12,1778862594,2026-05-16 00:29:54,1778862594,2026-05-16 00:29:54,178,4371,19,146,https://i1.hdslb.com/bfs/archive/cffe99fcd9fc292555588ad10ca788fa69052889.png@160w_90h_1c.webp,【👿歌切】[2026-05-14]替代广播的夜间歌回📻🎶请听一曲再走吧👿🫶 Ruki Otokado 音門るき [VEE],前尘往事如昔故,前尘往事如昔故,3546597260528367,17,33,false,vv6oqEw7U7iQvCSzReYZha8hpu0,アスノヨゾラ哨戒班,P主/术力口作者:Orangestar | 已知术力口曲名:アスノヨゾラ哨戒班,direct
Calc.,ジミーサムP feat. 初音ミク,音門るき,otomoneruki.js,【👿歌切】[2026-05-06]傍晚的歌回替代电台 📻🎶 黄金周假期进入最后冲刺 😈✨ Ruki Otokado 音門るき [VEE],https://www.bilibili.com/video/BV19YR8BCEZ8?p=11,BV19YR8BCEZ8,116529391736150,38145360533,11,1778097967,2026-05-07 04:06:07,1778097967,2026-05-07 04:06:07,244,2946,12,156,https://i2.hdslb.com/bfs/archive/9580f692ebc70ebcfc67496891d1c5b2504b41c8.png@160w_90h_1c.webp,【👿歌切】[2026-05-06]傍晚的歌回替代电台 📻🎶 黄金周假期进入最后冲刺 😈✨ Ruki Otokado 音門るき [VEE],前尘往事如昔故,前尘往事如昔故,3546597260528367,17,38,false,hK0rFG2Uf6yjsNbdYUqJ7_NFBKs,calc,音源/术力口词:初音ミク | P主/术力口作者:ジミーサムP | 已知术力口曲名:Calc.,direct
愛迷エレジー,DECO*27 feat. marina,音門るき,otomoneruki.js,【👿歌切】[2026-05-06]傍晚的歌回替代电台 📻🎶 黄金周假期进入最后冲刺 😈✨ Ruki Otokado 音門るき [VEE],https://www.bilibili.com/video/BV19YR8BCEZ8?p=6,BV19YR8BCEZ8,116529391736150,38145296223,6,1778097967,2026-05-07 04:06:07,1778097967,2026-05-07 04:06:07,178,2946,12,156,https://i2.hdslb.com/bfs/archive/9580f692ebc70ebcfc67496891d1c5b2504b41c8.png@160w_90h_1c.webp,【👿歌切】[2026-05-06]傍晚的歌回替代电台 📻🎶 黄金周假期进入最后冲刺 😈✨ Ruki Otokado 音門るき [VEE],前尘往事如昔故,前尘往事如昔故,3546597260528367,3,3,false,qtUj8iKRJ7TCp1IGhTSJ_PDIecc,愛迷エレジ,P主/术力口作者:DECO*27,direct
ニア,初音ミク feat. 夏代孝明,音門るき,otomoneruki.js,【👿歌切】[2026-05-02]替代电台的深夜歌回📻🎶 已经开始了哟 😈💝 Ruki Otokado 音門るき [VEE],https://www.bilibili.com/video/BV15eREB5ETs?p=2,BV15eREB5ETs,116504460792125,38036966145,2,1777717342,2026-05-02 18:22:22,1777717342,2026-05-02 18:22:22,239,3379,13,188,https://i1.hdslb.com/bfs/archive/a380cc6d7b75e58c33366ba8701b781c195a4492.png@160w_90h_1c.webp,【👿歌切】[2026-05-02]替代电台的深夜歌回📻🎶 已经开始了哟 😈💝 Ruki Otokado 音門るき [VEE],前尘往事如昔故,前尘往事如昔故,3546597260528367,5,9,false,iH8MJQLREvcp2_YWwNPHDCTIpNI,ニア,音源/术力口词:初音ミク,direct
メルト,ryo(supercell),音門るき,otomoneruki.js,【👿歌切】[2026-05-02]替代电台的深夜歌回📻🎶 已经开始了哟 😈💝 Ruki Otokado 音門るき [VEE],https://www.bilibili.com/video/BV15eREB5ETs?p=12,BV15eREB5ETs,116504460792125,38037160744,12,1777717342,2026-05-02 18:22:22,1777717342,2026-05-02 18:22:22,264,3379,13,188,https://i1.hdslb.com/bfs/archive/a380cc6d7b75e58c33366ba8701b781c195a4492.png@160w_90h_1c.webp,【👿歌切】[2026-05-02]替代电台的深夜歌回📻🎶 已经开始了哟 😈💝 Ruki Otokado 音門るき [VEE],前尘往事如昔故,前尘往事如昔故,3546597260528367,24,66,false,oAWMbgJzTnwvkONi-LUQn8iURvU,メルト,已知术力口曲名:メルト,direct
