title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
Beyond the way,Giga feat. 初音ミク・鏡音リン・鏡音レン,來-Ray-,ray.js,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,https://www.bilibili.com/video/BV137Ea6dEWj?p=39,BV137Ea6dEWj,116711072210537,38943523617,39,1780870798,2026-06-08 06:19:58,1780870798,2026-06-08 06:19:58,179,9070,39,341,https://i0.hdslb.com/bfs/archive/93cceb4eea11c497db6edd9bdac5d480d5a84387.png@160w_90h_1c.webp,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,前尘往事如昔故,前尘往事如昔故,3546597260528367,7,12,false,FkiTnhnFTOdocTkNfgP2P_ho_cw,beyondtheway,音源/术力口词:初音ミク | 音源/术力口词:鏡音リン/レン | P主/术力口作者:Giga,direct
brilliant,niki feat. Lily,來-Ray-,ray.js,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,https://www.bilibili.com/video/BV137Ea6dEWj?p=18,BV137Ea6dEWj,116711072210537,38943459432,18,1780870798,2026-06-08 06:19:58,1780870798,2026-06-08 06:19:58,216,9070,39,341,https://i0.hdslb.com/bfs/archive/93cceb4eea11c497db6edd9bdac5d480d5a84387.png@160w_90h_1c.webp,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,3,false,o2SIqVkQsCFZ7wGpRjCEYVTlSMM,brilliant,音源/术力口词:其他音源 | P主/术力口作者:niki,direct
Bye-Bye Lover,samfree feat. 巡音ルカ,來-Ray-,ray.js,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,https://www.bilibili.com/video/BV137Ea6dEWj?p=28,BV137Ea6dEWj,116711072210537,38943460594,28,1780870798,2026-06-08 06:19:58,1780870798,2026-06-08 06:19:58,188,9070,39,341,https://i0.hdslb.com/bfs/archive/93cceb4eea11c497db6edd9bdac5d480d5a84387.png@160w_90h_1c.webp,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,3,false,SB3zoDqJA3I8UMod3dTWQuLhVLQ,byebyelover,音源/术力口词:巡音ルカ | P主/术力口作者:samfree,direct
GENTLE,香椎モイミ feat. 初音ミク・flower,來-Ray-,ray.js,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,https://www.bilibili.com/video/BV137Ea6dEWj?p=27,BV137Ea6dEWj,116711072210537,38943460712,27,1780870798,2026-06-08 06:19:58,1780870798,2026-06-08 06:19:58,217,9070,39,341,https://i0.hdslb.com/bfs/archive/93cceb4eea11c497db6edd9bdac5d480d5a84387.png@160w_90h_1c.webp,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,3,false,n92yBJV8QDFLqQBtk6JLFPk9NFY,gentle,音源/术力口词:初音ミク,direct
KING,Kanaria feat. GUMI,來-Ray-,ray.js,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,https://www.bilibili.com/video/BV137Ea6dEWj?p=8,BV137Ea6dEWj,116711072210537,38943392251,8,1780870798,2026-06-08 06:19:58,1780870798,2026-06-08 06:19:58,134,9070,39,341,https://i0.hdslb.com/bfs/archive/93cceb4eea11c497db6edd9bdac5d480d5a84387.png@160w_90h_1c.webp,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,20,false,q3f1m1CMWz7o6YYxswEL-K6eK8w,king,音源/术力口词:GUMI/Megpoid | P主/术力口作者:Kanaria | 已知术力口曲名:KING,direct
L愛KE,梅とら feat. 初音ミク,來-Ray-,ray.js,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,https://www.bilibili.com/video/BV137Ea6dEWj?p=1,BV137Ea6dEWj,116711072210537,38943330144,1,1780870798,2026-06-08 06:19:58,1780870798,2026-06-08 06:19:58,161,9070,39,341,https://i0.hdslb.com/bfs/archive/93cceb4eea11c497db6edd9bdac5d480d5a84387.png@160w_90h_1c.webp,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,5,false,1fsilT9Wg5NnEDcE4UiKQ6C3jPg,l愛ke,音源/术力口词:初音ミク | P主/术力口作者:梅とら,direct
magnet,minato(流星P) feat. 初音ミク・巡音ルカ,來-Ray-,ray.js,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,https://www.bilibili.com/video/BV137Ea6dEWj?p=38,BV137Ea6dEWj,116711072210537,38943523623,38,1780870798,2026-06-08 06:19:58,1780870798,2026-06-08 06:19:58,240,9070,39,341,https://i0.hdslb.com/bfs/archive/93cceb4eea11c497db6edd9bdac5d480d5a84387.png@160w_90h_1c.webp,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,19,false,nKlVW0cZ4Gn9zHj6f09HXbxKv9E,magnet,音源/术力口词:初音ミク | 音源/术力口词:巡音ルカ | 已知术力口曲名:magnet,direct
ODDS&ENDS,ryo(supercell) feat. 初音ミク,來-Ray-,ray.js,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,https://www.bilibili.com/video/BV137Ea6dEWj?p=25,BV137Ea6dEWj,116711072210537,38943460327,25,1780870798,2026-06-08 06:19:58,1780870798,2026-06-08 06:19:58,330,9070,39,341,https://i0.hdslb.com/bfs/archive/93cceb4eea11c497db6edd9bdac5d480d5a84387.png@160w_90h_1c.webp,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,13,false,0WDA2WBI1xGT5iOHXEjzK4q5HQs,odds&ends,音源/术力口词:初音ミク | 已知术力口曲名:ODDS&ENDS,direct
アンノウン・マザーグース,wowaka feat. 初音ミク,來-Ray-,ray.js,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,https://www.bilibili.com/video/BV137Ea6dEWj?p=12,BV137Ea6dEWj,116711072210537,38943392627,12,1780870798,2026-06-08 06:19:58,1780870798,2026-06-08 06:19:58,273,9070,39,341,https://i0.hdslb.com/bfs/archive/93cceb4eea11c497db6edd9bdac5d480d5a84387.png@160w_90h_1c.webp,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,前尘往事如昔故,前尘往事如昔故,3546597260528367,6,11,false,b1O-QvypPGl2-ZTlNsZvfDfukKk,アンノウンマザグス,音源/术力口词:初音ミク | 已知术力口曲名:アンノウン・マザーグース,direct
シネマ,Ayase feat. 初音ミク,來-Ray-,ray.js,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,https://www.bilibili.com/video/BV137Ea6dEWj?p=6,BV137Ea6dEWj,116711072210537,38943391867,6,1780870798,2026-06-08 06:19:58,1780870798,2026-06-08 06:19:58,207,9070,39,341,https://i0.hdslb.com/bfs/archive/93cceb4eea11c497db6edd9bdac5d480d5a84387.png@160w_90h_1c.webp,【歌切】[2026-06-07]繁忙期结束了，来唱歌吧 來-Ray-,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,12,false,JbkmlHYJyUmBHes_qAENOl8P3UQ,シネマ,音源/术力口词:初音ミク | P主/术力口作者:Ayase | 已知术力口曲名:シネマ,direct
