title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
ハロ／ハワユ,ナノウ feat.初音ミク,接力,relay.js,接力歌切 明智光月 2026-06-13 悠闲时光，为你送上！💫🍡,https://www.bilibili.com/video/BV1snJp6dEeN?p=2,BV1snJp6dEeN,116743301236308,39094520164,2,1781362136,2026-06-13 22:48:56,1781362137,2026-06-13 22:48:57,278,1087,4,207,https://i0.hdslb.com/bfs/archive/b254287dc6931de73d61b9f1c16b95c8f6f95ccb.png@160w_90h_1c.webp,接力歌切 明智光月 2026-06-13 悠闲时光，为你送上！💫🍡,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,32,false,7TH4UUiD_Hjn0feRWFZ_CS-gXOY,ハロ/ハワユ,音源/术力口词:初音ミク | 已知术力口曲名:ハロ／ハワユ,direct
歩き出すのだ、傘がなくとも。,傘村トータ feat.Fukase,接力,relay.js,接力歌切 花鹿 める / Kajica Mel 2026-06-13 迷失在沉睡森林中的你🌳💤,https://www.bilibili.com/video/BV1vrJp6GEtu?p=2,BV1vrJp6GEtu,116743083199380,39093143542,2,1781359140,2026-06-13 21:59:00,1781359140,2026-06-13 21:59:00,298,1206,4,216,https://i1.hdslb.com/bfs/archive/48bbb6209b24926683759ffe644688f14b5d8dfe.png@160w_90h_1c.webp,接力歌切 花鹿 める / Kajica Mel 2026-06-13 迷失在沉睡森林中的你🌳💤,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,W_V5LqTqjQ2tx4jM_PZ4oi6b2Ds,歩き出すのだ、傘がなくとも,音源/术力口词:其他音源 | P主/术力口作者:傘村トータ,direct
蜜月アン・ドゥ・トロワ,DATEKEN feat.鏡音リン,接力,relay.js,接力歌切 花鹿 める / Kajica Mel 2026-06-13 迷失在沉睡森林中的你🌳💤,https://www.bilibili.com/video/BV1vrJp6GEtu?p=4,BV1vrJp6GEtu,116743083199380,39093145058,4,1781359140,2026-06-13 21:59:00,1781359140,2026-06-13 21:59:00,236,1206,4,216,https://i1.hdslb.com/bfs/archive/48bbb6209b24926683759ffe644688f14b5d8dfe.png@160w_90h_1c.webp,接力歌切 花鹿 める / Kajica Mel 2026-06-13 迷失在沉睡森林中的你🌳💤,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,21,false,Ajc3IsgLA5ECnrkQMb9hckrGf-A,蜜月アンドゥトロワ,音源/术力口词:鏡音リン/レン | P主/术力口作者:DATEKEN,direct
ターミナル,ぬゆり,接力,relay.js,接力歌切 NEUN 2026-04-05 MjrsB47SfBU RKMusic歌回接力,https://www.bilibili.com/video/BV1msSRBtER4?p=5,BV1msSRBtER4,116354036272183,37272617721,5,1775421988,2026-04-06 04:46:28,1775421988,2026-04-06 04:46:28,259,1277,6,247,https://i0.hdslb.com/bfs/archive/3862d9ea6348658127790b3c4147874b41e9ec8d.png@160w_90h_1c.webp,接力歌切 NEUN 2026-04-05 MjrsB47SfBU RKMusic歌回接力,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,_OtFcfxJafkGK5Tfqocv4n0de1Y,タミナル,P主/术力口作者:ぬゆり,direct
それがあなたの幸せとしても,Heavenz feat. 巡音ルカ,接力,relay.js,接力歌切 羽緒（はお）Hao 2026-04-05 gKY9jSiYLVc RKMusic歌回接力,https://www.bilibili.com/video/BV1DdSDBDEEF?p=4,BV1DdSDBDEEF,116351754640891,37261280612,4,1775388021,2026-04-05 19:20:21,1775388021,2026-04-05 19:20:21,266,1483,6,245,https://i2.hdslb.com/bfs/archive/4c0ce64ab2b2f8733fd7f93060aed3434af99c36.png@160w_90h_1c.webp,接力歌切 羽緒（はお）Hao 2026-04-05 gKY9jSiYLVc RKMusic歌回接力,前尘往事如昔故,前尘往事如昔故,3546597260528367,8,27,false,YNzc1_Zv9kPpaRE5xs8Nbaq5aEE,それがあなたの幸せとしても,音源/术力口词:巡音ルカ | P主/术力口作者:Heavenz,direct
ラヴィ,すりぃ,接力,relay.js,接力歌切 妃玖 - kisaki 2026-04-05 69kPA648m68 RKMusic歌回接力,https://www.bilibili.com/video/BV1tcSQB7ERx?p=3,BV1tcSQB7ERx,116351771351172,37261346053,3,1775387976,2026-04-05 19:19:36,1775387977,2026-04-05 19:19:37,184,1375,6,220,https://i2.hdslb.com/bfs/archive/b0b8a948042871915f464c98078fe06dc0e49135.png@160w_90h_1c.webp,接力歌切 妃玖 - kisaki 2026-04-05 69kPA648m68 RKMusic歌回接力,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,19,false,PgvrIpPrXqrQvWLQIPaOzFTgCy8,ラヴィ,P主/术力口作者:すりぃ | 已知术力口曲名:ラヴィ,direct
ロキ,みきとP,接力,relay.js,接力歌切 妃玖 - kisaki 2026-04-05 69kPA648m68 RKMusic歌回接力,https://www.bilibili.com/video/BV1tcSQB7ERx?p=5,BV1tcSQB7ERx,116351771351172,37261346328,5,1775387976,2026-04-05 19:19:36,1775387977,2026-04-05 19:19:37,228,1375,6,220,https://i2.hdslb.com/bfs/archive/b0b8a948042871915f464c98078fe06dc0e49135.png@160w_90h_1c.webp,接力歌切 妃玖 - kisaki 2026-04-05 69kPA648m68 RKMusic歌回接力,前尘往事如昔故,前尘往事如昔故,3546597260528367,11,19,false,Y1f9QM-nI6hUtoFUspyKxBYkm6s,ロキ,P主/术力口作者:みきとP | 已知术力口曲名:ロキ,direct
ロミオとシンデレラ,doriko,接力,relay.js,接力歌切 妃玖 - kisaki 2026-04-05 69kPA648m68 RKMusic歌回接力,https://www.bilibili.com/video/BV1tcSQB7ERx?p=4,BV1tcSQB7ERx,116351771351172,37261345671,4,1775387976,2026-04-05 19:19:36,1775387977,2026-04-05 19:19:37,276,1375,6,220,https://i2.hdslb.com/bfs/archive/b0b8a948042871915f464c98078fe06dc0e49135.png@160w_90h_1c.webp,接力歌切 妃玖 - kisaki 2026-04-05 69kPA648m68 RKMusic歌回接力,前尘往事如昔故,前尘往事如昔故,3546597260528367,21,41,false,jyF15BTBCcWhsWQ0of2F-OWlzqU,ロミオとシンデレラ,P主/术力口作者:doriko | 已知术力口曲名:ロミオとシンデレラ,direct
アンノウンマザーグース,wowaka,接力,relay.js,接力歌切 Diα - ディアディア 2026-04-05 oBAmEXovsv0 RKMusic歌回接力,https://www.bilibili.com/video/BV1gVSUBkENo?p=5,BV1gVSUBkENo,116351721084162,37261018312,5,1775387400,2026-04-05 19:10:00,1775387400,2026-04-05 19:10:00,280,1349,6,282,https://i2.hdslb.com/bfs/archive/3370197e5ca5eb8d18b2c73a05163a4bdae8e291.png@160w_90h_1c.webp,接力歌切 Diα - ディアディア 2026-04-05 oBAmEXovsv0 RKMusic歌回接力,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,hlSHiB7cA018OG-SIKGbiLLdXiU,アンノウンマザグス,已知术力口曲名:アンノウン・マザーグース,direct
ヴァンパイア,DECO*27,接力,relay.js,接力歌切 Diα - ディアディア 2026-04-05 oBAmEXovsv0 RKMusic歌回接力,https://www.bilibili.com/video/BV1gVSUBkENo?p=2,BV1gVSUBkENo,116351721084162,37260953604,2,1775387400,2026-04-05 19:10:00,1775387400,2026-04-05 19:10:00,178,1349,6,282,https://i2.hdslb.com/bfs/archive/3370197e5ca5eb8d18b2c73a05163a4bdae8e291.png@160w_90h_1c.webp,接力歌切 Diα - ディアディア 2026-04-05 oBAmEXovsv0 RKMusic歌回接力,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,12,false,phJk--hU0BEje3w1ba56jUtrU8Y,ヴァンパイア,P主/术力口作者:DECO*27 | 已知术力口曲名:ヴァンパイア,direct
