title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
愛言葉,DECO*27 feat. 初音ミク,凛々咲,ririsya.js,【🐍歌切】[2026-06-12]无法入眠之夜的吉他弹唱 ✧ 凛々咲 / Ririsya,https://www.bilibili.com/video/BV1CqJ76zEhm?p=11,BV1CqJ76zEhm,116739627029545,39075316109,11,1781305946,2026-06-13 07:12:26,1781305946,2026-06-13 07:12:26,105,2272,13,130,https://i0.hdslb.com/bfs/archive/b2cc39c4e36aeef6794eaf1c9aceaa1b3b10e45f.png@160w_90h_1c.webp,【🐍歌切】[2026-06-12]无法入眠之夜的吉他弹唱 ✧ 凛々咲 / Ririsya,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,3,false,dWhn4eePiJpKF57cen13AZgVl-U,愛言葉,音源/术力口词:初音ミク | P主/术力口作者:DECO*27 | 已知术力口曲名:愛言葉,direct
少女レイ,みきとP feat. 初音ミク,凛々咲,ririsya.js,【🐍歌切】[2026-06-12]无法入眠之夜的吉他弹唱 ✧ 凛々咲 / Ririsya,https://www.bilibili.com/video/BV1CqJ76zEhm?p=4,BV1CqJ76zEhm,116739627029545,39075253462,4,1781305946,2026-06-13 07:12:26,1781305946,2026-06-13 07:12:26,216,2272,13,130,https://i0.hdslb.com/bfs/archive/b2cc39c4e36aeef6794eaf1c9aceaa1b3b10e45f.png@160w_90h_1c.webp,【🐍歌切】[2026-06-12]无法入眠之夜的吉他弹唱 ✧ 凛々咲 / Ririsya,前尘往事如昔故,前尘往事如昔故,3546597260528367,23,109,false,Ryhg7rByUe0TDrAjn_nmL2KQt5U,少女レイ,音源/术力口词:初音ミク | P主/术力口作者:みきとP | 已知术力口曲名:少女レイ,direct
いかないで,想太 feat.歌愛ユキ,凛々咲,ririsya.js,【🐍歌切】[2026-06-08]钢琴与雨声中的歌回 ✧ 凛々咲 / Ririsya,https://www.bilibili.com/video/BV1A9Eg6QEYr?p=8,BV1A9Eg6QEYr,116715534945023,38966920562,8,1780938495,2026-06-09 01:08:15,1780938495,2026-06-09 01:08:15,222,6659,27,513,https://i0.hdslb.com/bfs/archive/7ccb2ab88891b42fa2a009a140da26bddd5e989e.png@160w_90h_1c.webp,【🐍歌切】[2026-06-08]钢琴与雨声中的歌回 ✧ 凛々咲 / Ririsya,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,22,false,pFGBdsSiTpM0mSLTiE7e9LqVJ0A,いかないで,音源/术力口词:其他音源,direct
小夜子,みきとP feat.初音ミク,凛々咲,ririsya.js,【🐍歌切】[2026-06-08]钢琴与雨声中的歌回 ✧ 凛々咲 / Ririsya,https://www.bilibili.com/video/BV1A9Eg6QEYr?p=6,BV1A9Eg6QEYr,116715534945023,38966919673,6,1780938495,2026-06-09 01:08:15,1780938495,2026-06-09 01:08:15,245,6659,27,513,https://i0.hdslb.com/bfs/archive/7ccb2ab88891b42fa2a009a140da26bddd5e989e.png@160w_90h_1c.webp,【🐍歌切】[2026-06-08]钢琴与雨声中的歌回 ✧ 凛々咲 / Ririsya,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,34,false,N3I95dE6GFdPbR8xiUut6xLV7u4,小夜子,音源/术力口词:初音ミク | P主/术力口作者:みきとP | 已知术力口曲名:小夜子,direct
少女レイ,みきとP feat.初音ミク,凛々咲,ririsya.js,【🐍歌切】[2026-06-08]钢琴与雨声中的歌回 ✧ 凛々咲 / Ririsya,https://www.bilibili.com/video/BV1A9Eg6QEYr?p=7,BV1A9Eg6QEYr,116715534945023,38966919910,7,1780938495,2026-06-09 01:08:15,1780938495,2026-06-09 01:08:15,282,6659,27,513,https://i0.hdslb.com/bfs/archive/7ccb2ab88891b42fa2a009a140da26bddd5e989e.png@160w_90h_1c.webp,【🐍歌切】[2026-06-08]钢琴与雨声中的歌回 ✧ 凛々咲 / Ririsya,前尘往事如昔故,前尘往事如昔故,3546597260528367,23,109,false,b25IIeHwbKP1fn--Sd0-cqwbgV0,少女レイ,音源/术力口词:初音ミク | P主/术力口作者:みきとP | 已知术力口曲名:少女レイ,direct
夜明けと蛍,n-buna feat.初音ミク,凛々咲,ririsya.js,【🐍歌切】[2026-06-08]钢琴与雨声中的歌回 ✧ 凛々咲 / Ririsya,https://www.bilibili.com/video/BV1A9Eg6QEYr?p=9,BV1A9Eg6QEYr,116715534945023,38966921178,9,1780938495,2026-06-09 01:08:15,1780938495,2026-06-09 01:08:15,310,6659,27,513,https://i0.hdslb.com/bfs/archive/7ccb2ab88891b42fa2a009a140da26bddd5e989e.png@160w_90h_1c.webp,【🐍歌切】[2026-06-08]钢琴与雨声中的歌回 ✧ 凛々咲 / Ririsya,前尘往事如昔故,前尘往事如昔故,3546597260528367,22,123,false,LnYjBfGP3nv9F4OniyAgoiMzr8Q,夜明けと蛍,音源/术力口词:初音ミク | P主/术力口作者:n-buna | 已知术力口曲名:夜明けと蛍,direct
サマータイムレコード,じん feat.IA,凛々咲,ririsya.js,【🐍歌切】[2026-06-06]#唱功超强V歌回接力 这次要给大家送上充满反差感的歌哦～ ✧ Singing Relay【V✧ 凛々咲 / Ririsya,https://www.bilibili.com/video/BV1YLEp6KExk?p=3,BV1YLEp6KExk,116704059330088,38916195452,3,1780762960,2026-06-07 00:22:40,1780762960,2026-06-07 00:22:40,268,1272,5,148,https://i1.hdslb.com/bfs/archive/49f03f35c58e6d0804332933e5b4d871cfcf5340.png@160w_90h_1c.webp,【🐍歌切】[2026-06-06]#唱功超强V歌回接力 这次要给大家送上充满反差感的歌哦～ ✧ Singing Relay【V✧ 凛々咲 / Ririsya,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,41,false,--yfQaDu3cvnmg24VSW0-0vfres,サマタイムレコド,音源/术力口词:IA | P主/术力口作者:じん | 已知术力口曲名:サマータイムレコード,direct
Calc.,ジミーサムP,凛々咲,ririsya.js,【🐍歌切】[2026-06-01]术力口歌回 ✧ 唱点令人怀念的术力口曲哦 凛々咲 / Ririsya,https://www.bilibili.com/video/BV1dLVZ6sEj5?p=21,BV1dLVZ6sEj5,116674581828717,38773657501,21,1780314346,2026-06-01 19:45:46,1780314346,2026-06-01 19:45:46,231,5451,23,425,https://i2.hdslb.com/bfs/archive/35ddcbfb935a732dc64630e057fb74f9d45fb815.png@160w_90h_1c.webp,【🐍歌切】[2026-06-01]术力口歌回 ✧ 唱点令人怀念的术力口曲哦 凛々咲 / Ririsya,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,38,false,Go_G5FV_1NbBxegFqDL92r39owc,calc,P主/术力口作者:ジミーサムP | 已知术力口曲名:Calc.,direct
Just be friends,Dixie Flatline,凛々咲,ririsya.js,【🐍歌切】[2026-06-01]术力口歌回 ✧ 唱点令人怀念的术力口曲哦 凛々咲 / Ririsya,https://www.bilibili.com/video/BV1dLVZ6sEj5?p=4,BV1dLVZ6sEj5,116674581828717,38773064108,4,1780314346,2026-06-01 19:45:46,1780314346,2026-06-01 19:45:46,298,5451,23,425,https://i2.hdslb.com/bfs/archive/35ddcbfb935a732dc64630e057fb74f9d45fb815.png@160w_90h_1c.webp,【🐍歌切】[2026-06-01]术力口歌回 ✧ 唱点令人怀念的术力口曲哦 凛々咲 / Ririsya,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,17,false,zXLUwA_vIunx_3nJRlQhdJ4codw,justbefriends,P主/术力口作者:Dixie Flatline | 已知术力口曲名:Just Be Friends,direct
magnet,みなと(流星P),凛々咲,ririsya.js,【🐍歌切】[2026-06-01]术力口歌回 ✧ 唱点令人怀念的术力口曲哦 凛々咲 / Ririsya,https://www.bilibili.com/video/BV1dLVZ6sEj5?p=14,BV1dLVZ6sEj5,116674581828717,38773457987,14,1780314346,2026-06-01 19:45:46,1780314346,2026-06-01 19:45:46,236,5451,23,425,https://i2.hdslb.com/bfs/archive/35ddcbfb935a732dc64630e057fb74f9d45fb815.png@160w_90h_1c.webp,【🐍歌切】[2026-06-01]术力口歌回 ✧ 唱点令人怀念的术力口曲哦 凛々咲 / Ririsya,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,19,false,4t56ib_nonGwrr8_0rERNjtWr6A,magnet,已知术力口曲名:magnet,direct
