title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
回る空うさぎ,Orangestar,ロマニードットアイオー,romany.js,【歌切】[2026-05-17]5月17日星期日惯例──✦歌与吉他与你🌙𓂃𝄞 ロマニードットアイオー / ROMANY. io,https://www.bilibili.com/video/BV12B5o6CEqa?p=2,BV12B5o6CEqa,116591551316224,38411371903,2,1779046171,2026-05-18 03:29:31,1779046171,2026-05-18 03:29:31,226,3104,11,292,https://i1.hdslb.com/bfs/archive/f93ee530a4a96ec4a412269a018b6c71aacd2876.png@160w_90h_1c.webp,【歌切】[2026-05-17]5月17日星期日惯例──✦歌与吉他与你🌙𓂃𝄞 ロマニードットアイオー / ROMANY. io,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,56,false,KEMCbo0UgOgZXzMo8eC7PEOPD5Y,回る空うさぎ,P主/术力口作者:Orangestar,direct
天ノ弱,164,ロマニードットアイオー,romany.js,【歌切】[2026-05-17]5月17日星期日惯例──✦歌与吉他与你🌙𓂃𝄞 ロマニードットアイオー / ROMANY. io,https://www.bilibili.com/video/BV12B5o6CEqa?p=5,BV12B5o6CEqa,116591551316224,38411374514,5,1779046171,2026-05-18 03:29:31,1779046171,2026-05-18 03:29:31,274,3104,11,292,https://i1.hdslb.com/bfs/archive/f93ee530a4a96ec4a412269a018b6c71aacd2876.png@160w_90h_1c.webp,【歌切】[2026-05-17]5月17日星期日惯例──✦歌与吉他与你🌙𓂃𝄞 ロマニードットアイオー / ROMANY. io,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,24,false,2WI2FJ_YTLOKuItJyt4oTCYcefQ,天ノ弱,P主/术力口作者:164 | 已知术力口曲名:天ノ弱,direct
アンノウン・マザーグース,wowaka,ロマニードットアイオー,romany.js,【ロマニ歌切】[2026-05-14]梦之歌声⚡──✦ 动漫歌曲歌回 ロマニードットアイオー / ROMANY. io,https://www.bilibili.com/video/BV1gH5z6aE7u?p=18,BV1gH5z6aE7u,116579538833896,38362288106,18,1778863177,2026-05-16 00:39:37,1778863177,2026-05-16 00:39:37,275,4870,19,381,https://i1.hdslb.com/bfs/archive/e9cfe9005e6f4e09344d83936b340c661951a0ad.png@160w_90h_1c.webp,【ロマニ歌切】[2026-05-14]梦之歌声⚡──✦ 动漫歌曲歌回 ロマニードットアイオー / ROMANY. io,前尘往事如昔故,前尘往事如昔故,3546597260528367,6,11,false,s7rK6JiSj5hk5JBCNI-mA5rqPgE,アンノウンマザグス,已知术力口曲名:アンノウン・マザーグース,direct
メルト,CPK! Remix ‑ /ryo,ロマニードットアイオー,romany.js,【ロマニ歌切】[2026-05-14]梦之歌声⚡──✦ 动漫歌曲歌回 ロマニードットアイオー / ROMANY. io,https://www.bilibili.com/video/BV1gH5z6aE7u?p=8,BV1gH5z6aE7u,116579538833896,38362222574,8,1778863177,2026-05-16 00:39:37,1778863177,2026-05-16 00:39:37,266,4870,19,381,https://i1.hdslb.com/bfs/archive/e9cfe9005e6f4e09344d83936b340c661951a0ad.png@160w_90h_1c.webp,【ロマニ歌切】[2026-05-14]梦之歌声⚡──✦ 动漫歌曲歌回 ロマニードットアイオー / ROMANY. io,前尘往事如昔故,前尘往事如昔故,3546597260528367,24,66,false,FAgtTSkoyYI0ZqAg3FgoOGKjVZY,メルト,已知术力口曲名:メルト,direct
回る空うさぎ,Orangestar,ロマニードットアイオー,romany.js,【ロマニ🎸弾き語り歌切】[2026-05-10]5月10日星期日例行歌回──回顾聊天与歌曲🌙 ロマニードットアイオー / ROMANY. io,https://www.bilibili.com/video/BV1T95H62Eqv?p=4,BV1T95H62Eqv,116551688651125,38245370224,4,1778438058,2026-05-11 02:34:18,1778438058,2026-05-11 02:34:18,224,1710,6,269,https://i2.hdslb.com/bfs/archive/5f03347811c048596db22befd84a4f2deb5ff4d9.png@160w_90h_1c.webp,【ロマニ🎸弾き語り歌切】[2026-05-10]5月10日星期日例行歌回──回顾聊天与歌曲🌙 ロマニードットアイオー / ROMANY. io,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,56,false,rittn0hN7OnW38LLLO9-iENkbiI,回る空うさぎ,P主/术力口作者:Orangestar,direct
ロミオとシンデレラ,doriko,ロマニードットアイオー,romany.js,【ロマニ歌切】[2026-05-07]ライブ前のライブ⚡──✦ みじかめSINGING STREAM ロマニードットアイオー / ROMANY. io,https://www.bilibili.com/video/BV1S2dKB6E9S?p=6,BV1S2dKB6E9S,116536404613307,38174197991,6,1778204897,2026-05-08 09:48:17,1778204897,2026-05-08 09:48:17,277,2690,11,364,https://i1.hdslb.com/bfs/archive/a25e6feb038ba28137b589bc727ac02a817498cb.png@160w_90h_1c.webp,【ロマニ歌切】[2026-05-07]ライブ前のライブ⚡──✦ みじかめSINGING STREAM ロマニードットアイオー / ROMANY. io,前尘往事如昔故,前尘往事如昔故,3546597260528367,21,41,false,ATBnXtN0xviACxAYGb6qca6vLIQ,ロミオとシンデレラ,P主/术力口作者:doriko | 已知术力口曲名:ロミオとシンデレラ,direct
回る空うさぎ,Orangestar,ロマニードットアイオー,romany.js,【ロマニ🎸弾き語り歌切】[2026-05-03]星期日惯例歌回——夜幕下的五一假期，让我们悠闲一下🌙𓂃𝄞 ロマニードットアイオー / ROMANY.,https://www.bilibili.com/video/BV1dHRqBNE5e?p=7,BV1dHRqBNE5e,116516137797350,38085788174,7,1777895803,2026-05-04 19:56:43,1777895803,2026-05-04 19:56:43,228,3410,12,288,https://i2.hdslb.com/bfs/archive/5e9ce73cce026ee3046253e647a92d1567a130d8.png@160w_90h_1c.webp,【ロマニ🎸弾き語り歌切】[2026-05-03]星期日惯例歌回——夜幕下的五一假期，让我们悠闲一下🌙𓂃𝄞 ロマニードットアイオー / ROMANY.,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,56,false,K5MdPE8dmwUCgDNOVhguHHbKPYM,回る空うさぎ,P主/术力口作者:Orangestar,direct
メルト,CPK! Remix ‑ /ryo,ロマニードットアイオー,romany.js,【ロマニ】[2026-04-30]为你加油的歌⚡──歌回 ロマニードットアイオー / ROMANY. io,https://www.bilibili.com/video/BV13ERMByEu8?p=12,BV13ERMByEu8,116498236448144,38003806173,12,1777622454,2026-05-01 16:00:54,1777622455,2026-05-01 16:00:55,266,5673,22,427,https://i1.hdslb.com/bfs/archive/a28a5779df987b0744d1548634e57d6022d8e309.png@160w_90h_1c.webp,【ロマニ】[2026-04-30]为你加油的歌⚡──歌回 ロマニードットアイオー / ROMANY. io,前尘往事如昔故,前尘往事如昔故,3546597260528367,24,66,false,TfdinDNPlUK2SUIcJBlLoluviRU,メルト,已知术力口曲名:メルト,direct
夜撫でるメノウ,Ayase,ロマニードットアイオー,romany.js,【ロマニ🎸弾き語り歌切】[2026-04-26]星期日惯例歌回──✦用声音传递治愈时光🌙𓂃𝄞 ロマニードットアイオー / ROMANY. io,https://www.bilibili.com/video/BV1VHoiBPEGW?p=1,BV1VHoiBPEGW,116472802248552,37861328872,1,1777234664,2026-04-27 04:17:44,1777234665,2026-04-27 04:17:45,317,4295,15,342,https://i2.hdslb.com/bfs/archive/5e9ce73cce026ee3046253e647a92d1567a130d8.png@160w_90h_1c.webp,【ロマニ🎸弾き語り歌切】[2026-04-26]星期日惯例歌回──✦用声音传递治愈时光🌙𓂃𝄞 ロマニードットアイオー / ROMANY. io,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,33,false,sQED3bKqvnNfUapU5DJZFUgVKi4,夜撫でるメノウ,P主/术力口作者:Ayase | 已知术力口曲名:夜撫でるメノウ,direct
回る空うさぎ,Orangestar,ロマニードットアイオー,romany.js,【ロマニ🎸弾き語り歌切】[2026-04-24]用心唱歌…🌸 ロマニードットアイオー / ROMANY. io,https://www.bilibili.com/video/BV1bqo7BgEok?p=2,BV1bqo7BgEok,116461158800100,37795597714,2,1777057752,2026-04-25 03:09:12,1777057752,2026-04-25 03:09:12,217,1200,5,273,https://i1.hdslb.com/bfs/archive/1f2b115232b1dd32ce70e2cc6aaa4a42613da988.png@160w_90h_1c.webp,【ロマニ🎸弾き語り歌切】[2026-04-24]用心唱歌…🌸 ロマニードットアイオー / ROMANY. io,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,56,false,ku8pQFJaTcIyX7EnFhsTltCxQFQ,回る空うさぎ,P主/术力口作者:Orangestar,direct
