title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
夜明けと蛍,n-buna feat.初音ミク,朱名,shuna.js,【歌切】[2026-06-09]悠闲地唱各种类型的歌🌠 朱名 / SHUNA,https://www.bilibili.com/video/BV1vcEU6rEHf?p=10,BV1vcEU6rEHf,116721960621992,38995691908,10,1781036286,2026-06-10 04:18:06,1781036286,2026-06-10 04:18:06,307,6167,24,237,https://i1.hdslb.com/bfs/archive/4affd66474e2cdb04a949ae7c64f3be34b7b529c.png@160w_90h_1c.webp,【歌切】[2026-06-09]悠闲地唱各种类型的歌🌠 朱名 / SHUNA,前尘往事如昔故,前尘往事如昔故,3546597260528367,22,123,false,pnuXSp2VXgwcd0gdPDmDuqzq6eI,夜明けと蛍,音源/术力口词:初音ミク | P主/术力口作者:n-buna | 已知术力口曲名:夜明けと蛍,direct
夜明けと蛍,n-buna feat.初音ミク,朱名,shuna.js,【歌切】[2026-06-05]怀旧歌曲中沉浸于回忆的夜晚 朱名 / SHUNA,https://www.bilibili.com/video/BV1DvEJ6REk1?p=10,BV1DvEJ6REk1,116703388239481,38909382429,10,1780753327,2026-06-06 21:42:07,1780753327,2026-06-06 21:42:07,307,9381,33,361,https://i0.hdslb.com/bfs/archive/0270f25436b62100d4858b29d853ba283d6d1380.png@160w_90h_1c.webp,【歌切】[2026-06-05]怀旧歌曲中沉浸于回忆的夜晚 朱名 / SHUNA,前尘往事如昔故,前尘往事如昔故,3546597260528367,22,123,false,iWNfUu_ol_3ogUpRDwNbynbS4Ts,夜明けと蛍,音源/术力口词:初音ミク | P主/术力口作者:n-buna | 已知术力口曲名:夜明けと蛍,direct
Just Be Friends,Dixie Flatline feat.巡音ルカ,朱名,shuna.js,【歌切】[2026-06-04]为庆祝一周年，我会每天直播！！ 朱名 / SHUNA,https://www.bilibili.com/video/BV19PEN6SEW4?p=12,BV19PEN6SEW4,116693858785371,38865273002,12,1780607323,2026-06-05 05:08:43,1780607323,2026-06-05 05:08:43,298,6992,25,436,https://i1.hdslb.com/bfs/archive/e56a94f29249d11b7d25620747428257e224a707.png@160w_90h_1c.webp,【歌切】[2026-06-04]为庆祝一周年，我会每天直播！！ 朱名 / SHUNA,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,17,false,fpwFUxSXTGTxN9BqcOoqdHBfUyg,justbefriends,音源/术力口词:巡音ルカ | P主/术力口作者:Dixie Flatline | 已知术力口曲名:Just Be Friends,direct
千本桜,黒うさP feat.初音ミク,朱名,shuna.js,【歌切】[2026-06-04]为庆祝一周年，我会每天直播！！ 朱名 / SHUNA,https://www.bilibili.com/video/BV19PEN6SEW4?p=9,BV19PEN6SEW4,116693858785371,38865210728,9,1780607323,2026-06-05 05:08:43,1780607323,2026-06-05 05:08:43,240,6992,25,436,https://i1.hdslb.com/bfs/archive/e56a94f29249d11b7d25620747428257e224a707.png@160w_90h_1c.webp,【歌切】[2026-06-04]为庆祝一周年，我会每天直播！！ 朱名 / SHUNA,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,31,false,h9PR-JzzMQoazk0fLc1Go0ZtrFQ,千本桜,音源/术力口词:初音ミク | P主/术力口作者:黒うさP | 已知术力口曲名:千本桜,direct
からくりピエロ,40mP feat. 初音ミク,朱名,shuna.js,朱名 歌切 2026-03-29 ~ 2026-03-31,https://www.bilibili.com/video/BV1axXRBBEM7?p=50,BV1axXRBBEM7,116314710481454,37138400974,50,1774822104,2026-03-30 06:08:24,1774822104,2026-03-30 06:08:24,249,19843,71,830,https://i1.hdslb.com/bfs/archive/fa481231fd3ace0f552c50ad7de90ce17af1a1c1.png@160w_90h_1c.webp,朱名 歌切 2026-03-29 ~ 2026-03-31,前尘往事如昔故,前尘往事如昔故,3546597260528367,20,43,false,x50tqffahafEgElxN7Get9-1pX8,からくりピエロ,音源/术力口词:初音ミク | P主/术力口作者:40mP | 已知术力口曲名:からくりピエロ,direct
サディスティック・ラブ,Junky,朱名,shuna.js,朱名 歌切 2026-03-29 ~ 2026-03-31,https://www.bilibili.com/video/BV1axXRBBEM7?p=19,BV1axXRBBEM7,116314710481454,37082500692,19,1774822104,2026-03-30 06:08:24,1774822104,2026-03-30 06:08:24,205,19843,71,830,https://i1.hdslb.com/bfs/archive/fa481231fd3ace0f552c50ad7de90ce17af1a1c1.png@160w_90h_1c.webp,朱名 歌切 2026-03-29 ~ 2026-03-31,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,tAjw621eUjC_vewyuL62conKFwE,サディスティックラブ,P主/术力口作者:Junky,direct
ドレミファロンド,40mP feat.初音ミク,朱名,shuna.js,朱名 歌切 2026-03-29 ~ 2026-03-31,https://www.bilibili.com/video/BV1axXRBBEM7?p=37,BV1axXRBBEM7,116314710481454,37107205799,37,1774822104,2026-03-30 06:08:24,1774822104,2026-03-30 06:08:24,196,19843,71,830,https://i1.hdslb.com/bfs/archive/fa481231fd3ace0f552c50ad7de90ce17af1a1c1.png@160w_90h_1c.webp,朱名 歌切 2026-03-29 ~ 2026-03-31,前尘往事如昔故,前尘往事如昔故,3546597260528367,8,13,false,cCS7hMsAOZipCA9jXHNtraiP4bk,ドレミファロンド,音源/术力口词:初音ミク | P主/术力口作者:40mP,direct
夜明けと蛍,n-buna,朱名,shuna.js,朱名 歌切 2026-03-29 ~ 2026-03-31,https://www.bilibili.com/video/BV1axXRBBEM7?p=71,BV1axXRBBEM7,116314710481454,37138726959,71,1774822104,2026-03-30 06:08:24,1774822104,2026-03-30 06:08:24,307,19843,71,830,https://i1.hdslb.com/bfs/archive/fa481231fd3ace0f552c50ad7de90ce17af1a1c1.png@160w_90h_1c.webp,朱名 歌切 2026-03-29 ~ 2026-03-31,前尘往事如昔故,前尘往事如昔故,3546597260528367,22,123,false,E8NtnHHHEHhIUsA6xw30XY_87IQ,夜明けと蛍,P主/术力口作者:n-buna | 已知术力口曲名:夜明けと蛍,direct
アスノヨゾラ哨戒班,Orangestar feat. IA,朱名,shuna.js,朱名 歌切 2026-03-18 ~ 2026-03-28,https://www.bilibili.com/video/BV1X4wqzjECD?p=141,BV1X4wqzjECD,116251678481114,37006280701,141,1773860340,2026-03-19 02:59:00,1773860340,2026-03-19 02:59:00,174,48396,188,610,https://i2.hdslb.com/bfs/archive/c221f9a2f78695f59bcb4ff7bde4840e42407140.png@160w_90h_1c.webp,朱名 歌切 2026-03-18 ~ 2026-03-28,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,33,false,CQ7BRlYb59DaB5l8zglcNP0xerE,アスノヨゾラ哨戒班,音源/术力口词:IA | P主/术力口作者:Orangestar | 已知术力口曲名:アスノヨゾラ哨戒班,direct
いーあるふぁんくらぶ,"みきとP feat. GUMI,鏡音リン",朱名,shuna.js,朱名 歌切 2026-03-18 ~ 2026-03-28,https://www.bilibili.com/video/BV1X4wqzjECD?p=148,BV1X4wqzjECD,116251678481114,37006282609,148,1773860340,2026-03-19 02:59:00,1773860340,2026-03-19 02:59:00,235,48396,188,610,https://i2.hdslb.com/bfs/archive/c221f9a2f78695f59bcb4ff7bde4840e42407140.png@160w_90h_1c.webp,朱名 歌切 2026-03-18 ~ 2026-03-28,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,23,false,gT5NuHTo--ONENjYIl3DNfQg1Ic,いあるふぁんくらぶ,音源/术力口词:鏡音リン/レン | 音源/术力口词:GUMI/Megpoid | P主/术力口作者:みきとP | 已知术力口曲名:いーあるふぁんくらぶ,direct
