title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
フォニイ,ツミキ feat. 可不,天ノ譜ステラ,stella.js,【歌切】[2026-05-28]歌回哦哦哦 Sound House认证VSinger 天ノ譜ステラ Stella Ch.,https://www.bilibili.com/video/BV1iuVW6hEbX?p=2,BV1iuVW6hEbX,116653358582284,38682758052,2,1779989288,2026-05-29 01:28:08,1779989288,2026-05-29 01:28:08,152,1026,4,296,https://i0.hdslb.com/bfs/archive/e2075a7ccb0a615b89d2a731ec4a398f42ad2e8b.png@160w_90h_1c.webp,【歌切】[2026-05-28]歌回哦哦哦 Sound House认证VSinger 天ノ譜ステラ Stella Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,52,false,Pq8vuNsqt07qLnQR6wK7_Rg-sHU,フォニイ,音源/术力口词:可不/KAFU | P主/术力口作者:ツミキ | 已知术力口曲名:フォニイ,direct
少女レイ,みきとP feat. 初音ミク,天ノ譜ステラ,stella.js,【歌切】[2026-05-28]歌回哦哦哦 Sound House认证VSinger 天ノ譜ステラ Stella Ch.,https://www.bilibili.com/video/BV1iuVW6hEbX?p=1,BV1iuVW6hEbX,116653358582284,38682757983,1,1779989288,2026-05-29 01:28:08,1779989288,2026-05-29 01:28:08,287,1026,4,296,https://i0.hdslb.com/bfs/archive/e2075a7ccb0a615b89d2a731ec4a398f42ad2e8b.png@160w_90h_1c.webp,【歌切】[2026-05-28]歌回哦哦哦 Sound House认证VSinger 天ノ譜ステラ Stella Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,23,109,false,81iaxA0axyOv6tBQjM3JcKw7bHA,少女レイ,音源/术力口词:初音ミク | P主/术力口作者:みきとP | 已知术力口曲名:少女レイ,direct
曖昧劣情Lover,koyori feat. v flower,天ノ譜ステラ,stella.js,【 🍚💫歌切】天ノ譜ステラ[2026-04-23]星期四定期直播 天ノ譜ステラ Stella Ch.,https://www.bilibili.com/video/BV1LDouBbEU1?p=3,BV1LDouBbEU1,116455521653221,37763549209,3,1776970842,2026-04-24 03:00:42,1776970843,2026-04-24 03:00:43,261,738,3,304,https://i2.hdslb.com/bfs/archive/faceaf48e27cc6785b0ac7d994ea3bc7ff7b6148.png@160w_90h_1c.webp,【 🍚💫歌切】天ノ譜ステラ[2026-04-23]星期四定期直播 天ノ譜ステラ Stella Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,6,15,false,DzJG7ekpXhJIk3UB65yy1uoFODs,曖昧劣情lover,音源/术力口词:v flower | P主/术力口作者:koyori,direct
トリノコシティ,40mP feat. 初音ミク,天ノ譜ステラ,stella.js,【 🍚💫歌切】[2026-04-02]✨星期四22点定期歌回,https://www.bilibili.com/video/BV1Tb9PBtEuf?p=4,BV1Tb9PBtEuf,116336755739884,37187617358,4,1775158529,2026-04-03 03:35:29,1775158530,2026-04-03 03:35:30,204,1410,6,350,https://i2.hdslb.com/bfs/archive/e9dd17e1de14144c315b7898d91b36c7879e84ed.png@160w_90h_1c.webp,【 🍚💫歌切】[2026-04-02]✨星期四22点定期歌回,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,24,false,VTQUSM4yY12f9buJZeRNxkJpQXo,トリノコシティ,音源/术力口词:初音ミク | P主/术力口作者:40mP | 已知术力口曲名:トリノコシティ,direct
恋愛裁判,40mP feat. 初音ミク,天ノ譜ステラ,stella.js,【 🍚💫歌切】[2026-04-02]✨星期四22点定期歌回,https://www.bilibili.com/video/BV1Tb9PBtEuf?p=3,BV1Tb9PBtEuf,116336755739884,37187554751,3,1775158529,2026-04-03 03:35:29,1775158530,2026-04-03 03:35:30,268,1410,6,350,https://i2.hdslb.com/bfs/archive/e9dd17e1de14144c315b7898d91b36c7879e84ed.png@160w_90h_1c.webp,【 🍚💫歌切】[2026-04-02]✨星期四22点定期歌回,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,27,false,3qolPsV0nMg-GqleKZOrhbdkdoY,恋愛裁判,音源/术力口词:初音ミク | P主/术力口作者:40mP | 已知术力口曲名:恋愛裁判,direct
メランコリック,Junky,天ノ譜ステラ,stella.js,【 🍚💫歌切】[2026-03-26]周四22点⌚定期歌回✨[TL8QmlT_O_E] 天ノ譜ステラ,https://www.bilibili.com/video/BV1XoXtBaETd?p=3,BV1XoXtBaETd,116297413171899,37007000233,3,1774559302,2026-03-27 05:08:22,1774559303,2026-03-27 05:08:23,242,1112,4,303,https://i0.hdslb.com/bfs/archive/75d71837e5d76a4004bb3378e6bf9cb29326dfdf.png@160w_90h_1c.webp,【 🍚💫歌切】[2026-03-26]周四22点⌚定期歌回✨[TL8QmlT_O_E] 天ノ譜ステラ,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,23,false,u57fKO9FGWyxdqPHWm8oa8pqIos,メランコリック,P主/术力口作者:Junky,direct
夕景イエスタデイ,じん(自然の敵P),天ノ譜ステラ,stella.js,【 🍚💫歌切】[2026-03-26]周四22点⌚定期歌回✨[TL8QmlT_O_E] 天ノ譜ステラ,https://www.bilibili.com/video/BV1XoXtBaETd?p=4,BV1XoXtBaETd,116297413171899,37023058041,4,1774559302,2026-03-27 05:08:22,1774559303,2026-03-27 05:08:23,253,1112,4,303,https://i0.hdslb.com/bfs/archive/75d71837e5d76a4004bb3378e6bf9cb29326dfdf.png@160w_90h_1c.webp,【 🍚💫歌切】[2026-03-26]周四22点⌚定期歌回✨[TL8QmlT_O_E] 天ノ譜ステラ,前尘往事如昔故,前尘往事如昔故,3546597260528367,5,6,false,j5As2SFeQOOwqN4-665g3oc4dJ0,夕景イエスタデイ,已知术力口曲名:夕景イエスタデイ,direct
flos,R Sound Design,天ノ譜ステラ,stella.js,【 🍚💫歌切】花絮自用天ノ譜ステラ,https://www.bilibili.com/video/BV1QMAcz2Eqn?p=1,BV1QMAcz2Eqn,116264966031607,36854236726,1,1774062879,2026-03-21 11:14:39,1774062879,2026-03-21 11:14:39,50,4828,40,302,https://i0.hdslb.com/bfs/archive/e2fda1c24f68048614ed7350e89d633bc92335c4.png@160w_90h_1c.webp,【 🍚💫歌切】花絮自用天ノ譜ステラ,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,20,false,l1GY48gMkUrmqFt4uehk3-O8bGE,flos,P主/术力口作者:R Sound Design | 已知术力口曲名:flos,direct
glow,keeno,天ノ譜ステラ,stella.js,【 🍚💫歌切】花絮自用天ノ譜ステラ,https://www.bilibili.com/video/BV1QMAcz2Eqn?p=17,BV1QMAcz2Eqn,116264966031607,36854366516,17,1774062879,2026-03-21 11:14:39,1774062879,2026-03-21 11:14:39,120,4828,40,302,https://i0.hdslb.com/bfs/archive/e2fda1c24f68048614ed7350e89d633bc92335c4.png@160w_90h_1c.webp,【 🍚💫歌切】花絮自用天ノ譜ステラ,前尘往事如昔故,前尘往事如昔故,3546597260528367,11,22,false,_FlJ1McF3HISzcvPycjp2Wh_qvQ,glow,P主/术力口作者:keeno,direct
PLATONIC GIRL,初音ミク,天ノ譜ステラ,stella.js,【 🍚💫歌切】花絮自用天ノ譜ステラ,https://www.bilibili.com/video/BV1QMAcz2Eqn?p=38,BV1QMAcz2Eqn,116264966031607,36854433785,38,1774062879,2026-03-21 11:14:39,1774062879,2026-03-21 11:14:39,71,4828,40,302,https://i0.hdslb.com/bfs/archive/e2fda1c24f68048614ed7350e89d633bc92335c4.png@160w_90h_1c.webp,【 🍚💫歌切】花絮自用天ノ譜ステラ,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,3,false,fVUc1wokAug6qx7uY8VLPfxz1DY,platonicgirl,音源/术力口词:初音ミク,direct
