title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
からくりピエロ,40mP feat.初音ミク,すとらてぃあ-Stratia,stratia.js,【🎸🦋歌切】[2026-06-13]要不要听一首歌？🎸🎤🎶 すとらてぃあ-Stratia,https://www.bilibili.com/video/BV1w1JH6DEqv?p=9,BV1w1JH6DEqv,116743418742657,39095239284,9,1781366259,2026-06-13 23:57:39,1781366259,2026-06-13 23:57:39,239,2369,9,133,https://i1.hdslb.com/bfs/archive/20035c0b4e2d788a241d7b000d966ef493ce4da6.png@160w_90h_1c.webp,【🎸🦋歌切】[2026-06-13]要不要听一首歌？🎸🎤🎶 すとらてぃあ-Stratia,前尘往事如昔故,前尘往事如昔故,3546597260528367,20,43,false,PQ9FB718a7tZtEImqsCdzKCu6BM,からくりピエロ,音源/术力口词:初音ミク | P主/术力口作者:40mP | 已知术力口曲名:からくりピエロ,direct
ラプンツェル,n-buna feat.初音ミク,すとらてぃあ-Stratia,stratia.js,【🎸🦋歌切】[2026-06-13]要不要听一首歌？🎸🎤🎶 すとらてぃあ-Stratia,https://www.bilibili.com/video/BV1w1JH6DEqv?p=4,BV1w1JH6DEqv,116743418742657,39095175221,4,1781366259,2026-06-13 23:57:39,1781366259,2026-06-13 23:57:39,303,2369,9,133,https://i1.hdslb.com/bfs/archive/20035c0b4e2d788a241d7b000d966ef493ce4da6.png@160w_90h_1c.webp,【🎸🦋歌切】[2026-06-13]要不要听一首歌？🎸🎤🎶 すとらてぃあ-Stratia,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,31,false,MXW0TzMS2iASk9Avz2UGq73MLhs,ラプンツェル,音源/术力口词:初音ミク | P主/术力口作者:n-buna,direct
いーあるふぁんくらぶ,みきとP feat.GUMI・鏡音リン,すとらてぃあ-Stratia,stratia.js,【🎸🦋歌切】[2026-06-06]突击歌枠 すとらてぃあ-Stratia,https://www.bilibili.com/video/BV1yaE36REzV?p=6,BV1yaE36REzV,116715451058710,38966723934,6,1780936947,2026-06-09 00:42:27,1780936947,2026-06-09 00:42:27,227,1477,6,194,https://i2.hdslb.com/bfs/archive/971b7235cea5686a8672e50e4e560879e87aa6c9.png@160w_90h_1c.webp,【🎸🦋歌切】[2026-06-06]突击歌枠 すとらてぃあ-Stratia,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,23,false,oPK-kji_5lAQ7J00KSOY2tkRv9w,いあるふぁんくらぶ,音源/术力口词:鏡音リン/レン | 音源/术力口词:GUMI/Megpoid | P主/术力口作者:みきとP | 已知术力口曲名:いーあるふぁんくらぶ,direct
おちゃめ機能,ゴジマジP feat.重音テト,すとらてぃあ-Stratia,stratia.js,【🎸🦋歌切】[2026-06-06]突击歌枠 すとらてぃあ-Stratia,https://www.bilibili.com/video/BV1yaE36REzV?p=5,BV1yaE36REzV,116715451058710,38966723101,5,1780936947,2026-06-09 00:42:27,1780936947,2026-06-09 00:42:27,289,1477,6,194,https://i2.hdslb.com/bfs/archive/971b7235cea5686a8672e50e4e560879e87aa6c9.png@160w_90h_1c.webp,【🎸🦋歌切】[2026-06-06]突击歌枠 すとらてぃあ-Stratia,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,4,false,brjdxkfeZ6cmIKfWAa4uOj-xmao,おちゃめ機能,音源/术力口词:重音テト/UTAU,direct
きゅうくらりん,いよわ feat.可不,すとらてぃあ-Stratia,stratia.js,【🎸🦋歌切】[2026-06-06]突击歌枠 すとらてぃあ-Stratia,https://www.bilibili.com/video/BV1yaE36REzV?p=4,BV1yaE36REzV,116715451058710,38966660981,4,1780936947,2026-06-09 00:42:27,1780936947,2026-06-09 00:42:27,239,1477,6,194,https://i2.hdslb.com/bfs/archive/971b7235cea5686a8672e50e4e560879e87aa6c9.png@160w_90h_1c.webp,【🎸🦋歌切】[2026-06-06]突击歌枠 すとらてぃあ-Stratia,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,22,false,uw2Nq9RZDE7xMT8UPS8nsrdwLyY,きゅうくらりん,音源/术力口词:可不/KAFU | P主/术力口作者:いよわ | 已知术力口曲名:きゅうくらりん,direct
さよならテンダー,koyori(電ポルP) feat.初音ミク,すとらてぃあ-Stratia,stratia.js,【🎸🦋歌切】[2026-06-06]突击歌枠 すとらてぃあ-Stratia,https://www.bilibili.com/video/BV1yaE36REzV?p=3,BV1yaE36REzV,116715451058710,38966660737,3,1780936947,2026-06-09 00:42:27,1780936947,2026-06-09 00:42:27,265,1477,6,194,https://i2.hdslb.com/bfs/archive/971b7235cea5686a8672e50e4e560879e87aa6c9.png@160w_90h_1c.webp,【🎸🦋歌切】[2026-06-06]突击歌枠 すとらてぃあ-Stratia,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,EfV57XcAoJMwbdXgHoD9FDSr-To,さよならテンダ,音源/术力口词:初音ミク,direct
スキスキ絶頂症,koyori(電ポルP) feat.GUMI,すとらてぃあ-Stratia,stratia.js,【🎸🦋歌切】[2026-06-06]突击歌枠 すとらてぃあ-Stratia,https://www.bilibili.com/video/BV1yaE36REzV?p=2,BV1yaE36REzV,116715451058710,38966660233,2,1780936947,2026-06-09 00:42:27,1780936947,2026-06-09 00:42:27,217,1477,6,194,https://i2.hdslb.com/bfs/archive/971b7235cea5686a8672e50e4e560879e87aa6c9.png@160w_90h_1c.webp,【🎸🦋歌切】[2026-06-06]突击歌枠 すとらてぃあ-Stratia,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,4,false,nT18TDeZBOAWIvcSSLzHRh00GJQ,スキスキ絶頂症,音源/术力口词:GUMI/Megpoid,direct
恋愛裁判,40mP feat.初音ミク,すとらてぃあ-Stratia,stratia.js,【🎸🦋歌切】[2026-06-06]突击歌枠 すとらてぃあ-Stratia,https://www.bilibili.com/video/BV1yaE36REzV?p=1,BV1yaE36REzV,116715451058710,38966660062,1,1780936947,2026-06-09 00:42:27,1780936947,2026-06-09 00:42:27,240,1477,6,194,https://i2.hdslb.com/bfs/archive/971b7235cea5686a8672e50e4e560879e87aa6c9.png@160w_90h_1c.webp,【🎸🦋歌切】[2026-06-06]突击歌枠 すとらてぃあ-Stratia,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,27,false,NGNOtxT2tpvfjJPhYPfCjqQ78m8,恋愛裁判,音源/术力口词:初音ミク | P主/术力口作者:40mP | 已知术力口曲名:恋愛裁判,direct
メランコリック,Junky feat.鏡音リン,すとらてぃあ-Stratia,stratia.js,【🎸🦋歌切】[2026-06-05]弹唱时间到啦🎸🎶🦋 すとらてぃあ-Stratia,https://www.bilibili.com/video/BV1fHEJ6eE8X?p=1,BV1fHEJ6eE8X,116703807672570,38914229554,1,1780760109,2026-06-06 23:35:09,1780760109,2026-06-06 23:35:09,223,1410,6,242,https://i1.hdslb.com/bfs/archive/60a713567cf61e0e1d0bd4066c8fe5b41fd0ddbc.png@160w_90h_1c.webp,【🎸🦋歌切】[2026-06-05]弹唱时间到啦🎸🎶🦋 すとらてぃあ-Stratia,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,23,false,_rKZ7NUTmtGtlsXZMHl5PVMklcU,メランコリック,音源/术力口词:鏡音リン/レン | P主/术力口作者:Junky,direct
病名恋ワズライ,HoneyWorks feat.GUMI,すとらてぃあ-Stratia,stratia.js,【🎸🦋歌切】[2026-06-05]弹唱时间到啦🎸🎶🦋 すとらてぃあ-Stratia,https://www.bilibili.com/video/BV1fHEJ6eE8X?p=2,BV1fHEJ6eE8X,116703807672570,38914230120,2,1780760109,2026-06-06 23:35:09,1780760109,2026-06-06 23:35:09,295,1410,6,242,https://i1.hdslb.com/bfs/archive/60a713567cf61e0e1d0bd4066c8fe5b41fd0ddbc.png@160w_90h_1c.webp,【🎸🦋歌切】[2026-06-05]弹唱时间到啦🎸🎶🦋 すとらてぃあ-Stratia,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,b2PiqVo_KIpDRLSD1gb2Hkd-9-c,病名恋ワズライ,音源/术力口词:GUMI/Megpoid,direct
