title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
Booo!,TOKOTOKO(西沢さんP) feat.音街ウナ,澄花,sumica.js,【💐🎸歌切】[2026-06-16]想用原声吉他与歌陪伴你的工作与悠闲时光🌼 | 澄花 / Puroburu -sumica-澄花,https://www.bilibili.com/video/BV1CAj56sEjm?p=5,BV1CAj56sEjm,116761756174397,39172376055,5,1781643584,2026-06-17 04:59:44,1781643584,2026-06-17 04:59:44,155,4534,19,100,https://i2.hdslb.com/bfs/archive/1291674c1fadb1d51c83a3453ea5296a580983bb.png@160w_90h_1c.webp,【💐🎸歌切】[2026-06-16]想用原声吉他与歌陪伴你的工作与悠闲时光🌼 | 澄花 / Puroburu -sumica-澄花,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,11,false,-fjufl0rsjKpVyhhpq2tFSSip0w,booo,音源/术力口词:音街ウナ,direct
ヨンジュウナナ,みきとP feat.初音ミク,澄花,sumica.js,【💐🎸歌切】[2026-06-16]想用原声吉他与歌陪伴你的工作与悠闲时光🌼 | 澄花 / Puroburu -sumica-澄花,https://www.bilibili.com/video/BV1CAj56sEjm?p=15,BV1CAj56sEjm,116761756174397,39172442728,15,1781643584,2026-06-17 04:59:44,1781643584,2026-06-17 04:59:44,286,4534,19,100,https://i2.hdslb.com/bfs/archive/1291674c1fadb1d51c83a3453ea5296a580983bb.png@160w_90h_1c.webp,【💐🎸歌切】[2026-06-16]想用原声吉他与歌陪伴你的工作与悠闲时光🌼 | 澄花 / Puroburu -sumica-澄花,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,7,false,JluZCArOxtoP6ZFb3qbuKCp6QIg,ヨンジュウナナ,音源/术力口词:初音ミク | P主/术力口作者:みきとP,direct
アヤノの幸福理論,じん feat. IA,澄花,sumica.js,【💐🎸歌切】[2026-06-13]⋱🔥15000人耐久 ❘ 🔥⋰ 悠闲却倾注灵魂的自弹自唱！！来相遇吧～～！！！！ -sumica-澄花,https://www.bilibili.com/video/BV1ikJp6rEgW?p=21,BV1ikJp6rEgW,116742999316172,39092683278,21,1781358005,2026-06-13 21:40:05,1781358005,2026-06-13 21:40:05,333,5503,22,162,https://i2.hdslb.com/bfs/archive/0ea84fd2b224c9f43344ce9533e766e0962f555b.png@160w_90h_1c.webp,【💐🎸歌切】[2026-06-13]⋱🔥15000人耐久 ❘ 🔥⋰ 悠闲却倾注灵魂的自弹自唱！！来相遇吧～～！！！！ -sumica-澄花,前尘往事如昔故,前尘往事如昔故,3546597260528367,13,28,false,-8AO11cTI71ENztHxi7SgDndwwQ,アヤノの幸福理論,音源/术力口词:IA | P主/术力口作者:じん | 已知术力口曲名:アヤノの幸福理論,direct
地球最後の告白を,kemu feat.GUMI,澄花,sumica.js,【💐🎸歌切】[2026-06-13]⋱🔥15000人耐久 ❘ 🔥⋰ 悠闲却倾注灵魂的自弹自唱！！来相遇吧～～！！！！ -sumica-澄花,https://www.bilibili.com/video/BV1ikJp6rEgW?p=14,BV1ikJp6rEgW,116742999316172,39092486316,14,1781358005,2026-06-13 21:40:05,1781358005,2026-06-13 21:40:05,281,5503,22,162,https://i2.hdslb.com/bfs/archive/0ea84fd2b224c9f43344ce9533e766e0962f555b.png@160w_90h_1c.webp,【💐🎸歌切】[2026-06-13]⋱🔥15000人耐久 ❘ 🔥⋰ 悠闲却倾注灵魂的自弹自唱！！来相遇吧～～！！！！ -sumica-澄花,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,27,false,atH3bLv0lSdRUMI06LAzf-7JtA4,地球最後の告白を,音源/术力口词:GUMI/Megpoid | P主/术力口作者:kemu | 已知术力口曲名:地球最後の告白を,direct
夜もすがら君想ふ,TOKOTOKO(西沢さんP) feat. GUMI,澄花,sumica.js,【💐🎸歌切】[2026-06-13]⋱🔥15000人耐久 ❘ 🔥⋰ 悠闲却倾注灵魂的自弹自唱！！来相遇吧～～！！！！ -sumica-澄花,https://www.bilibili.com/video/BV1ikJp6rEgW?p=5,BV1ikJp6rEgW,116742999316172,39092355093,5,1781358005,2026-06-13 21:40:05,1781358005,2026-06-13 21:40:05,259,5503,22,162,https://i2.hdslb.com/bfs/archive/0ea84fd2b224c9f43344ce9533e766e0962f555b.png@160w_90h_1c.webp,【💐🎸歌切】[2026-06-13]⋱🔥15000人耐久 ❘ 🔥⋰ 悠闲却倾注灵魂的自弹自唱！！来相遇吧～～！！！！ -sumica-澄花,前尘往事如昔故,前尘往事如昔故,3546597260528367,13,27,false,ekmcF_VqBTK7O3I0b4sLa1VgaCA,夜もすがら君想ふ,音源/术力口词:GUMI/Megpoid,direct
アヤノの幸福理論,じん,澄花,sumica.js,【💐🎸歌切】[2026-06-10]夜晚悠闲的弹唱～快来呀快来呀 -sumica-澄花,https://www.bilibili.com/video/BV1EXEf62EqZ?p=15,BV1EXEf62EqZ,116727983642651,39022167632,15,1781128771,2026-06-11 05:59:31,1781128771,2026-06-11 05:59:31,335,4855,18,267,https://i2.hdslb.com/bfs/archive/db4ff8a06ddc0fe033de4edac15853b9d8486c34.png@160w_90h_1c.webp,【💐🎸歌切】[2026-06-10]夜晚悠闲的弹唱～快来呀快来呀 -sumica-澄花,前尘往事如昔故,前尘往事如昔故,3546597260528367,13,28,false,kXH84AjzsdBjAlvWaAAZH-nXjWk,アヤノの幸福理論,P主/术力口作者:じん | 已知术力口曲名:アヤノの幸福理論,direct
メルト,supercell,澄花,sumica.js,【💐🎸歌切】[2026-06-10]夜晚悠闲的弹唱～快来呀快来呀 -sumica-澄花,https://www.bilibili.com/video/BV1EXEf62EqZ?p=7,BV1EXEf62EqZ,116727983642651,39022166477,7,1781128771,2026-06-11 05:59:31,1781128771,2026-06-11 05:59:31,228,4855,18,267,https://i2.hdslb.com/bfs/archive/db4ff8a06ddc0fe033de4edac15853b9d8486c34.png@160w_90h_1c.webp,【💐🎸歌切】[2026-06-10]夜晚悠闲的弹唱～快来呀快来呀 -sumica-澄花,前尘往事如昔故,前尘往事如昔故,3546597260528367,24,66,false,bQuIJcYWIzc4NB0xMgigbW7wUTk,メルト,已知术力口曲名:メルト,direct
花降らし,n-buna feat. 初音ミク,澄花,sumica.js,【💐🎸歌切】[2026-06-01]6月嘛❓总之先悠闲地充充电吧ーー✊ -sumica-澄花,https://www.bilibili.com/video/BV1nD5F6uExU?p=20,BV1nD5F6uExU,116676913797114,38785059429,20,1780348945,2026-06-02 05:22:25,1780348945,2026-06-02 05:22:25,266,5546,21,267,https://i0.hdslb.com/bfs/archive/f4c04693fa69a73a3cb8672718df094a6dceeb6e.png@160w_90h_1c.webp,【💐🎸歌切】[2026-06-01]6月嘛❓总之先悠闲地充充电吧ーー✊ -sumica-澄花,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,18,false,VG5vPeDZH6ADgBj_oxEKL94dH40,花降らし,音源/术力口词:初音ミク | P主/术力口作者:n-buna,direct
告白,内緒のピアス feat. 可不,澄花,sumica.js,【💐🎸歌切】[2026-06-01]6月嘛❓总之先悠闲地充充电吧ーー✊ -sumica-澄花,https://www.bilibili.com/video/BV1nD5F6uExU?p=4,BV1nD5F6uExU,116676913797114,38784929683,4,1780348945,2026-06-02 05:22:25,1780348945,2026-06-02 05:22:25,182,5546,21,267,https://i0.hdslb.com/bfs/archive/f4c04693fa69a73a3cb8672718df094a6dceeb6e.png@160w_90h_1c.webp,【💐🎸歌切】[2026-06-01]6月嘛❓总之先悠闲地充充电吧ーー✊ -sumica-澄花,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,3,false,bwOTn3_aYOXsJT0LDi2vwh7DjsE,告白,音源/术力口词:可不/KAFU,direct
地球最後の告白を,kemu feat. GUMI,澄花,sumica.js,【💐🎸歌切】[2026-06-01]6月嘛❓总之先悠闲地充充电吧ーー✊ -sumica-澄花,https://www.bilibili.com/video/BV1nD5F6uExU?p=8,BV1nD5F6uExU,116676913797114,38784993736,8,1780348945,2026-06-02 05:22:25,1780348945,2026-06-02 05:22:25,280,5546,21,267,https://i0.hdslb.com/bfs/archive/f4c04693fa69a73a3cb8672718df094a6dceeb6e.png@160w_90h_1c.webp,【💐🎸歌切】[2026-06-01]6月嘛❓总之先悠闲地充充电吧ーー✊ -sumica-澄花,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,27,false,8TtiZ2XdHLvH7b--Mk-NSiigUK8,地球最後の告白を,音源/术力口词:GUMI/Megpoid | P主/术力口作者:kemu | 已知术力口曲名:地球最後の告白を,direct
