title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
フューチャー・イヴ,sasakure.‌UK + 有形ランペイジ,稀羽すう,suu_usuwa.js,【🦢歌切 solo部分】[2026-05-22]3D生日Live「愿你不再迷茫。」 稀羽すう - Suu Usuwa -,https://www.bilibili.com/video/BV1VHGh6kEv8?p=4,BV1VHGh6kEv8,116620055812166,38539495994,4,1779481666,2026-05-23 04:27:46,1779481666,2026-05-23 04:27:46,215,668,4,312,https://i0.hdslb.com/bfs/archive/95d9901a8d9f5aece19ea5f75431c3d3a5cef7cc.png@160w_90h_1c.webp,【🦢歌切 solo部分】[2026-05-22]3D生日Live「愿你不再迷茫。」 稀羽すう - Suu Usuwa -,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,zZwyLRpURGWXRjsFbg_hZEqlnYg,フュチャイヴ,已知术力口曲名:フューチャー・イヴ,direct
夜明けと蛍,n-buna,稀羽すう,suu_usuwa.js,【🦢歌切】#142[2026-05-13]星期三的定期歌回！明明才5月却已经这么热了！ 稀羽すう - Suu Usuwa -,https://www.bilibili.com/video/BV1PN5m6jEBG?p=6,BV1PN5m6jEBG,116567962683989,38312216085,6,1778687002,2026-05-13 23:43:22,1778687003,2026-05-13 23:43:23,307,2268,9,335,https://i2.hdslb.com/bfs/archive/9d9fce983aaa33d4d11ae02f71ae33685d7e3257.png@160w_90h_1c.webp,【🦢歌切】#142[2026-05-13]星期三的定期歌回！明明才5月却已经这么热了！ 稀羽すう - Suu Usuwa -,前尘往事如昔故,前尘往事如昔故,3546597260528367,22,123,false,b9WiXGA6STQP9u47u0FISe8wx7o,夜明けと蛍,P主/术力口作者:n-buna | 已知术力口曲名:夜明けと蛍,direct
少女レイ,みきとP,稀羽すう,suu_usuwa.js,【🦢歌切】[2026-05-10]复活复仇歌回 稀羽すう - Suu Usuwa -,https://www.bilibili.com/video/BV1cC5E6oELn?p=2,BV1cC5E6oELn,116549474128077,38234820297,2,1778404821,2026-05-10 17:20:21,1778404821,2026-05-10 17:20:21,287,1526,6,359,https://i0.hdslb.com/bfs/archive/4b203e6ce5fe162acdbc8b3e30e542344a8eece5.png@160w_90h_1c.webp,【🦢歌切】[2026-05-10]复活复仇歌回 稀羽すう - Suu Usuwa -,前尘往事如昔故,前尘往事如昔故,3546597260528367,23,109,false,52MJ8JpNCDo_KcYcK-0Q2TLhj9g,少女レイ,P主/术力口作者:みきとP | 已知术力口曲名:少女レイ,direct
ツギハギスタッカート,とあ,稀羽すう,suu_usuwa.js,【🦢歌切】#139 [2026-04-08]周三定期歌回。集合啦～～～！ 稀羽すう - Suu Usuwa -,https://www.bilibili.com/video/BV1prDJB9E9f?p=1,BV1prDJB9E9f,116370108909442,37346086090,1,1775667473,2026-04-09 00:57:53,1775667473,2026-04-09 00:57:53,244,2233,10,455,https://i0.hdslb.com/bfs/archive/267d09ff8b16eb11c36b9476645a6bfd7f9c601b.png@160w_90h_1c.webp,【🦢歌切】#139 [2026-04-08]周三定期歌回。集合啦～～～！ 稀羽すう - Suu Usuwa -,前尘往事如昔故,前尘往事如昔故,3546597260528367,7,17,false,r5cpgbd1CrqT1oUmCvVI2B4N0AA,ツギハギスタッカト,P主/术力口作者:とあ,direct
ハッピーシンセサイザ,EasyPop,稀羽すう,suu_usuwa.js,【🦢歌切】#139 [2026-04-08]周三定期歌回。集合啦～～～！ 稀羽すう - Suu Usuwa -,https://www.bilibili.com/video/BV1prDJB9E9f?p=9,BV1prDJB9E9f,116370108909442,37346151213,9,1775667473,2026-04-09 00:57:53,1775667473,2026-04-09 00:57:53,232,2233,10,455,https://i0.hdslb.com/bfs/archive/267d09ff8b16eb11c36b9476645a6bfd7f9c601b.png@160w_90h_1c.webp,【🦢歌切】#139 [2026-04-08]周三定期歌回。集合啦～～～！ 稀羽すう - Suu Usuwa -,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,21,false,lyXM6x5s7PqOXm7P6pLYVgmrBgU,ハッピシンセサイザ,P主/术力口作者:EasyPop | 已知术力口曲名:ハッピーシンセサイザ,direct
メランコリック,Junky,稀羽すう,suu_usuwa.js,【🦢歌切】#139 [2026-04-08]周三定期歌回。集合啦～～～！ 稀羽すう - Suu Usuwa -,https://www.bilibili.com/video/BV1prDJB9E9f?p=10,BV1prDJB9E9f,116370108909442,37346151574,10,1775667473,2026-04-09 00:57:53,1775667473,2026-04-09 00:57:53,217,2233,10,455,https://i0.hdslb.com/bfs/archive/267d09ff8b16eb11c36b9476645a6bfd7f9c601b.png@160w_90h_1c.webp,【🦢歌切】#139 [2026-04-08]周三定期歌回。集合啦～～～！ 稀羽すう - Suu Usuwa -,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,23,false,ncQbGcPdEh8wiW9nL0yvsP1lQ4M,メランコリック,P主/术力口作者:Junky,direct
裏表ラバーズ,wowaka,稀羽すう,suu_usuwa.js,【🦢歌切】#139 [2026-04-08]周三定期歌回。集合啦～～～！ 稀羽すう - Suu Usuwa -,https://www.bilibili.com/video/BV1prDJB9E9f?p=8,BV1prDJB9E9f,116370108909442,37346150956,8,1775667473,2026-04-09 00:57:53,1775667473,2026-04-09 00:57:53,185,2233,10,455,https://i0.hdslb.com/bfs/archive/267d09ff8b16eb11c36b9476645a6bfd7f9c601b.png@160w_90h_1c.webp,【🦢歌切】#139 [2026-04-08]周三定期歌回。集合啦～～～！ 稀羽すう - Suu Usuwa -,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,5,false,ArDQF3mXrSiR_hZskqN-IWEKFis,裏表ラバズ,已知术力口曲名:裏表ラバーズ,direct
Booo！,西沢さんP,稀羽すう,suu_usuwa.js,【🦢歌切】#138[2026-04-01]星期三定期歌回★稀羽すう - Suu Usuwa -,https://www.bilibili.com/video/BV1Qh9JB3EUL?p=6,BV1Qh9JB3EUL,116331185706350,37160747022,6,1775073429,2026-04-02 03:57:09,1775073429,2026-04-02 03:57:09,172,1354,6,178,https://i2.hdslb.com/bfs/archive/273861a182ae8ef8bf31ea531dce03eace1b5291.png@160w_90h_1c.webp,【🦢歌切】#138[2026-04-01]星期三定期歌回★稀羽すう - Suu Usuwa -,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,4,false,c-htZlJfOEJTsJRlMPBgffBy66U,booo,P主/术力口作者:西沢さんP,direct
ウミユリ海底譚,n-buna,稀羽すう,suu_usuwa.js,【🦢歌切】[2026-03-20]在午后等着你呢。[FWUfmFhvQQc] 稀羽すう,https://www.bilibili.com/video/BV1epApz2EfY?p=8,BV1epApz2EfY,116261761583693,36844341765,8,1774014906,2026-03-20 21:55:06,1774014906,2026-03-20 21:55:06,236,2708,11,760,https://i1.hdslb.com/bfs/archive/e5f424587afd5744f570c475cc413876bd183b12.png@160w_90h_1c.webp,【🦢歌切】[2026-03-20]在午后等着你呢。[FWUfmFhvQQc] 稀羽すう,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,17,false,OSVda86-Vi8huCufqDEzB8l4b0k,ウミユリ海底譚,P主/术力口作者:n-buna | 已知术力口曲名:ウミユリ海底譚,direct
サラマンダー,DECO*27,稀羽すう,suu_usuwa.js,【🦢稀羽すう歌切】 お昼にまったりしませんか？[i7OjULSNQq0],https://www.bilibili.com/video/BV1gbAazeE1g?p=13,BV1gbAazeE1g,116148414709929,36356425797,13,1772284913,2026-02-28 21:21:53,1772284914,2026-02-28 21:21:54,157,3349,15,487,https://i0.hdslb.com/bfs/archive/54d48daee0fe12cd29514c472d07b8335bb185d9.png@160w_90h_1c.webp,【🦢稀羽すう歌切】 お昼にまったりしませんか？[i7OjULSNQq0],前尘往事如昔故,前尘往事如昔故,3546597260528367,3,4,false,iIZJBr0PlniQWiJD9d3kS2dpvtA,サラマンダ,P主/术力口作者:DECO*27 | 已知术力口曲名:サラマンダー,direct
