title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
アイラ,n-buna feat. GUMI,透夏,toka10summer.js,歌切【透夏】[2026-06-10]6月广播节目🎐,https://www.bilibili.com/video/BV1XHEo6FEBi?p=3,BV1XHEo6FEBi,116727430059706,39021185350,3,1781119742,2026-06-11 03:29:02,1781119742,2026-06-11 03:29:02,270,1532,6,110,https://i1.hdslb.com/bfs/archive/e3adad19d1c6212d3bc390eff3c93954b03da3e0.png@160w_90h_1c.webp,歌切【透夏】[2026-06-10]6月广播节目🎐,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,3,false,XwTPbGN6XKBINV2LHjZP8rWxM8I,アイラ,音源/术力口词:GUMI/Megpoid | P主/术力口作者:n-buna | 已知术力口曲名:アイラ,direct
とても素敵な六月でした,Eight feat. 初音ミク,透夏,toka10summer.js,歌切【透夏】[2026-06-10]6月广播节目🎐,https://www.bilibili.com/video/BV1XHEo6FEBi?p=5,BV1XHEo6FEBi,116727430059706,39021185406,5,1781119742,2026-06-11 03:29:02,1781119742,2026-06-11 03:29:02,283,1532,6,110,https://i1.hdslb.com/bfs/archive/e3adad19d1c6212d3bc390eff3c93954b03da3e0.png@160w_90h_1c.webp,歌切【透夏】[2026-06-10]6月广播节目🎐,前尘往事如昔故,前尘往事如昔故,3546597260528367,8,18,false,1-h9otA7Cpi_3u_wWQ8IEYvOB8A,とても素敵な六月でした,音源/术力口词:初音ミク,direct
深海少女,ゆうゆ feat. 初音ミク,透夏,toka10summer.js,歌切【透夏】[2026-06-10]6月广播节目🎐,https://www.bilibili.com/video/BV1XHEo6FEBi?p=2,BV1XHEo6FEBi,116727430059706,39021184882,2,1781119742,2026-06-11 03:29:02,1781119742,2026-06-11 03:29:02,212,1532,6,110,https://i1.hdslb.com/bfs/archive/e3adad19d1c6212d3bc390eff3c93954b03da3e0.png@160w_90h_1c.webp,歌切【透夏】[2026-06-10]6月广播节目🎐,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,21,false,NUS9eQuHAHytkxMyj-wgQWMH08s,深海少女,音源/术力口词:初音ミク | P主/术力口作者:ゆうゆ | 已知术力口曲名:深海少女,direct
daze,じん feat. メイリア from GARNiDELiA,透夏,toka10summer.js,歌切【透夏】[2025-10-24]アニソン多めな歌枠🎐 Singing Stream 透夏,https://www.bilibili.com/video/BV1rYVk6oEBn?p=2,BV1rYVk6oEBn,116682081175253,38811273414,2,1780437600,2026-06-03 06:00:00,1780427756,2026-06-03 03:15:56,89,1435,6,179,https://i1.hdslb.com/bfs/archive/7ef85443f24fcd9f3d516516a33b51b0a68abc91.png@160w_90h_1c.webp,歌切【透夏】[2025-10-24]アニソン多めな歌枠🎐 Singing Stream 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,4,false,mIYVyLBT2lJd7Bul3EQlAVnNnWE,daze,P主/术力口作者:じん,direct
No Logic,ジミーサムP feat. 巡音ルカ,透夏,toka10summer.js,歌切【透夏】[2025-04-10]出会いと別れを乗り越えて🌸 4月のラジオ配信 透夏,https://www.bilibili.com/video/BV1QVVk66EZ1?p=1,BV1QVVk66EZ1,116682030849015,38811143822,1,1780437600,2026-06-03 06:00:00,1780427054,2026-06-03 03:04:14,257,995,4,157,https://i2.hdslb.com/bfs/archive/f349d5bb4e6d53f6bd90de58b7b301d7af2de07d.png@160w_90h_1c.webp,歌切【透夏】[2025-04-10]出会いと別れを乗り越えて🌸 4月のラジオ配信 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,5,6,false,98DZh7OHT8nrxKpJwE4wrn_Qb-g,nologic,音源/术力口词:巡音ルカ | P主/术力口作者:ジミーサムP | 已知术力口曲名:No Logic,direct
ODDS&ENDS,ryo feat. 初音ミク,透夏,toka10summer.js,歌切【透夏】[2025-03-10]春の気配！3月のラジオ配信 透夏,https://www.bilibili.com/video/BV1DVVk66Etp?p=4,BV1DVVk66Etp,116682030845883,38811143565,4,1780437600,2026-06-03 06:00:00,1780427009,2026-06-03 03:03:29,330,1202,4,164,https://i0.hdslb.com/bfs/archive/c47e8eaf2998adafa551933fdd452bebd159f47b.png@160w_90h_1c.webp,歌切【透夏】[2025-03-10]春の気配！3月のラジオ配信 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,13,false,ZRPUu_2J2TYS4RJq4wtzIQHb3oo,odds&ends,音源/术力口词:初音ミク | 已知术力口曲名:ODDS&ENDS,direct
アスノヨゾラ哨戒班,Orangestar feat. IA,透夏,toka10summer.js,歌切【透夏】[2025-08-27]🎐夏曲縛り🎐夏の宵を楽しむ歌枠 Singing Stream 透夏,https://www.bilibili.com/video/BV1rYVk6oE4n?p=6,BV1rYVk6oE4n,116682081176395,38811272357,6,1780437600,2026-06-03 06:00:00,1780427628,2026-06-03 03:13:48,175,2013,10,189,https://i1.hdslb.com/bfs/archive/99082d8a76530e6101776debdda14d98fc5ff484.png@160w_90h_1c.webp,歌切【透夏】[2025-08-27]🎐夏曲縛り🎐夏の宵を楽しむ歌枠 Singing Stream 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,33,false,XvltiLbPory2G-GdlkOHPgZdhWU,アスノヨゾラ哨戒班,音源/术力口词:IA | P主/术力口作者:Orangestar | 已知术力口曲名:アスノヨゾラ哨戒班,direct
いかないで,想太 feat. 歌愛ユキ,透夏,toka10summer.js,歌切【透夏】[2025-07-25]🎐ボカロ縛り🎐夏の歌枠 Singing Stream 透夏,https://www.bilibili.com/video/BV1CbVk68ESd?p=4,BV1CbVk68ESd,116682064397949,38811209600,4,1780437600,2026-06-03 06:00:00,1780427481,2026-06-03 03:11:21,191,1716,9,1317,https://i0.hdslb.com/bfs/archive/f3894d27aa3e918594dfeaf6a699ac5407ee0492.png@160w_90h_1c.webp,歌切【透夏】[2025-07-25]🎐ボカロ縛り🎐夏の歌枠 Singing Stream 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,22,false,0WhquXgVGwcSfy-TiBNVHbcDe3c,いかないで,音源/术力口词:其他音源,direct
ウミユリ海底譚,n-buna feat. 初音ミク,透夏,toka10summer.js,歌切【透夏】[2026-01-10]1月のラジオ配信🎐 透夏,https://www.bilibili.com/video/BV1kaVk6tEV5?p=5,BV1kaVk6tEV5,116682097951895,38811337192,5,1780437600,2026-06-03 06:00:00,1780427917,2026-06-03 03:18:37,236,1113,5,179,https://i1.hdslb.com/bfs/archive/e8d12b031f0fdefdf6df9f17a7032a4ed4973d42.png@160w_90h_1c.webp,歌切【透夏】[2026-01-10]1月のラジオ配信🎐 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,17,false,TGfaj2UklkT-rHbm8AxtnEVziX0,ウミユリ海底譚,音源/术力口词:初音ミク | P主/术力口作者:n-buna | 已知术力口曲名:ウミユリ海底譚,direct
オツキミリサイタル,じん feat. IA,透夏,toka10summer.js,歌切【透夏】[2025-07-10]夏到来🎐 7月のラジオ配信 透夏,https://www.bilibili.com/video/BV1ybVk68EiS?p=2,BV1ybVk68EiS,116682064402441,38811208432,2,1780437600,2026-06-03 06:00:00,1780427321,2026-06-03 03:08:41,198,946,4,150,https://i0.hdslb.com/bfs/archive/5474bfb13e12e7876ce82edfe8426d4c11452215.png@160w_90h_1c.webp,歌切【透夏】[2025-07-10]夏到来🎐 7月のラジオ配信 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,3,false,ABbnozM3lTzlRmAPMSG9l0TLGiU,オツキミリサイタル,音源/术力口词:IA | P主/术力口作者:じん | 已知术力口曲名:オツキミリサイタル,direct
カゲロウデイズ,じん feat. 初音ミク,透夏,toka10summer.js,歌切【透夏】[2026-01-10]1月のラジオ配信🎐 透夏,https://www.bilibili.com/video/BV1kaVk6tEV5?p=2,BV1kaVk6tEV5,116682097951895,38811336774,2,1780437600,2026-06-03 06:00:00,1780427917,2026-06-03 03:18:37,233,1113,5,179,https://i1.hdslb.com/bfs/archive/e8d12b031f0fdefdf6df9f17a7032a4ed4973d42.png@160w_90h_1c.webp,歌切【透夏】[2026-01-10]1月のラジオ配信🎐 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,3,false,DKNykZB0yTbknElvEbF2VWmnxyg,カゲロウデイズ,音源/术力口词:初音ミク | P主/术力口作者:じん | 已知术力口曲名:カゲロウデイズ,direct
グリーンライツ・セレナーデ,Omoi feat. 初音ミク,透夏,toka10summer.js,歌切【透夏】[2024-11-10]新曲リリースしました！なラジオ配信 透夏,https://www.bilibili.com/video/BV1XVVk66E5Q?p=2,BV1XVVk66E5Q,116682030847497,38811077550,2,1780437600,2026-06-03 06:00:00,1780426769,2026-06-03 02:59:29,90,756,4,154,https://i1.hdslb.com/bfs/archive/e2ddff0f9ed04db23ab7e2c55c52c5174580b6c1.png@160w_90h_1c.webp,歌切【透夏】[2024-11-10]新曲リリースしました！なラジオ配信 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,baHHtg2vAQltmLLbRulS0LCDa2k,グリンライツセレナデ,音源/术力口词:初音ミク | P主/术力口作者:Omoi,direct
サマータイムレコード,じん feat. IA,透夏,toka10summer.js,歌切【透夏】[2025-08-27]🎐夏曲縛り🎐夏の宵を楽しむ歌枠 Singing Stream 透夏,https://www.bilibili.com/video/BV1rYVk6oE4n?p=10,BV1rYVk6oE4n,116682081176395,38811273127,10,1780437600,2026-06-03 06:00:00,1780427628,2026-06-03 03:13:48,272,2013,10,189,https://i1.hdslb.com/bfs/archive/99082d8a76530e6101776debdda14d98fc5ff484.png@160w_90h_1c.webp,歌切【透夏】[2025-08-27]🎐夏曲縛り🎐夏の宵を楽しむ歌枠 Singing Stream 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,17,41,false,WicgH2iwx0KiKUqt9swq1MWOsE0,サマタイムレコド,音源/术力口词:IA | P主/术力口作者:じん | 已知术力口曲名:サマータイムレコード,direct
サリシノハラ,みきとP feat. 初音ミク,透夏,toka10summer.js,歌切【透夏】[2025-03-10]春の気配！3月のラジオ配信 透夏,https://www.bilibili.com/video/BV1DVVk66Etp?p=2,BV1DVVk66Etp,116682030845883,38811142962,2,1780437600,2026-06-03 06:00:00,1780427009,2026-06-03 03:03:29,268,1202,4,164,https://i0.hdslb.com/bfs/archive/c47e8eaf2998adafa551933fdd452bebd159f47b.png@160w_90h_1c.webp,歌切【透夏】[2025-03-10]春の気配！3月のラジオ配信 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,12,30,false,RTwxSI7WqLYzZoQp4VxaRnAMlnI,サリシノハラ,音源/术力口词:初音ミク | P主/术力口作者:みきとP | 已知术力口曲名:サリシノハラ,direct
スターナイトスノウ,n-buna × Orangestar feat. 初音ミク,透夏,toka10summer.js,歌切【透夏】[2025-12-24]クリスマスも気ままに歌枠🎐 Singing Stream 透夏,https://www.bilibili.com/video/BV1CaVk6tEg2?p=5,BV1CaVk6tEg2,116682097956922,38811274908,5,1780437600,2026-06-03 06:00:00,1780427824,2026-06-03 03:17:04,275,1818,7,228,https://i1.hdslb.com/bfs/archive/0ca94476abddcc1dca0899cbdd04b21dca2fdc4e.png@160w_90h_1c.webp,歌切【透夏】[2025-12-24]クリスマスも気ままに歌枠🎐 Singing Stream 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,JgoJMOLDgLWy1DxTuRDOpmu-8WM,スタナイトスノウ,音源/术力口词:初音ミク | P主/术力口作者:n-buna | 已知术力口曲名:スターナイトスノウ,direct
スノーマン,halyosy feat. KAITO,透夏,toka10summer.js,歌切【透夏】[2024-12-10]早めの！クリスマス配信♪ 透夏,https://www.bilibili.com/video/BV1DVVk66EfR?p=2,BV1DVVk66EfR,116682030843536,38811078191,2,1780437600,2026-06-03 06:00:00,1780426954,2026-06-03 03:02:34,222,908,4,140,https://i1.hdslb.com/bfs/archive/7d4f866db7239c80a23fd697b9fc89cfcc9bbcbd.png@160w_90h_1c.webp,歌切【透夏】[2024-12-10]早めの！クリスマス配信♪ 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,2,false,QT_2jmkiyYNHGWEVuySwhIvEXOQ,スノマン,音源/术力口词:KAITO | P主/术力口作者:halyosy,direct
スノーマン,halyosy feat. KAITO,透夏,toka10summer.js,歌切【透夏】[2025-12-24]クリスマスも気ままに歌枠🎐 Singing Stream 透夏,https://www.bilibili.com/video/BV1CaVk6tEg2?p=7,BV1CaVk6tEg2,116682097956922,38811275042,7,1780437600,2026-06-03 06:00:00,1780427824,2026-06-03 03:17:04,223,1818,7,228,https://i1.hdslb.com/bfs/archive/0ca94476abddcc1dca0899cbdd04b21dca2fdc4e.png@160w_90h_1c.webp,歌切【透夏】[2025-12-24]クリスマスも気ままに歌枠🎐 Singing Stream 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,2,false,AhkVuiIXbBiDDrTPxO6Gn7AW3-w,スノマン,音源/术力口词:KAITO | P主/术力口作者:halyosy,direct
タイムマシン,1640mP feat. 初音ミク,透夏,toka10summer.js,歌切【透夏】[2025-03-10]春の気配！3月のラジオ配信 透夏,https://www.bilibili.com/video/BV1DVVk66Etp?p=1,BV1DVVk66Etp,116682030845883,38811142777,1,1780437600,2026-06-03 06:00:00,1780427009,2026-06-03 03:03:29,242,1202,4,164,https://i0.hdslb.com/bfs/archive/c47e8eaf2998adafa551933fdd452bebd159f47b.png@160w_90h_1c.webp,歌切【透夏】[2025-03-10]春の気配！3月のラジオ配信 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,7,8,false,BgiF_G9UGbLFG9BOagwcKwKGDtY,タイムマシン,音源/术力口词:初音ミク | P主/术力口作者:1640mP | 已知术力口曲名:タイムマシン,direct
テロル,Neru feat. 鏡音リン,透夏,toka10summer.js,歌切【透夏】[2025-04-10]出会いと別れを乗り越えて🌸 4月のラジオ配信 透夏,https://www.bilibili.com/video/BV1QVVk66EZ1?p=3,BV1QVVk66EZ1,116682030849015,38811205733,3,1780437600,2026-06-03 06:00:00,1780427054,2026-06-03 03:04:14,231,995,4,157,https://i2.hdslb.com/bfs/archive/f349d5bb4e6d53f6bd90de58b7b301d7af2de07d.png@160w_90h_1c.webp,歌切【透夏】[2025-04-10]出会いと別れを乗り越えて🌸 4月のラジオ配信 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,vuSeto_4wL8-vEMwTqcwIvtFPAY,テロル,音源/术力口词:鏡音リン/レン | P主/术力口作者:Neru,direct
なかよしこよし,透夏 feat. 初音ミク,透夏,toka10summer.js,歌切【透夏】[2025-08-10]活動2周年🎐 8月のラジオ配信 透夏,https://www.bilibili.com/video/BV1CbVk68Evq?p=4,BV1CbVk68Evq,116682064399283,38811271669,4,1780437600,2026-06-03 06:00:00,1780427497,2026-06-03 03:11:37,203,796,4,135,https://i0.hdslb.com/bfs/archive/0aa8a57a2cb72e4fe09f61222e7056b153b7b490.png@160w_90h_1c.webp,歌切【透夏】[2025-08-10]活動2周年🎐 8月のラジオ配信 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,O4ISJhjkXgQYLVWhAAP8DPF5myo,なかよしこよし,音源/术力口词:初音ミク,direct
メリュー,n-buna feat. 初音ミク,透夏,toka10summer.js,歌切【透夏】[2025-07-25]🎐ボカロ縛り🎐夏の歌枠 Singing Stream 透夏,https://www.bilibili.com/video/BV1CbVk68ESd?p=9,BV1CbVk68ESd,116682064397949,38811271346,9,1780437600,2026-06-03 06:00:00,1780427481,2026-06-03 03:11:21,212,1716,9,1317,https://i0.hdslb.com/bfs/archive/f3894d27aa3e918594dfeaf6a699ac5407ee0492.png@160w_90h_1c.webp,歌切【透夏】[2025-07-25]🎐ボカロ縛り🎐夏の歌枠 Singing Stream 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,17,false,QUHD-4hE7dxvqKJOicc-f2OU4Qo,メリュ,音源/术力口词:初音ミク | P主/术力口作者:n-buna | 已知术力口曲名:メリュー,direct
ゆるふわ樹海ガール,石風呂 feat. 初音ミク,透夏,toka10summer.js,歌切【透夏】[2025-07-25]🎐ボカロ縛り🎐夏の歌枠 Singing Stream 透夏,https://www.bilibili.com/video/BV1CbVk68ESd?p=5,BV1CbVk68ESd,116682064397949,38811209614,5,1780437600,2026-06-03 06:00:00,1780427481,2026-06-03 03:11:21,191,1716,9,1317,https://i0.hdslb.com/bfs/archive/f3894d27aa3e918594dfeaf6a699ac5407ee0492.png@160w_90h_1c.webp,歌切【透夏】[2025-07-25]🎐ボカロ縛り🎐夏の歌枠 Singing Stream 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,4,false,kpA2rM4kealXFb7jRWUpfSkX50Q,ゆるふわ樹海ガル,音源/术力口词:初音ミク | P主/术力口作者:石風呂,direct
ライカ,yamada feat. 初音ミク,透夏,toka10summer.js,歌切【透夏】[2026-01-10]1月のラジオ配信🎐 透夏,https://www.bilibili.com/video/BV1kaVk6tEV5?p=4,BV1kaVk6tEV5,116682097951895,38811337089,4,1780437600,2026-06-03 06:00:00,1780427917,2026-06-03 03:18:37,211,1113,5,179,https://i1.hdslb.com/bfs/archive/e8d12b031f0fdefdf6df9f17a7032a4ed4973d42.png@160w_90h_1c.webp,歌切【透夏】[2026-01-10]1月のラジオ配信🎐 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,5,11,false,zPJV6mANGTHKww4akTtQHrw13m0,ライカ,音源/术力口词:初音ミク,direct
ラプンツェル,n-buna feat. 初音ミク,透夏,toka10summer.js,歌切【透夏】[2025-10-24]アニソン多めな歌枠🎐 Singing Stream 透夏,https://www.bilibili.com/video/BV1rYVk6oEBn?p=6,BV1rYVk6oEBn,116682081175253,38811273806,6,1780437600,2026-06-03 06:00:00,1780427756,2026-06-03 03:15:56,265,1435,6,179,https://i1.hdslb.com/bfs/archive/7ef85443f24fcd9f3d516516a33b51b0a68abc91.png@160w_90h_1c.webp,歌切【透夏】[2025-10-24]アニソン多めな歌枠🎐 Singing Stream 透夏,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,31,false,QyCnfoqo_bBr2r3xL6mW8_6mI2U,ラプンツェル,音源/术力口词:初音ミク | P主/术力口作者:n-buna,direct
