title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
IMAGINARY LIKE THE JUSTICE,ナナホシ管弦楽団,魔王トゥルシー,tulsi.js,歌切 2025-11-24 魔王トゥルシー / Tulsi-Nightmare Madness IV tKufNmaXzQ8,https://www.bilibili.com/video/BV1PLQVB3E9e?p=2,BV1PLQVB3E9e,116404988674202,37511955165,2,1776199929,2026-04-15 04:52:09,1776199929,2026-04-15 04:52:09,268,3809,19,2044,https://i1.hdslb.com/bfs/archive/e0b8d83a7e868e255c52fc611c210d43f9751557.png@160w_90h_1c.webp,歌切 2025-11-24 魔王トゥルシー / Tulsi-Nightmare Madness IV tKufNmaXzQ8,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,pCFT12RDbZlwvIwIsTQ7g2XeY9M,imaginarylikethejustice,P主/术力口作者:ナナホシ管弦楽団,direct
キリトリセン,40㍍P,魔王トゥルシー,tulsi.js,歌切 2025-11-24 魔王トゥルシー / Tulsi-Nightmare Madness IV tKufNmaXzQ8,https://www.bilibili.com/video/BV1PLQVB3E9e?p=8,BV1PLQVB3E9e,116404988674202,37511956672,8,1776199929,2026-04-15 04:52:09,1776199929,2026-04-15 04:52:09,234,3809,19,2044,https://i1.hdslb.com/bfs/archive/e0b8d83a7e868e255c52fc611c210d43f9751557.png@160w_90h_1c.webp,歌切 2025-11-24 魔王トゥルシー / Tulsi-Nightmare Madness IV tKufNmaXzQ8,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,17,false,h3FmcITuPoVRpqhxlepQZ0y851s,キリトリセン,已知术力口曲名:キリトリセン,direct
モザイクロール,DECO*27,魔王トゥルシー,tulsi.js,歌切 2025-11-24 魔王トゥルシー / Tulsi-Nightmare Madness IV tKufNmaXzQ8,https://www.bilibili.com/video/BV1PLQVB3E9e?p=9,BV1PLQVB3E9e,116404988674202,37511956912,9,1776199929,2026-04-15 04:52:09,1776199929,2026-04-15 04:52:09,181,3809,19,2044,https://i1.hdslb.com/bfs/archive/e0b8d83a7e868e255c52fc611c210d43f9751557.png@160w_90h_1c.webp,歌切 2025-11-24 魔王トゥルシー / Tulsi-Nightmare Madness IV tKufNmaXzQ8,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,12,false,ta0rFfahzJjYgbkvSj3wbHjWnw8,モザイクロル,P主/术力口作者:DECO*27 | 已知术力口曲名:モザイクロール,direct
失楽ペトリ,ナナホシ管弦楽団,魔王トゥルシー,tulsi.js,歌切 2025-11-24 魔王トゥルシー / Tulsi-Nightmare Madness IV tKufNmaXzQ8,https://www.bilibili.com/video/BV1PLQVB3E9e?p=3,BV1PLQVB3E9e,116404988674202,37511954858,3,1776199929,2026-04-15 04:52:09,1776199929,2026-04-15 04:52:09,188,3809,19,2044,https://i1.hdslb.com/bfs/archive/e0b8d83a7e868e255c52fc611c210d43f9751557.png@160w_90h_1c.webp,歌切 2025-11-24 魔王トゥルシー / Tulsi-Nightmare Madness IV tKufNmaXzQ8,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,0cVUQbB_8qkLRgvo12P0OyoHUAs,失楽ペトリ,P主/术力口作者:ナナホシ管弦楽団,direct
夕暮れ先生,石風呂,魔王トゥルシー,tulsi.js,歌切 2025-11-24 魔王トゥルシー / Tulsi-Nightmare Madness IV tKufNmaXzQ8,https://www.bilibili.com/video/BV1PLQVB3E9e?p=6,BV1PLQVB3E9e,116404988674202,37511956314,6,1776199929,2026-04-15 04:52:09,1776199929,2026-04-15 04:52:09,170,3809,19,2044,https://i1.hdslb.com/bfs/archive/e0b8d83a7e868e255c52fc611c210d43f9751557.png@160w_90h_1c.webp,歌切 2025-11-24 魔王トゥルシー / Tulsi-Nightmare Madness IV tKufNmaXzQ8,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,2,false,IQ7GdmXDABxNtRW3Mgja4y-_RWU,夕暮れ先生,P主/术力口作者:石風呂,direct
夕暮れ先生,石風呂,魔王トゥルシー,tulsi.js,歌切 2025-11-24 魔王トゥルシー / Tulsi-Nightmare Madness IV tKufNmaXzQ8,https://www.bilibili.com/video/BV1PLQVB3E9e?p=7,BV1PLQVB3E9e,116404988674202,37511956346,7,1776199929,2026-04-15 04:52:09,1776199929,2026-04-15 04:52:09,73,3809,19,2044,https://i1.hdslb.com/bfs/archive/e0b8d83a7e868e255c52fc611c210d43f9751557.png@160w_90h_1c.webp,歌切 2025-11-24 魔王トゥルシー / Tulsi-Nightmare Madness IV tKufNmaXzQ8,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,2,false,t2HKXyzo8wHPDsXfPKm_8NcoaHw,夕暮れ先生,P主/术力口作者:石風呂,direct
オツキミリサイタル,じん,魔王トゥルシー,tulsi.js,歌切 2026-04-11 魔王トゥルシー / Tulsi-Nightmare Madness IV kxAAY51-FNM,https://www.bilibili.com/video/BV1UUQVBmERX?p=3,BV1UUQVBmERX,116404820909002,37511498580,3,1776197958,2026-04-15 04:19:18,1776197958,2026-04-15 04:19:18,219,1121,5,833,https://i2.hdslb.com/bfs/archive/548b038ef373d8d3e229d5de463f7dcd324c16c3.png@160w_90h_1c.webp,歌切 2026-04-11 魔王トゥルシー / Tulsi-Nightmare Madness IV kxAAY51-FNM,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,3,false,JM3JmK50vqeFz1a2VYjp5IJES7w,オツキミリサイタル,P主/术力口作者:じん | 已知术力口曲名:オツキミリサイタル,direct
トリノコシティ,40mP feat.GUMI,魔王トゥルシー,tulsi.js,歌切 2026-04-11 魔王トゥルシー / Tulsi-Nightmare Madness IV kxAAY51-FNM,https://www.bilibili.com/video/BV1UUQVBmERX?p=5,BV1UUQVBmERX,116404820909002,37511564413,5,1776197958,2026-04-15 04:19:18,1776197958,2026-04-15 04:19:18,203,1121,5,833,https://i2.hdslb.com/bfs/archive/548b038ef373d8d3e229d5de463f7dcd324c16c3.png@160w_90h_1c.webp,歌切 2026-04-11 魔王トゥルシー / Tulsi-Nightmare Madness IV kxAAY51-FNM,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,24,false,-_Mh1ZDcurbB8IkbJwyhhgw262o,トリノコシティ,音源/术力口词:GUMI/Megpoid | P主/术力口作者:40mP | 已知术力口曲名:トリノコシティ,direct
ワールドイズマイン,supercell,魔王トゥルシー,tulsi.js,歌切 2026-02-14 魔王トゥルシー / Tulsi-Nightmare Madness IV GyINYQPb_7o,https://www.bilibili.com/video/BV1yoQVBGE5q?p=15,BV1yoQVBGE5q,116404804125719,37511498259,15,1776197325,2026-04-15 04:08:45,1776197325,2026-04-15 04:08:45,255,3409,15,864,https://i0.hdslb.com/bfs/archive/218f4989a5a8b4f3519606d9594461c9d06cd93f.png@160w_90h_1c.webp,歌切 2026-02-14 魔王トゥルシー / Tulsi-Nightmare Madness IV GyINYQPb_7o,前尘往事如昔故,前尘往事如昔故,3546597260528367,18,33,false,3nBG-9_10Tf1VUpugKvQNq89-tg,ワルドイズマイン,已知术力口曲名:ワールドイズマイン,direct
君はできない子,きくお,魔王トゥルシー,tulsi.js,歌切 2026-02-14 魔王トゥルシー / Tulsi-Nightmare Madness IV GyINYQPb_7o,https://www.bilibili.com/video/BV1yoQVBGE5q?p=7,BV1yoQVBGE5q,116404804125719,37511365074,7,1776197325,2026-04-15 04:08:45,1776197325,2026-04-15 04:08:45,265,3409,15,864,https://i0.hdslb.com/bfs/archive/218f4989a5a8b4f3519606d9594461c9d06cd93f.png@160w_90h_1c.webp,歌切 2026-02-14 魔王トゥルシー / Tulsi-Nightmare Madness IV GyINYQPb_7o,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,PS0pUKP5fIOfUfDzYBBBLgUH8ZA,君はできない子,P主/术力口作者:きくお,direct
