title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
ヴァンパイア,DECO*27,山田シャロ,yamadasharo.js,【歌切】[2026-05-24]目标同时在线50人！请找到我✨❤ SHALO YAMADA -Vsinger-,https://www.bilibili.com/video/BV1d6Gn6UEKF?p=13,BV1d6Gn6UEKF,116630440907879,38586747382,13,1779640300,2026-05-25 00:31:40,1779640300,2026-05-25 00:31:40,178,4658,18,432,https://i2.hdslb.com/bfs/archive/b65058a739fe4ab7b013c97b4f94113f9f0260ba.png@160w_90h_1c.webp,【歌切】[2026-05-24]目标同时在线50人！请找到我✨❤ SHALO YAMADA -Vsinger-,前尘往事如昔故,前尘往事如昔故,3546597260528367,10,12,false,TuBC3ztgbSF7gyahSEVwaJlRTEQ,ヴァンパイア,P主/术力口作者:DECO*27 | 已知术力口曲名:ヴァンパイア,direct
恋愛裁判,40mP,山田シャロ,yamadasharo.js,【歌切】[2026-05-24]目标同时在线50人！请找到我✨❤ SHALO YAMADA -Vsinger-,https://www.bilibili.com/video/BV1d6Gn6UEKF?p=12,BV1d6Gn6UEKF,116630440907879,38586746727,12,1779640300,2026-05-25 00:31:40,1779640300,2026-05-25 00:31:40,222,4658,18,432,https://i2.hdslb.com/bfs/archive/b65058a739fe4ab7b013c97b4f94113f9f0260ba.png@160w_90h_1c.webp,【歌切】[2026-05-24]目标同时在线50人！请找到我✨❤ SHALO YAMADA -Vsinger-,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,27,false,9xOgSLLVStTLXhLcPp1tfLtoWqY,恋愛裁判,P主/术力口作者:40mP | 已知术力口曲名:恋愛裁判,direct
シンデレラ,DECO*27,山田シャロ,yamadasharo.js,【歌切】[2026-05-22]想在竖屏直播中遇到初次见面的观众！✨ SHALO YAMADA -Vsinger-,https://www.bilibili.com/video/BV19QGi64E9d?p=2,BV19QGi64E9d,116622689901317,38549720150,2,1779522464,2026-05-23 15:47:44,1779522464,2026-05-23 15:47:44,154,3893,16,448,https://i2.hdslb.com/bfs/archive/de28890507a99086454914998695c645c18e30d4.png@160w_90h_1c.webp,【歌切】[2026-05-22]想在竖屏直播中遇到初次见面的观众！✨ SHALO YAMADA -Vsinger-,前尘往事如昔故,前尘往事如昔故,3546597260528367,6,6,false,0DEEsDvDx96jV1sKxvHiUmL7By8,シンデレラ,P主/术力口作者:DECO*27 | 已知术力口曲名:シンデレラ,direct
Bad ∞ End ∞ Night,ひとしずく×やま△ feat. 初音ミク、鏡音リン・レン、巡音ルカ、KAITO、MEIKO、GUMI、神威がくぽ,山田シャロ,yamadasharo.js,【歌切】[2026-05-10]第一次直播、初次见面✨我是Vsinger山田シャロ🎤👑🍻 SHALO YAMADA -Vsinger-,https://www.bilibili.com/video/BV179L66pE1f?p=15,BV179L66pE1f,116602674612286,38460589320,15,1779216283,2026-05-20 02:44:43,1779216283,2026-05-20 02:44:43,254,5694,24,2455,https://i2.hdslb.com/bfs/archive/242a40231b447d4c3f6c1cd6e4d9b4e94bd4e7d5.png@160w_90h_1c.webp,【歌切】[2026-05-10]第一次直播、初次见面✨我是Vsinger山田シャロ🎤👑🍻 SHALO YAMADA -Vsinger-,前尘往事如昔故,前尘往事如昔故,3546597260528367,2,2,false,TZY8XzBJe5bE_IdPBnqn8G_w3DM,bad∞end∞night,音源/术力口词:初音ミク | 音源/术力口词:鏡音リン/レン | 音源/术力口词:巡音ルカ | 音源/术力口词:MEIKO | 音源/术力口词:KAITO | 音源/术力口词:GUMI/Megpoid | 音源/术力口词:其他音源,direct
ODDS&ENDS,ryo supercell feat. 初音ミク,山田シャロ,yamadasharo.js,【歌切】[2026-05-10]第一次直播、初次见面✨我是Vsinger山田シャロ🎤👑🍻 SHALO YAMADA -Vsinger-,https://www.bilibili.com/video/BV179L66pE1f?p=19,BV179L66pE1f,116602674612286,38460590636,19,1779216283,2026-05-20 02:44:43,1779216283,2026-05-20 02:44:43,329,5694,24,2455,https://i2.hdslb.com/bfs/archive/242a40231b447d4c3f6c1cd6e4d9b4e94bd4e7d5.png@160w_90h_1c.webp,【歌切】[2026-05-10]第一次直播、初次见面✨我是Vsinger山田シャロ🎤👑🍻 SHALO YAMADA -Vsinger-,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,13,false,7V0fepH9r5YoGDOhRvQgpJxgEz0,odds&ends,音源/术力口词:初音ミク | 已知术力口曲名:ODDS&ENDS,direct
シャルル,バルーン feat. v flower,山田シャロ,yamadasharo.js,【歌切】[2026-05-10]第一次直播、初次见面✨我是Vsinger山田シャロ🎤👑🍻 SHALO YAMADA -Vsinger-,https://www.bilibili.com/video/BV179L66pE1f?p=18,BV179L66pE1f,116602674612286,38460590603,18,1779216283,2026-05-20 02:44:43,1779216283,2026-05-20 02:44:43,226,5694,24,2455,https://i2.hdslb.com/bfs/archive/242a40231b447d4c3f6c1cd6e4d9b4e94bd4e7d5.png@160w_90h_1c.webp,【歌切】[2026-05-10]第一次直播、初次见面✨我是Vsinger山田シャロ🎤👑🍻 SHALO YAMADA -Vsinger-,前尘往事如昔故,前尘往事如昔故,3546597260528367,14,39,false,ZlmVcla2TwXXC0ujoC7OcAsEULk,シャルル,音源/术力口词:v flower | P主/术力口作者:バルーン | 已知术力口曲名:シャルル,direct
妄想税,DECO*27 feat. 初音ミク,山田シャロ,yamadasharo.js,【歌切】[2026-05-10]第一次直播、初次见面✨我是Vsinger山田シャロ🎤👑🍻 SHALO YAMADA -Vsinger-,https://www.bilibili.com/video/BV179L66pE1f?p=17,BV179L66pE1f,116602674612286,38460590231,17,1779216283,2026-05-20 02:44:43,1779216283,2026-05-20 02:44:43,217,5694,24,2455,https://i2.hdslb.com/bfs/archive/242a40231b447d4c3f6c1cd6e4d9b4e94bd4e7d5.png@160w_90h_1c.webp,【歌切】[2026-05-10]第一次直播、初次见面✨我是Vsinger山田シャロ🎤👑🍻 SHALO YAMADA -Vsinger-,前尘往事如昔故,前尘往事如昔故,3546597260528367,7,9,false,ahPVW5bosSFkSJn_JltlDL2ww_E,妄想税,音源/术力口词:初音ミク | P主/术力口作者:DECO*27 | 已知术力口曲名:妄想税,direct
夜咄ディセイブ,じん feat. IA,山田シャロ,yamadasharo.js,【歌切】[2026-05-10]第一次直播、初次见面✨我是Vsinger山田シャロ🎤👑🍻 SHALO YAMADA -Vsinger-,https://www.bilibili.com/video/BV179L66pE1f?p=16,BV179L66pE1f,116602674612286,38460589675,16,1779216283,2026-05-20 02:44:43,1779216283,2026-05-20 02:44:43,193,5694,24,2455,https://i2.hdslb.com/bfs/archive/242a40231b447d4c3f6c1cd6e4d9b4e94bd4e7d5.png@160w_90h_1c.webp,【歌切】[2026-05-10]第一次直播、初次见面✨我是Vsinger山田シャロ🎤👑🍻 SHALO YAMADA -Vsinger-,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,13,false,YKJdPSiqRAaQZJ9Hl4nxkENbMRI,夜咄ディセイブ,音源/术力口词:IA | P主/术力口作者:じん | 已知术力口曲名:夜咄ディセイブ,direct
幽霊東京,Ayase feat. 初音ミク,山田シャロ,yamadasharo.js,【歌切】[2026-05-10]第一次直播、初次见面✨我是Vsinger山田シャロ🎤👑🍻 SHALO YAMADA -Vsinger-,https://www.bilibili.com/video/BV179L66pE1f?p=13,BV179L66pE1f,116602674612286,38460588547,13,1779216283,2026-05-20 02:44:43,1779216283,2026-05-20 02:44:43,201,5694,24,2455,https://i2.hdslb.com/bfs/archive/242a40231b447d4c3f6c1cd6e4d9b4e94bd4e7d5.png@160w_90h_1c.webp,【歌切】[2026-05-10]第一次直播、初次见面✨我是Vsinger山田シャロ🎤👑🍻 SHALO YAMADA -Vsinger-,前尘往事如昔故,前尘往事如昔故,3546597260528367,8,17,false,WnQtZc5FrMrRo60piDf3u8RNpOI,幽霊東京,音源/术力口词:初音ミク | P主/术力口作者:Ayase | 已知术力口曲名:幽霊東京,direct
恋愛裁判,40mP feat. 初音ミク,山田シャロ,yamadasharo.js,【歌切】[2026-05-10]第一次直播、初次见面✨我是Vsinger山田シャロ🎤👑🍻 SHALO YAMADA -Vsinger-,https://www.bilibili.com/video/BV179L66pE1f?p=14,BV179L66pE1f,116602674612286,38460588927,14,1779216283,2026-05-20 02:44:43,1779216283,2026-05-20 02:44:43,219,5694,24,2455,https://i2.hdslb.com/bfs/archive/242a40231b447d4c3f6c1cd6e4d9b4e94bd4e7d5.png@160w_90h_1c.webp,【歌切】[2026-05-10]第一次直播、初次见面✨我是Vsinger山田シャロ🎤👑🍻 SHALO YAMADA -Vsinger-,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,27,false,PAweAvNs1WU7-vXwFaJk-P0TVoM,恋愛裁判,音源/术力口词:初音ミク | P主/术力口作者:40mP | 已知术力口曲名:恋愛裁判,direct
