title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
千本桜,黒うさＰ feat 初音ミク,よしか🦍,yoshika.js,【🍠🦍歌切】[2026-06-16]初見さん歓迎中！1曲聞いてって！ YOSHIKA⁂Ch.,https://www.bilibili.com/video/BV1qjj561E3x?p=11,BV1qjj561E3x,116761873614108,39172572996,11,1781647318,2026-06-17 06:01:58,1781647318,2026-06-17 06:01:58,238,5720,24,96,https://i0.hdslb.com/bfs/archive/fcd37e1047a675b9f560b72bab60193be35cdf50.png@160w_90h_1c.webp,【🍠🦍歌切】[2026-06-16]初見さん歓迎中！1曲聞いてって！ YOSHIKA⁂Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,31,false,NCp2eV4I4tpuRjW2DtezAETj2QA,千本桜,音源/术力口词:初音ミク | P主/术力口作者:黒うさP | 已知术力口曲名:千本桜,direct
少女レイ,みきとP Feat.初音ミク,よしか🦍,yoshika.js,【🍠🦍歌切】[2026-06-15]初見さん歓迎中！1曲聞いてって！ YOSHIKA⁂Ch.,https://www.bilibili.com/video/BV1r9jN6bEZn?p=9,BV1r9jN6bEZn,116756370691455,39148388867,9,1781562427,2026-06-16 06:27:07,1781562427,2026-06-16 06:27:07,283,4907,20,124,https://i1.hdslb.com/bfs/archive/5c9cd8c7c53bb3cb48840e20dbe2e14a7b1a8ceb.png@160w_90h_1c.webp,【🍠🦍歌切】[2026-06-15]初見さん歓迎中！1曲聞いてって！ YOSHIKA⁂Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,23,109,false,buWvNhbI8btADDMpf3IyEzXr2oA,少女レイ,音源/术力口词:初音ミク | P主/术力口作者:みきとP | 已知术力口曲名:少女レイ,direct
magnet,流星P feat. 巡音ルカ × 初音ミク,よしか🦍,yoshika.js,【🍠🦍歌切】[2026-06-12]初見さん歓迎中！1曲聞いてって！ YOSHIKA⁂Ch.,https://www.bilibili.com/video/BV1sLJE6CEwp?p=22,BV1sLJE6CEwp,116739543145777,39075122987,22,1781304970,2026-06-13 06:56:10,1781304970,2026-06-13 06:56:10,239,5672,24,116,https://i2.hdslb.com/bfs/archive/6c7d37599a5bbe6ea8b15e5812df6df556917385.png@160w_90h_1c.webp,【🍠🦍歌切】[2026-06-12]初見さん歓迎中！1曲聞いてって！ YOSHIKA⁂Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,19,false,8q40S4e-BOgcU9lO8NtgVuI8X6g,magnet,音源/术力口词:初音ミク | 音源/术力口词:巡音ルカ | P主/术力口作者:流星P | 已知术力口曲名:magnet,direct
ベノム,かいりきベアfeat.flower,よしか🦍,yoshika.js,【🍠🦍歌切】[2026-06-07]初見さん大歓迎中！1曲いかがですか？ YOSHIKA⁂Ch.,https://www.bilibili.com/video/BV1mNEY6XENw?p=12,BV1mNEY6XENw,116710552111167,38942673548,12,1780862128,2026-06-08 03:55:28,1780862128,2026-06-08 03:55:28,196,4294,18,102,https://i1.hdslb.com/bfs/archive/8a98f61839443950048a6c99a7c129bbf6a65c9b.png@160w_90h_1c.webp,【🍠🦍歌切】[2026-06-07]初見さん大歓迎中！1曲いかがですか？ YOSHIKA⁂Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,4,10,false,qFi4HHygvJW7mWhO7roQf_YGZ54,ベノム,已知术力口曲名:ベノム,direct
千本桜,黒うさＰ feat 初音ミク,よしか🦍,yoshika.js,【🍠🦍歌切】[2026-06-07]初見さん大歓迎中！1曲いかがですか？ YOSHIKA⁂Ch.,https://www.bilibili.com/video/BV1mNEY6XENw?p=11,BV1mNEY6XENw,116710552111167,38942673243,11,1780862128,2026-06-08 03:55:28,1780862128,2026-06-08 03:55:28,238,4294,18,102,https://i1.hdslb.com/bfs/archive/8a98f61839443950048a6c99a7c129bbf6a65c9b.png@160w_90h_1c.webp,【🍠🦍歌切】[2026-06-07]初見さん大歓迎中！1曲いかがですか？ YOSHIKA⁂Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,31,false,ex7wRQUZubGFzY5pZSxaFgXER_o,千本桜,音源/术力口词:初音ミク | P主/术力口作者:黒うさP | 已知术力口曲名:千本桜,direct
フォニイ,ツミキ feat.KAFU,よしか🦍,yoshika.js,【🍠🦍歌切】[2026-05-25]初見さん歓迎中！1曲いかがですか？ YOSHIKA⁂Ch.,https://www.bilibili.com/video/BV1jgVc6aEuK?p=13,BV1jgVc6aEuK,116637453785331,38613880136,13,1779746805,2026-05-26 06:06:45,1779746805,2026-05-26 06:06:45,187,6941,28,171,https://i2.hdslb.com/bfs/archive/9571bfef36a77696844dd97e0e04f9840e31f57f.png@160w_90h_1c.webp,【🍠🦍歌切】[2026-05-25]初見さん歓迎中！1曲いかがですか？ YOSHIKA⁂Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,15,52,false,QnuGyrwIpjTaWPyPtjDX78MPbl0,フォニイ,音源/术力口词:可不/KAFU | P主/术力口作者:ツミキ | 已知术力口曲名:フォニイ,direct
ワールドイズマイン,ryo feat. 初音ミク,よしか🦍,yoshika.js,【🍠🦍歌切】[2026-05-21]初見歡迎！大量猩猩出没中！？ YOSHIKA⁂Ch.,https://www.bilibili.com/video/BV1uPLv6HEwS?p=22,BV1uPLv6HEwS,116614821319723,38513543515,22,1779401467,2026-05-22 06:11:07,1779401467,2026-05-22 06:11:07,253,6358,27,121,https://i1.hdslb.com/bfs/archive/8d45f2cecdf09af3974967086e58fef06705a73d.png@160w_90h_1c.webp,【🍠🦍歌切】[2026-05-21]初見歡迎！大量猩猩出没中！？ YOSHIKA⁂Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,18,33,false,ghXn4On4QKDl4vi0nD9NDlTfx58,ワルドイズマイン,音源/术力口词:初音ミク | 已知术力口曲名:ワールドイズマイン,direct
magnet,流星P feat. 巡音ルカ × 初音ミク,よしか🦍,yoshika.js,【🍠🦍歌切】[2026-05-14]初見さんいらっしゃい！1曲聞いてって！ YOSHIKA⁂Ch.,https://www.bilibili.com/video/BV1i45B6uE1b?p=20,BV1i45B6uE1b,116580142814451,38364054949,20,1778874148,2026-05-16 03:42:28,1778874148,2026-05-16 03:42:28,239,5138,21,134,https://i0.hdslb.com/bfs/archive/0c078dfe7ffaf58572f3152f0fb546a51960f86c.png@160w_90h_1c.webp,【🍠🦍歌切】[2026-05-14]初見さんいらっしゃい！1曲聞いてって！ YOSHIKA⁂Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,19,false,f1Q-xpqsN53a7hmXnDZtrSOMObc,magnet,音源/术力口词:初音ミク | 音源/术力口词:巡音ルカ | P主/术力口作者:流星P | 已知术力口曲名:magnet,direct
ルカルカ★ナイトフィーバー,samfree feat. 巡音ルカ,よしか🦍,yoshika.js,【🍠🦍歌切】[2026-05-14]初見さんいらっしゃい！1曲聞いてって！ YOSHIKA⁂Ch.,https://www.bilibili.com/video/BV1i45B6uE1b?p=7,BV1i45B6uE1b,116580142814451,38363926350,7,1778874148,2026-05-16 03:42:28,1778874148,2026-05-16 03:42:28,237,5138,21,134,https://i0.hdslb.com/bfs/archive/0c078dfe7ffaf58572f3152f0fb546a51960f86c.png@160w_90h_1c.webp,【🍠🦍歌切】[2026-05-14]初見さんいらっしゃい！1曲聞いてって！ YOSHIKA⁂Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,8,15,false,t8Ecv1JfbrxX7oiUbZCRarZRAmw,ルカルカナイトフィバ,音源/术力口词:巡音ルカ | P主/术力口作者:samfree | 已知术力口曲名:ルカルカ☆ナイトフィーバー,direct
magnet,流星P feat. 巡音ルカ × 初音ミク,よしか🦍,yoshika.js,【🍠🦍歌切】[2026-05-10]初見さん歓迎だYO！明日はZepp新宿だ！ YOSHIKA⁂Ch.,https://www.bilibili.com/video/BV1Eh5H6aESA?p=5,BV1Eh5H6aESA,116551873208216,38245632993,5,1778441061,2026-05-11 03:24:21,1778441061,2026-05-11 03:24:21,239,3112,13,152,https://i1.hdslb.com/bfs/archive/d6624785f4ee4081bc7eb767fad3f116224dfcc0.png@160w_90h_1c.webp,【🍠🦍歌切】[2026-05-10]初見さん歓迎だYO！明日はZepp新宿だ！ YOSHIKA⁂Ch.,前尘往事如昔故,前尘往事如昔故,3546597260528367,9,19,false,XWQqFNGpqtUS8GiKduvb-7j-BKA,magnet,音源/术力口词:初音ミク | 音源/术力口词:巡音ルカ | P主/术力口作者:流星P | 已知术力口曲名:magnet,direct
