title,artist,sourceAlias,source,collection,link,bvid,aid,cid,page,pubdate,pubdateFormatted,ctime,ctimeFormatted,partDuration,videoDuration,videos,viewCount,cover,videoTitle,up,uploader,uploaderMid,uniqueSourceCount,uniqueOccurrenceCount,isUniqueSong,rowId,normalizedTitle,vocaloidReasons,vocaloidMode
T.A.O.,じん feat. 洛天依,優莉 yuri,yuri.js,【歌切】[2026-06-05]好久没弹唱了，来唱几首！ 優莉つんちゃか,https://www.bilibili.com/video/BV1qHEJ6vEmU?p=18,BV1qHEJ6vEmU,116703807802096,38914097211,18,1780760121,2026-06-06 23:35:21,1780760121,2026-06-06 23:35:21,301,5565,24,401,https://i0.hdslb.com/bfs/archive/865159ed5697e930686476fe63b89e926ebe58a7.png@160w_90h_1c.webp,【歌切】[2026-06-05]好久没弹唱了，来唱几首！ 優莉つんちゃか,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,3,false,XFDUnMOicPxo928lqQk4pXpQJWQ,tao,音源/术力口词:其他音源 | P主/术力口作者:じん,direct
テノヒラ,wowaka feat. 初音ミク,優莉 yuri,yuri.js,【歌切】[2026-06-05]好久没弹唱了，来唱几首！ 優莉つんちゃか,https://www.bilibili.com/video/BV1qHEJ6vEmU?p=16,BV1qHEJ6vEmU,116703807802096,38914032950,16,1780760121,2026-06-06 23:35:21,1780760121,2026-06-06 23:35:21,278,5565,24,401,https://i0.hdslb.com/bfs/archive/865159ed5697e930686476fe63b89e926ebe58a7.png@160w_90h_1c.webp,【歌切】[2026-06-05]好久没弹唱了，来唱几首！ 優莉つんちゃか,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,2,false,K-VL4SlNKmqGo_4CV9ypwVqN4ug,テノヒラ,音源/术力口词:初音ミク,direct
ルーマー,ポリスピカデリー feat. GUMI,優莉 yuri,yuri.js,【歌切】[2026-06-05]好久没弹唱了，来唱几首！ 優莉つんちゃか,https://www.bilibili.com/video/BV1qHEJ6vEmU?p=20,BV1qHEJ6vEmU,116703807802096,38914101024,20,1780760121,2026-06-06 23:35:21,1780760121,2026-06-06 23:35:21,197,5565,24,401,https://i0.hdslb.com/bfs/archive/865159ed5697e930686476fe63b89e926ebe58a7.png@160w_90h_1c.webp,【歌切】[2026-06-05]好久没弹唱了，来唱几首！ 優莉つんちゃか,前尘往事如昔故,前尘往事如昔故,3546597260528367,6,30,false,EHmADmRWQtA63TNJxNai3-OaXBA,ルマ,音源/术力口词:GUMI/Megpoid,direct
瓦礫の塔,kemu feat. GUMI,優莉 yuri,yuri.js,【歌切】[2026-06-05]好久没弹唱了，来唱几首！ 優莉つんちゃか,https://www.bilibili.com/video/BV1qHEJ6vEmU?p=15,BV1qHEJ6vEmU,116703807802096,38913968116,15,1780760121,2026-06-06 23:35:21,1780760121,2026-06-06 23:35:21,231,5565,24,401,https://i0.hdslb.com/bfs/archive/865159ed5697e930686476fe63b89e926ebe58a7.png@160w_90h_1c.webp,【歌切】[2026-06-05]好久没弹唱了，来唱几首！ 優莉つんちゃか,前尘往事如昔故,前尘往事如昔故,3546597260528367,1,3,false,kKr7tHnrYMF0SyrNhom9hFYE44c,瓦礫の塔,音源/术力口词:GUMI/Megpoid | P主/术力口作者:kemu,direct
想像フォレスト,じん feat. IA,優莉 yuri,yuri.js,【歌切】[2026-06-05]好久没弹唱了，来唱几首！ 優莉つんちゃか,https://www.bilibili.com/video/BV1qHEJ6vEmU?p=17,BV1qHEJ6vEmU,116703807802096,38914032595,17,1780760121,2026-06-06 23:35:21,1780760121,2026-06-06 23:35:21,266,5565,24,401,https://i0.hdslb.com/bfs/archive/865159ed5697e930686476fe63b89e926ebe58a7.png@160w_90h_1c.webp,【歌切】[2026-06-05]好久没弹唱了，来唱几首！ 優莉つんちゃか,前尘往事如昔故,前尘往事如昔故,3546597260528367,3,6,false,Cje9Kb4XO1KxUKKFNlIx3d2TvcY,想像フォレスト,音源/术力口词:IA | P主/术力口作者:じん,direct
セツナトリップ,Last Note.GUMI,優莉 yuri,yuri.js,【優莉】弾き語りするよ♪[2026-02-07][s3kLx-ChK_o],https://www.bilibili.com/video/BV1gBF4zGEbm?p=14,BV1gBF4zGEbm,116031527917189,35899639488,14,1770501141,2026-02-08 05:52:21,1770501142,2026-02-08 05:52:22,248,4831,20,523,https://i2.hdslb.com/bfs/archive/cdc30e6a77e7498bb1ad8c482605661ba9ac0925.jpg@160w_90h_1c.webp,【優莉】弾き語りするよ♪[2026-02-07][s3kLx-ChK_o],前尘往事如昔故,前尘往事如昔故,3546597260528367,4,4,false,rmQ1SML4pcHBrd3omoRX0up4ki8,セツナトリップ,音源/术力口词:GUMI/Megpoid | 已知术力口曲名:セツナトリップ,direct
初めての恋が終わる時,ryo,優莉 yuri,yuri.js,【優莉】弾き語りするよ♪[2026-02-07][s3kLx-ChK_o],https://www.bilibili.com/video/BV1gBF4zGEbm?p=1,BV1gBF4zGEbm,116031527917189,35899572366,1,1770501141,2026-02-08 05:52:21,1770501142,2026-02-08 05:52:22,340,4831,20,523,https://i2.hdslb.com/bfs/archive/cdc30e6a77e7498bb1ad8c482605661ba9ac0925.jpg@160w_90h_1c.webp,【優莉】弾き語りするよ♪[2026-02-07][s3kLx-ChK_o],前尘往事如昔故,前尘往事如昔故,3546597260528367,10,23,false,GNU4RgN7NSS_k_bSo25FFKdCv_w,初めての恋が終わる時,已知术力口曲名:初めての恋が終わる時,direct
07.花呼ぶ声,Kemu feat. 夢ノ結唱 POPY×夢ノ結唱 ROSE,優莉 yuri,yuri.js,【優莉 つんちゃか 弾き語り】[2026-02-02]弾き語りとかお話しとか [nrToQJeAlNA],https://www.bilibili.com/video/BV17uFuzMEuY?p=7,BV17uFuzMEuY,116002469709605,35781217194,7,1770057809,2026-02-03 02:43:29,1770057809,2026-02-03 02:43:29,240,3022,13,540,https://i0.hdslb.com/bfs/archive/36d778217e4d79e78ebf9fb08dd2c6b3dcab2e38.jpg@160w_90h_1c.webp,【優莉 つんちゃか 弾き語り】[2026-02-02]弾き語りとかお話しとか [nrToQJeAlNA],前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,wr05N5sBzJ2Ysye07oFBSLDQFpg,07花呼ぶ声,P主/术力口作者:kemu,direct
09.夜咄ディセイブ,じん／IA,優莉 yuri,yuri.js,【優莉 つんちゃか 弾き語り】[2026-02-02]弾き語りとかお話しとか [nrToQJeAlNA],https://www.bilibili.com/video/BV17uFuzMEuY?p=9,BV17uFuzMEuY,116002469709605,35781217296,9,1770057809,2026-02-03 02:43:29,1770057809,2026-02-03 02:43:29,214,3022,13,540,https://i0.hdslb.com/bfs/archive/36d778217e4d79e78ebf9fb08dd2c6b3dcab2e38.jpg@160w_90h_1c.webp,【優莉 つんちゃか 弾き語り】[2026-02-02]弾き語りとかお話しとか [nrToQJeAlNA],前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,XxvgEOpFHTGxnkoLWvzj3fZBLPw,09夜咄ディセイブ,音源/术力口词:IA,direct
10.消えろ,じん,優莉 yuri,yuri.js,【優莉 つんちゃか 弾き語り】[2026-02-02]弾き語りとかお話しとか [nrToQJeAlNA],https://www.bilibili.com/video/BV17uFuzMEuY?p=10,BV17uFuzMEuY,116002469709605,35781217608,10,1770057809,2026-02-03 02:43:29,1770057809,2026-02-03 02:43:29,248,3022,13,540,https://i0.hdslb.com/bfs/archive/36d778217e4d79e78ebf9fb08dd2c6b3dcab2e38.jpg@160w_90h_1c.webp,【優莉 つんちゃか 弾き語り】[2026-02-02]弾き語りとかお話しとか [nrToQJeAlNA],前尘往事如昔故,前尘往事如昔故,3546597260528367,1,1,true,FfXAjSbYzXNRkr0OFi7z-ro7KI8,10消えろ,P主/术力口作者:じん,direct
