title,artist,sourceAlias,source,collection,link,bvid,page,pubdate,pubdateFormatted,viewCount,cover,normalizedTitle,vocaloidReasons
daze,じん feat. メイリア from GARNiDELiA,联动,friends.js,三日月ちゆる联动歌切 2026-07-10 与Else的初次合唱！✨,https://www.bilibili.com/video/BV1DeNc6iEGe?p=7,BV1DeNc6iEGe,7,1783774121,2026-07-11 20:48:41,0,https://i2.hdslb.com/bfs/archive/6151bcbd059ded067227f75df66282d132d5e4b9.png@160w_90h_1c.webp,daze,P主/术力口作者:じん
ロキ,みきとP feat. 鏡音リン,非常驻妹妹,others.js,DELUTAYA Δ.歌切 2026-07-09 🌤 清晨呱呱🐸歌电台🎤🎵,https://www.bilibili.com/video/BV1m6Nc6aEFj?p=3,BV1m6Nc6aEFj,3,1783773801,2026-07-11 20:43:21,3,https://i1.hdslb.com/bfs/archive/a1ff2740a5a6b9c058484ed0f0282eb8f7d7c3cb.png@160w_90h_1c.webp,ロキ,音源/术力口词:鏡音リン/レン | P主/术力口作者:みきとP | 已知术力口曲名:ロキ
脳漿炸裂ガール,れるりり feat. 初音ミク・GUMI,非常驻妹妹,others.js,DELUTAYA Δ.歌切 2026-07-09 🌤 清晨呱呱🐸歌电台🎤🎵,https://www.bilibili.com/video/BV1m6Nc6aEFj?p=4,BV1m6Nc6aEFj,4,1783773801,2026-07-11 20:43:21,3,https://i1.hdslb.com/bfs/archive/a1ff2740a5a6b9c058484ed0f0282eb8f7d7c3cb.png@160w_90h_1c.webp,脳漿炸裂ガル,音源/术力口词:初音ミク | 音源/术力口词:GUMI/Megpoid | P主/术力口作者:れるりり | 已知术力口曲名:脳漿炸裂ガール
神っぽいな,ピノキオピー feat. 初音ミク,非常驻妹妹,others.js,DELUTAYA Δ.歌切 2026-07-09 🌤 清晨呱呱🐸歌电台🎤🎵,https://www.bilibili.com/video/BV1m6Nc6aEFj?p=5,BV1m6Nc6aEFj,5,1783773801,2026-07-11 20:43:21,3,https://i1.hdslb.com/bfs/archive/a1ff2740a5a6b9c058484ed0f0282eb8f7d7c3cb.png@160w_90h_1c.webp,神つぽいな,音源/术力口词:初音ミク | P主/术力口作者:ピノキオピー | 已知术力口曲名:神っぽいな
Just Be Friends,Dixie Flatline feat. 巡音ルカ,非常驻妹妹,others.js,DELUTAYA Δ.歌切 2026-07-09 🌤 清晨呱呱🐸歌电台🎤🎵,https://www.bilibili.com/video/BV1m6Nc6aEFj?p=6,BV1m6Nc6aEFj,6,1783773801,2026-07-11 20:43:21,3,https://i1.hdslb.com/bfs/archive/a1ff2740a5a6b9c058484ed0f0282eb8f7d7c3cb.png@160w_90h_1c.webp,justbefriends,音源/术力口词:巡音ルカ | P主/术力口作者:Dixie Flatline | 已知术力口曲名:Just Be Friends
"rain stops, good-bye",におP feat. 初音ミク,非常驻妹妹,others.js,DELUTAYA Δ.歌切 2026-07-09 🌤 清晨呱呱🐸歌电台🎤🎵,https://www.bilibili.com/video/BV1m6Nc6aEFj?p=7,BV1m6Nc6aEFj,7,1783773801,2026-07-11 20:43:21,3,https://i1.hdslb.com/bfs/archive/a1ff2740a5a6b9c058484ed0f0282eb8f7d7c3cb.png@160w_90h_1c.webp,rainstopsgoodbye,音源/术力口词:初音ミク
きゅうくらりん,いよわ feat. 可不,非常驻妹妹,others.js,翠雨 しの歌切 2026-07-08 音质变得特别好，来听一首歌吧！！,https://www.bilibili.com/video/BV1SqNc6eEhW?p=3,BV1SqNc6eEhW,3,1783773169,2026-07-11 20:32:49,0,https://i1.hdslb.com/bfs/archive/756a6aef6b86f2190bb2ceb33c8747285df86aff.png@160w_90h_1c.webp,きゆうくらりん,音源/术力口词:可不/KAFU | P主/术力口作者:いよわ | 已知术力口曲名:きゅうくらりん
ロミオとシンデレラ,doriko feat. 初音ミク,非常驻妹妹,others.js,翠雨 しの歌切 2026-07-08 音质变得特别好，来听一首歌吧！！,https://www.bilibili.com/video/BV1SqNc6eEhW?p=12,BV1SqNc6eEhW,12,1783773169,2026-07-11 20:32:49,0,https://i1.hdslb.com/bfs/archive/756a6aef6b86f2190bb2ceb33c8747285df86aff.png@160w_90h_1c.webp,ロミオとシンデレラ,音源/术力口词:初音ミク | P主/术力口作者:doriko | 已知术力口曲名:ロミオとシンデレラ
DAYBREAK FRONTLINE,Orangestar feat. IA,非常驻妹妹,others.js,翠雨 しの歌切 2026-07-08 音质变得特别好，来听一首歌吧！！,https://www.bilibili.com/video/BV1SqNc6eEhW?p=17,BV1SqNc6eEhW,17,1783773169,2026-07-11 20:32:49,0,https://i1.hdslb.com/bfs/archive/756a6aef6b86f2190bb2ceb33c8747285df86aff.png@160w_90h_1c.webp,daybreakfrontline,音源/术力口词:IA | P主/术力口作者:Orangestar | 已知术力口曲名:DAYBREAK FRONTLINE
蛍はいなかった,はるまきごはん feat. 初音ミク,透夏,toka10summer.js,歌切【透夏】[2026-07-10]7月的广播直播🎐 透夏,https://www.bilibili.com/video/BV1aeNc6qE5x?p=1,BV1aeNc6qE5x,1,1783771266,2026-07-11 20:01:06,2,https://i2.hdslb.com/bfs/archive/3603ee45717ce75fd6595bb9a0b2b0888fb83619.png@160w_90h_1c.webp,蛍はいなかつた,音源/术力口词:初音ミク | P主/术力口作者:はるまきごはん
