title,artist,source,sourceAlias,collection,bvid,page,pubdateFormatted,link,auditReasons,pendingTitleReasons
セブンティーン,YOASOBI,ibaramuan.js,茨むあん,【歌切】[2026-07-05]喜欢动漫歌曲和术力口的人快来集合！欢迎新朋友。 Muan ch.茨むあん,BV17kTU6WE1u,3,2026-07-06 06:16:07,https://www.bilibili.com/video/BV17kTU6WE1u?p=3,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
アイドル,YOASOBI,ibaramuan.js,茨むあん,【歌切】[2026-07-05]喜欢动漫歌曲和术力口的人快来集合！欢迎新朋友。 Muan ch.茨むあん,BV17kTU6WE1u,4,2026-07-06 06:16:07,https://www.bilibili.com/video/BV17kTU6WE1u?p=4,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
残酷な天使のテーゼ,高橋洋子,ibaramuan.js,茨むあん,【歌切】[2026-07-05]喜欢动漫歌曲和术力口的人快来集合！欢迎新朋友。 Muan ch.茨むあん,BV17kTU6WE1u,7,2026-07-06 06:16:07,https://www.bilibili.com/video/BV17kTU6WE1u?p=7,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
創聖のアクエリオン,AKINO,ibaramuan.js,茨むあん,【歌切】[2026-07-05]喜欢动漫歌曲和术力口的人快来集合！欢迎新朋友。 Muan ch.茨むあん,BV17kTU6WE1u,8,2026-07-06 06:16:07,https://www.bilibili.com/video/BV17kTU6WE1u?p=8,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
Shout Baby,緑黄色社会,ibaramuan.js,茨むあん,【歌切】[2026-07-05]喜欢动漫歌曲和术力口的人快来集合！欢迎新朋友。 Muan ch.茨むあん,BV17kTU6WE1u,11,2026-07-06 06:16:07,https://www.bilibili.com/video/BV17kTU6WE1u?p=11,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
花になって,緑黄色社会,ibaramuan.js,茨むあん,【歌切】[2026-07-05]喜欢动漫歌曲和术力口的人快来集合！欢迎新朋友。 Muan ch.茨むあん,BV17kTU6WE1u,12,2026-07-06 06:16:07,https://www.bilibili.com/video/BV17kTU6WE1u?p=12,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
Mela!,緑黄色社会,ibaramuan.js,茨むあん,【歌切】[2026-07-05]喜欢动漫歌曲和术力口的人快来集合！欢迎新朋友。 Muan ch.茨むあん,BV17kTU6WE1u,13,2026-07-06 06:16:07,https://www.bilibili.com/video/BV17kTU6WE1u?p=13,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
StaRt,Mrs. GREEN APPLE,ibaramuan.js,茨むあん,【歌切】[2026-07-05]喜欢动漫歌曲和术力口的人快来集合！欢迎新朋友。 Muan ch.茨むあん,BV17kTU6WE1u,16,2026-07-06 06:16:07,https://www.bilibili.com/video/BV17kTU6WE1u?p=16,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
ゴールデンタイムラバー,スキマスイッチ,ibaramuan.js,茨むあん,【歌切】[2026-07-05]喜欢动漫歌曲和术力口的人快来集合！欢迎新朋友。 Muan ch.茨むあん,BV17kTU6WE1u,17,2026-07-06 06:16:07,https://www.bilibili.com/video/BV17kTU6WE1u?p=17,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
Can Do,GRANRODEO,ibaramuan.js,茨むあん,【歌切】[2026-07-05]喜欢动漫歌曲和术力口的人快来集合！欢迎新朋友。 Muan ch.茨むあん,BV17kTU6WE1u,18,2026-07-06 06:16:07,https://www.bilibili.com/video/BV17kTU6WE1u?p=18,合集/视频标题含术力口关键词但歌名/歌手无直接证据,
