title,artist_variants,occurrence_count,source_count,latest_upload_time,latest_source,latest_link,sources,bvids,reasons,normalized_title
メランコリック,"Junky feat. 鏡音リン
Junky feat.鏡音リン
Junky",29,15,2026-07-11 21:15:39,音門るき,https://www.bilibili.com/video/BV1PANc6ZEdA?p=12,"音門るき
非常驻妹妹
鈴花いのり
明日夢かなえ
緋那ちび
茨むあん
すとらてぃあ-Stratia
るみなす・すいーと
CULUA
凛々咲
稀羽すう
天ノ譜ステラ
よしか🦍
花丸晴琉
Figaro","BV1PANc6ZEdA
BV1g3TW6BEHU
BV1QgKS63E8t
BV1tUTK6JEmC
BV1Qh736aEEe
BV1bxjk6VEhM
BV19rEW6TETM
BV1BPEp6CE8g
BV1fHEJ6eE8X
BV19AEN6nEJG
BV1VXGV6tE7P
BV13iGq64ENu
BV1tjLa61E1y
BV1SZ5A6cE1E
BV1tT92BkE8B
BV1prDJB9E9f
BV1XoXtBaETd
BV1icwSzXEYv
BV1bcAizuETy
BV11GZtBcEsp
BV1EKFEzwEYL
BV1JR6GBvEN1
BV1BFpwz6EhJ
BV1VtJNzMEEe
BV1s6QKYhE3D
BV1koUjYUEU1
BV1jaYQeUEgM
BV1gx4y1k7jg
BV1k2421M7PJ","音源/术力口词:鏡音リン/レン
P主/术力口作者:Junky",メランコリック
シャルル,"バルーン feat. flower
バルーン feat. v flower
バルーン feat.flower
バルーン
flower
須田景凪 feat.flower
balloon feat. flower",54,18,2026-07-11 21:15:39,音門るき,https://www.bilibili.com/video/BV1PANc6ZEdA?p=14,"音門るき
非常驻妹妹
323
玉町ぷえ
明日夢かなえ
紅葉丸
凛々咲
山田シャロ
なれたん
澄花
ロマニードットアイオー
陽月るるふ
朱名
來-Ray-
Figaro
稀羽すう
天籠りのん
よしか🦍","BV1PANc6ZEdA
BV1SNNj6rEet
BV18VME6RE4c
BV1FUMP6vE58
BV1PvMw6iEdB
BV1pRjE6KEZA
BV1stj66PEqo
BV1ZWjT6oE6X
BV1upEa6pE5A
BV1JCEn6uEam
BV1AjLv6VE7W
BV179L66pE1f
BV1275H63Ens
BV1ds99BVEiH
BV1undWBpE7K
BV1c1QxBuEnn
BV1QESRBaE6g
BV1SD9NBwEUv
BV1C29JBcEiP
BV12r9JBeEeB
BV1wGXmBNEtN
BV1yTXmBBEG1
BV1yWXcBgE12
BV1X4wqzjECD
BV1D2wozNEb9
BV1b3wPzEEvs
BV1GHNgz2E9x
BV1B7f8BbEQm
BV1wUZcBQEBo
BV1M6cHzbELL
BV1WRFMzmECA
BV1iN6LBiEgE
BV1wHzABVEaR
BV17tkgBAEtR
BV1PWq4BGEhT
BV1BumHBkEX9
BV1EGeZzFESJ
BV1aSu6zCEmS
BV1ohMDzkEvP
BV1cojazpEDN
BV1XhJNzKEVF
BV1XZ7XzNER4
BV1NRdjYiEuy
BV1S9dFYwEwZ
BV1nvPMedExD
BV1t8AMeKErc
BV1SjcGeCEt1
BV198cpeyEtZ
BV1Ym1mYLEZj
BV1T1vtezE33
BV1LJ4m1A7FC
BV1uD421p7nA
BV1gx4y1k7jg","音源/术力口词:v flower
P主/术力口作者:バルーン
已知术力口曲名:シャルル",シャルル
Calc.,"ジミーサムP feat. 初音ミク
ジミーサムP feat.初音ミク
ジミーサムP
ジミーサムP　神凪アンナ Solo",48,19,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=2,"茨むあん
非常驻妹妹
炉なる
戸鎖くくり
凛々咲
澄花
來-Ray-
明日夢かなえ
緋那ちび
紅葉丸
音門るき
はるこたつぶとん倶楽部
联动
なれたん
知悠
Figaro
むんもっしゅ
よしか🦍
天籠りのん","BV1aeNc6qE67
BV1SeNc6iEiF
BV1oeMx6WEve
BV1wrMw6aETT
BV19eKR6FEdN
BV1747i6GEcu
BV1xSjX6qEjE
BV1yt7c69EsQ
BV1Mjj46NEjN
BV1NDLZ6EEUh
BV1ZWjT6oE6X
BV1JCEn6uEam
BV1SrEJ6DEVB
BV1dLVZ6sEj5
BV1DMVL6FEyb
BV1mSVp65EH7
BV1DULT62EPJ
BV1sU5S69EHA
BV19YR8BCEZ8
BV1feRiBTEKA
BV1ajonBHEsB
BV1oBd9BHE7R
BV1QHDbBtE3H
BV1DuSUB5EeX
BV1G4wxzmEV5
BV1owcoz3Ekw
BV152PXziEaB
BV1GHNgz2E9x
BV1B7f8BbEQm
BV1mJZwB8EVa
BV1zzZPBsEum
BV1M6cHzbELL
BV1WRFMzmECA
BV1JR6GBvEN1
BV1LMrZBtEBv
BV1tJbTz9ENS
BV1Es8zzeEq8
BV16nKpzfEK8
BV1xSycYeEJ7
BV17esieXEnw
BV1ietCe2EDX
BV1hw4m1i7qN
BV1SM4m1z7oi
BV1UU411Z7W6
BV1HC411G7jZ
BV1ec411Y7vF
BV1fN4y1W7hX","音源/术力口词:初音ミク
P主/术力口作者:ジミーサムP
已知术力口曲名:Calc.",calc
ドレミファロンド,"40mP feat. 初音ミク
40mP feat.初音ミク
40mP
40㍍P feat. 初音ミク",15,10,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=3,"茨むあん
非常驻妹妹
鈴花いのり
凛々咲
紅葉丸
ノア・ポラリス
朱名
なれたん
むんもっしゅ
よしか🦍","BV1aeNc6qE67
BV1PE7J6CESH
BV1jyjK6sEns
BV1DULT62EPJ
BV1ZTRJBDEc6
BV1YSdYBWE68
BV1axXRBBEM7
BV1GVc3zTEeu
BV1WrFFzsERn
BV1fir9BQELd
BV1eTMVzeEDs
BV1XhJNzKEVF
BV1EYAFewEwW
BV1te2rY9E4v
BV1iZ421H7Gy","音源/术力口词:初音ミク
P主/术力口作者:40mP",ドレミファロンド
ゴシップ,"OSTER project feat. 初音ミク
OSTER project feat. 初音ミクAppend
OSTER project",7,3,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=4,"茨むあん
紅葉丸
Figaro","BV1aeNc6qE67
BV12A5B6RE51
BV1hrDNBtEm1
BV1c69wBGEXy
BV1D2wozNEb9
BV1pMP8e9E2h
BV1AZ421s7yf","音源/术力口词:初音ミク
P主/术力口作者:OSTER project",ゴシップ
プロポーズ,"内緒のピアス feat. 可不
内緒のピアス feat.可不",6,5,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=8,"茨むあん
非常驻妹妹
323
みなとん
Figaro","BV1aeNc6qE67
BV1fTTT6KEY2
BV1Jw7x6UEYk
BV1nzjk6eECv
BV1t9R1BLEw9
BV117P2zwEuq",音源/术力口词:可不/KAFU,プロポズ
時ノ雨、最終戦争,"Orangestar feat. IA
Orangestar",2,2,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=9,"茨むあん
ななし律歌","BV1aeNc6qE67
BV1pJQVBBEH5","音源/术力口词:IA
P主/术力口作者:Orangestar",時ノ雨、最終戦争
おじゃま虫,"DECO*27 feat. 初音ミク
DECO*27 feat.初音ミク
DECO*27",13,7,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=10,"茨むあん
323
非常驻妹妹
からくりんね-KarakuRinne
紅葉丸
朱名
稀羽すう","BV1aeNc6qE67
BV18VME6RE4c
BV1hrKR6sEYT
BV1KL7J61EbH
BV1twjt6YEKk
BV1ggjs6hECr
BV17uJK6FENf
BV1nvRbBWEH4
BV1DuSUB5EeX
BV167c2znErj
BV1D4wAzEESL
BV1SwzpYEEPr
BV1rK411e7mZ","音源/术力口词:初音ミク
P主/术力口作者:DECO*27",おじやま虫
抜錨,"ナナホシ管弦楽団 feat. 巡音ルカ
ナナホシ管弦楽団 feat.巡音ルカ",10,5,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=13,"茨むあん
炉なる
非常驻妹妹
みなとん
知悠","BV1aeNc6qE67
BV17kTU6WE1u
BV11nKS6aEdp
BV1NRTK6LEVW
BV1an7E6pEUw
BV1nzjk6eECv
BV1YKjB66Evp
BV17YEU6SEJR
BV1JCEn6uEam
BV1KNwXzmEAV","音源/术力口词:巡音ルカ
P主/术力口作者:ナナホシ管弦楽団
已知术力口曲名:抜錨",抜錨
flos,"R Sound Design feat. 初音ミク
R Sound Design feat.初音ミク
R Sound Design",25,11,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=18,"茨むあん
非常驻妹妹
深影
あいまるん。
CULUA
紅葉丸
天ノ譜ステラ
緋那ちび
明日夢かなえ
むんもっしゅ
Figaro","BV1aeNc6qE67
BV1NhMw6uEj5
BV1HRjE6KEYg
BV1pBjk6NEcG
BV1pjLZ6rEbR
BV1TJ7d6UEE3
BV1uPLv6HEFm
BV1sxLa6zE5V
BV1dCLu6ZEyH
BV1Qb5o6SEkZ
BV1RU5q6NEWF
BV1NEQBBjEJG
BV1QMAcz2Eqn
BV1b3wPzEEvs
BV134wAzJEph
BV1GHNgz2E9x
BV1hykcB8EQE
BV1ReRHYhEtz
BV1p3ktYtEMX
BV12shwepEQZ
BV1MQ3KeXEXG
BV1AZ421s7yf
BV1oK4y117rM
BV1BW4y1w7SL","音源/术力口词:初音ミク
P主/术力口作者:R Sound Design
已知术力口曲名:flos",flos
